азғана	a little
алды	received
соңғы	recent
жақында	recently
қабыллаўхана	reception
рецепт	recipe
ойсыз	reckless
таныў	recognition
таныў	recognize
усыныс етиў	recommend
усынылған	recommended
жазып алыў	record
запись	record
саўалыў	recover
саўалыў	recovery
төртмүйешлик	rectangle
қызыл	red
айыбын жуўыў	redeem
қайтарыў	redemption
түсириў	reduce
ҳәдден тыс көп	redundant
жолығыў	refer
таяныш дерек	reference
сәўлелениў	reflect
сәўлелениў	reflection
өзин тыйыў	refrain
музлатқыш	refrigerator
шығынын қаплап бериў	refund
бас тартыў	refuse
бас тартыў	refused
сәлем	regard
бойынша	regarding
қарамастан	regardless
ҳүрмет пенен	regards
регион	region
дизимге алыў	register
пушайман болыў	regret
әпиўайы	regular
турақлы түрде	regularly
бас тартыў	reject
байланыстырыў	relate
байланыслы	related
қарым-қатнас	relationship
байланыслы	relative
ағайин	relative
ағайинлер	relatives
дем алыў	relax
шығарыў	release
шығарым	release
шығарылды	released
тийисли	relevant
исенимли	reliable
жаны жай табыў	relief
жеңиллесиў	relieve
жеңиллеген	relieved
дин	religion
диндар	religious
шарасыз	reluctant
сүйениў	rely
қалыў	remain
қалып турған	remaining
айрықша	remarkable
ем	remedy
еслеў	remember
еслетиў	remind
еслетпе	reminder
аралық	remote
алып таслаў	remove
жәрдем көрсетиў	render
ижараға алыў	rent
дүзетиў	repair
қайталаў	repeat
алмастырыў	replace
жуўап	reply
жуўап бериў	reply
есабат	report
есабат бериў	report
ўәкиллик етиў	represent
абырай	reputation
ѳтиниш етиў	request
ѳтиниш	request
талап етиў	require
соралған	required
қутқарыў	rescue
изертлеў	research
уқсаў	resemble
қапагершилик	resentment
бәнт етиў	reservation
алып қойыў	reserve
резидент	resident
ўазыйпадан бас тартыў	resign
стресске турақлылық	resilience
беккем	resilient
қарсылық қылыў	resist
турақлылық	resistance
резолюция	resolution
шешимин табыў	resolve
санатория	resort
ресурслар	resources
ҳүрмет	respect
ҳүрметлеў	respect
жуўап бериў	respond
жуўап	response
жуўапкершилик	responsibility
жуўапкер	responsible
дем алыў	rest
жатқан жериңиз жайлы болсын	rest in peace
ресторан	restaurant
қайта тиклеў	restore
шеклеў	restrict
нәтийже	result
нәтийжелер	results
қайта тиклеў	resume
усақлап сатыў	retail
услап турыў	retain
услап қалыў	retention
напақаға шыққан	retired
шегиниў	retreat
қайтарып алыў	retrieve
қайтыў	return
ашықлаў	reveal
ашықланды	revealed
өш алыў	revenge
түсим	revenue
артқа	reverse
қайта кѳрип шығыў	review
қайта көрип шығыў	revise
қайта көриў	revision
төңкерис	revolution
сыйлықлаў	reward
ритм	rhythm
қабырға	rib
гүриш	rice
бай	rich
босатыў	rid
кѳликте жүриў	ride
кѳликте жүрилген жол	ride
күлкили	ridiculous
ҳақ-ҳуқық	right
оңға	right
тап ҳәзир	right now
қатаң	rigid
жүзик	ring
шайыў	rinse
көтерилис	riot
жарық жер	rip
сындырыў	rip
пискен	ripe
кѳтерилиў	rise
тәўекел етиў	risk
риск	risk
бәсекилес	rival
дәрья	river
жол	road
қуўырыў	roast
беккем	robust
тас	rock
қармақ	rod
роль	role
рулон	roll
жайдың төбеси	roof
хана	room
тамыр	root
жип	rope
шириў	rotten
қыйын	rough
шамалап	roughly
домалақ	round
жөнелис	route
күнделик тәртип	routine
қатар	row
ысқылаў	rub
резина	rubber
мәниссиз	rubbish
қопал	rude
гилемше	rug
бузыў	ruin
қағыйда	rule
сызғыш	ruler
қағыйдалар	rules
жуўырыў	run
жүрип турған	running
аўыллық жерлер	rural
тығыз ўақыт	rush
асығыў	rush
босатыў	sack
әўлийе	sacred
қурбан етиў	sacrifice
қәўипсиз	safe
аман барың	safe flight
қәўипсизлик	safety
дана	sage
айтты	said
теңиз саяхаты	sail
кемеде жүзиў	sailing
ийгилик	sake
айлық	salary
распродажа	sale
лосос	salmon
дуз	salt
бирдей	same
бизде де солай	Same here
үлги	sample
қум	sand
Санскрит	Sanskrit
мысқыллы	sarcastic
шешен	sassy
отырды	sat
қанаатланыў	satisfaction
қанаатланған	satisfied
қанаатланыў	satisfy
рәҳәтлендириўши	satisfying
Шемби	Saturday
колбаса	sausage
мийримсиз	savage
сақлыў	save
кѳрди	saw
айтыў	say
шкала	scale
ҳийлекерлик	scam
тыртық	scar
аз	scarce
қорқып қалған	scared
шарф	scarf
қорқынышлы	scary
шашылған	scattered
сахна	scene
декорация	scenery
жағымлы ийис	scent
кестеге киритиў	schedule
кесте	schedule
мектеп	school
илим	science
илимпаз	scientist
алымлар	scientists
қайшы	scissors
тоңқылдақ ҳаял	scold
шегарасы	scope
очко	score
қағаз бөлеги	scrap
тырнаў	scratch
бақырыў	scream
экран	screen
шуруп	screw
сценарий	script
теңиз	sea
штамп	seal
излеў	search
мәўсим	season
орынлық	seat
екинши	second
сыр	secret
секция	section
қәўипсиз	secure
қәўипсизлик илажлары	security
кѳриў	see
көрискенше	see you
көрискенше	see you later
көрискенше	see you soon
ертең көрискенше	see you tomorrow
туқым	seed
излеў	seek
түйилиў	seem
түйиледи	seems
көринди	seen
қолға алыў	seize
тутқанақ	seizure
арасында	seldom
таңлаў	select
өз	self
өзи тәўир болатуғын	self healing
егоист	selfish
сатыў	sell
жибериў	send
сүўретиңизди жибериң	send me your picture
үлкен	senior
cезим	sense
сезилерли	sensible
сезимтал	sensitive
жөнетилген	sent
гәп	sentence
гәплер	sentences
бѳлек	separate
Сепеди	Sepedi
сентябрь	september
избе-излик	sequence
серия	series
ҳәзил болмаған	serious
раслап	seriously
аўқат тартыў	serve
хызмет	service
сессия	session
топлам	set
ѳзгертиў	set
орнатыў	set up
сазлаў	setting
орналасыў	settle
жети	seven
он жети	seventeen
жетпис	seventy
бирнеше	several
аўыр дәрежедеги	severe
тигиў	sew
сая	shade
сая	shadow
қол алысыў	shake
сайыз	shallow
уят	shame
форма	shape
бѳлисиў	share
өткир	sharp
ол	she
ода бар	she has
ол	she is
шертек	shed
қой	sheep
бет	sheet
полка	shelf
қабық	shell
баспана	shelter
қалқан	shield
жылжыў	shift
жарқыраў	shine
кеме	ship
жөнетиў	shipping
көйлек	shirt
аяқ кийим	shoes
атыў	shoot
дүкән	shop
базарлаў	shopping
жаға	shore
қысқа	short
жетиспеўшилик	shortage
оқлаў	shot
соққы	shot
керек	should
ийин	shoulder
бақырыў	shout
кѳрсетиў	show
шоу	show
көрсетиң	show me
душ	shower
креветка	shrimp
қысқарыў	shrink
жабыў	shut
аўзыңды жап	shut up
уялшақ	shy
туўысқан	sibling
туўысқанлар	siblings
кесел	sick
қаптал	side
суўық дем алыў	sigh
кѳриў қәбилети	sight
әтирапты көриў	sightseeing
қол қойыў	sign
қолы	signature
сезилерли	significant
тынышлық	silence
үнсиз	silent
жипек	silk
ақмақ	silly
гүмис	silver
бирдей	similar
ахмақ	simp
әпиўайы	simple
бир ўақытта	simultaneously
берли	since
шын жүректен	sincere
шын жүректен	sincerely
қосық айтыў	sing
қосықшы	singer
жалғыз	single
раковина	sink
шѳгиў	sink
Мырза	Sir
қарындас	sister
келин	sister in law
отырыў	sit
майдан	site
жағдай	situation
алты	six
он алты	sixteen
алпыс	sixty
өлшем	size
қәбилет	skill
қәбилетлер	skills
тери	skin
азғын	skinny
атлап өтиў	skip
юбка	skirt
аспан	sky
қул	slave
уйықлаў	sleep
уйқыдағы	sleeping
уйқысыраған	sleepy
жең	sleeve
бөлекке бөлиў	slice
бөлек	slice
сырғанаў	slide
азғана	slightly
арық	slim
тайыў	slip
қайысқан жер	slope
тесик	slot
әстен	slow
әстен	slowly
киши	small
бежере алыў	smart
ийискелеў	smell
күлки	smile
мыйық тартыў	smile
шегиў	smoke
тегис	smooth
снэк	snack
улитка	snail
жылан	snake
кнопка	snap
қар	snow
солай	so
жүдә сүйкимли	so cute
усы ўақытқа шекем	so far
сиңдирип алыў	soak
сабын	soap
есине келтириў	sober
футбол	soccer
социаллық	social
жәмийет	society
шулық	socks
жумсақ	soft
дәстүр	software
топырақ	soil
сатылған	sold
сатып таўсылған	sold out
әскер	soldier
табан	sole
тығыз	solid
шешим	solution
шешиў	solve
айырым	some
гейбиреў	somebody
қалай да	somehow
гейбиреў	someone
бир нәрсе	something
гейде	sometimes
қосық	song
жақын арада	soon
көпти көрген	sophisticated
Сорани	Sorani
жара орын	sore
аўырып турған	sore
тамақ аўырыў	sore throat
қайғы	sorrow
Кешириң	Sorry
сорт	sort
талап етилетуғын	sought
кеўил	soul
кеўиллес	soulmate
даўыс	sound
сорпа	soup
ашқылтым	sour
дерек	source
қубла	south
орын	space
спам	spam
айланыў	span
Испанша	Spanish
аўысық	spare
ўақыт бѳлиў	spare
сөйлеў	speak
арнаўлы	special
түрлер	species
тийисли	specific
жарқын көринис	spectacular
шығып сөйлеў	speech
лал	speechless
тезлик	speed
ҳәриплеп айтыў	spell
сарыплаў	spend
сарыпланған	spent
ашшы	spicy
тисше	spike
айналыў	spin
шпинат	spinach
руўх	spirit
түпириў	spit
әжайып	splendid
бѳлек	split
айырыў	split
бүлдириў	spoil
бүлинген	spoiled
дус келген	spontaneous
қасық	spoon
ноқат	spot
жубай	spouse
жайылған	spread
бәҳәр	spring
квадрат	square
қысыў	squeeze
кальмар	squid
тыйын	squirrel
әўлие	st
тығыў	stab
турақлы	stable
стеллаж	stack
хызметкер	staff
этап	stage
бояў	stain
текше	stairs
ставка	stake
жасырын ҳәрекет	stalk
киоск	stall
мөр	stamp
стенд	stand
турыў	stand
стандарт	standard
жулдыз	star
баслаў	start
баслады	started
аш	starving
ҳалат	state
атап ѳтиў	state
хабар	statement
вокзал	station
ҳәйкел	statue
статус	status
қалыў	stay
аман жүриң	stay safe
турақлы	steady
стейк	steak
урлаў	steal
пар	steam
урлаў	steel
тик	steep
түбир	stem
қәдем	step
таяқ	stick
алдаў	stiff
еле	still
қыймылсыз	still
шағыў	sting
сықмар	stingy
былғаў	stir
акция	stock
урланған	stolen
қарын	stomach
тас	stone
турды	stood
орындық	stool
тоқтаў	stop
склад	storage
сақлаў	store
даўыл	storm
ўақыя	story
газ ошақ	stove
туўры	straight
тик	straightforward
штамм	strain
бийтаныс	strange
бийтаныс	stranger
стратегия	strategy
сабан	straw
клубника	strawberry
ўақыт аралығы	streak
ағыс	stream
көше	street
күш	strength
стресс	stress
созыў	stretch
қатаң	strict
көтерилис	strike
сым	string
жиңишке кесинди	strip
интилис	strive
сызық	stroke
күшли	strong
қағып кеткен	struck
дүзилис	structure
қыйыншылық	struggle
қыйналыў	struggle
қыйналып атырған	struggling
надан	stubborn
қысылып калыў	stuck
студент	student
оқыў	study
оқыў	studying
зат	stuff
лал қаларлық	stunning
ахмақ	stupid
стиль	style
атама	subject
тапсырыў	submission
тапсырыў	submit
орталық	substance
алмастырыў	substitute
нәзик	subtle
сәтли болыў	succeed
әўмет	success
сәтли	successful
сондай	such
сыяқлы	such as
сорыў	suck
тосаттан	sudden
тосыннан	suddenly
қыйналыў	suffer
қыйналып атырған	suffering
жетерли	sufficient
шекер	sugar
усыныў	suggest
усыныс	suggestion
костюм	suit
жарасыў	suit
сәйкес	suitable
чемодан	suitcase
улыўма есап	sum
мазмуны	summary
жаз	summer
саммит	summit
қуяш	sun
Екшемби	sunday
қуяшлы	sunny
күн батыў	sunset
қуяш нуры	sunshine
супер	super
үстин турыўшы	superior
гүзетиўши	supervisor
кешки аўқат	supper
тәмийнат	supply
тәмийинлеў	supply
қоллап-қуўатлаў	support
деп ойлаў	suppose
күтилген	supposed
исеними кәмил болыў	sure
жүзи	surface
бирден көтерилип түсиў	surge
операция	surgery
фамилия	surname
ҳайран қалдырыў	surprise
ҳайран қалған	surprised
бағыныў	surrender
қоршаған	surrounding
гүзетиў	surveillance
сораўнама ѳткериў	survey
сораўнама	survey
аман қалыў	survive
гүманланыў	suspect
гүманланыўшы	suspect
қалдырылған	suspended
гүманлы	suspicious
турақландырыў	sustain
турақлылық	sustainability
турақлы	sustainable
олжа	swag
жутыў	swallow
алмастырыў	swap
ант етиў	swear
терлеў	sweat
свитер	sweater
сыпырыў	sweep
мазалы	sweet
жақсы түслер көриң	sweet dreams
мазалыны сүйиўши	sweet tooth
сүйикли	sweetheart
исиў	swell
исик	swelling
жүзиў	swim
жүзиў	swimming
шайқалыў	swing
шайқалыс	swing
қосыў	switch
выключатель	switch
исинген	swollen
қылыш	sword
символ	symbol
унатыў	sympathy
белгилери	symptoms
система	system
стол	table
шешиў	tackle
биреўди белгилеў	tag
қуйрық	tail
алыў	take
алып кетиў	take away
аман болың	take care
кийимди шешиў	take off
алынды	taken
сәўбетлесиў	talk
сәўбет	talk
сөйлемшек	talkative
узын	tall
кран	tap
ағызып алыў	tap
лента	tape
гөзлеў	target
нышан	target
ўазыйпа	task
дәм	taste
дәм бериў	taste
мазалы	tasty
оқытты	taught
шай	tea
оқытыў	teach
оқытыўшы	teacher
команда	team
тозыў	tear
көз жаслары	tears
ашыўына тийиў	tease
технология	technology
тислер	teeth
айтыў	tell
маған айтың	tell me
ашыў	temper
температура	temperature
ибадатхана	temple
ўақытша	temporary
он	ten
он мың	ten thousand
ижарашы	tenant
бейим болыў	tend
ҳәрекет бағдары	tendency
тендер	tender
мәҳәл	tense
басым	tension
шатыр	tent
ўақытша	tentative
мүддет	term
шәртлер	terms
қорқынышлы	terrible
қорқынышлы	terrific
территория	territory
тест ислеў	test
тест	test
текст	text
гѳре	than
рахмет	thank
рахмет	thank you
Жѳнетпени тексериўимиз даўамында күтип турғаныңыз ушын рахмет	Thank you for your patience while we investigate shipment
үлкен рахмет	thank you so much
үлкен рахмет	thank you very much
рахмет	thanks
Бизиң дәстуримизден пайдаланғаныңыз ушын рахмет	Thanks for using our app
сол	that
сол	that is
жақсы	that's good
урлық	theft
олардың	their
оларды	them
тема	theme
өзлери	themselves
кейин	then
теория	theory
сол жерде	there
бар	there are
бар	there is
сонлықтан	therefore
булар	these
олар	they
олар	they are
қалың	thick
уры	thief
сан	thigh
жиңишке	thin
зат	thing
затлар	things
ойлаў	think
үшинши	third
шөллеў	thirsty
он үш	thirteen
отыз	thirty
бул	this
бул	this is
пуқта	thorough
пуқталық пенен	thoroughly
олар	those
қарамастан	though
ойлады	thought
ой	thought
ойға талған	thoughtful
ойлар	thoughts
мың	thousand
жип	thread
қәўип	threat
қорқытыў	threaten
үш	three
босаға	threshold
үлкен қуўанышта болыў	thrilled
жайнап-жаснаў	thrive
тамақ	throat
арқалы	through
бойлап	throughout
ылақтырыў	throw
бас бармақ	thumb
гүлдирмама	thunder
Пийшемби	Thursday
бунда	thus
түртиў	tick
теңиз толқыны	tide
тәртипке келтирилген	tidy
галстук	tie
байлаў	tie
жолбарыс	tiger
беккемлеп	tight
Тигриня	Tigrinya
ўақыт	time
шоршыған	timid
жүдә киши	tiny
мәсләҳәт	tip
пайдалы мағлыўмат	tips
баллон	tire
шаршаған	tired
салфетка	tissue
атама	title
болыў	to be
қыздырыў	toast
бүгин	today
кишкене бала	toddler
аяқтың бас бармақлары	toes
биргеликте	together
ҳәжетхана	toilet
айтылған	told
шыдам	tolerance
шыдаў	tolerate
помидор	tomato
ертең	tomorrow
тил	tongue
бүгин кеште	tonight
алдынғы	took
қурал	tool
үскенелер	tools
тис	tooth
төбеси	top
тема	topic
жыртық	torn
азап бериў	torture
жәми	total
тийиў	touch
қыйын	tough
тур	tour
тәрепке	toward
тәрепке	towards
сүлги	towel
қала	town
зәҳәрли	toxic
из	trace
из	track
саўда	trade
саўда қылыў	trade
үрп-әдет	tradition
миллий	traditional
жол ҳәрекети	traffic
соқпақ	trail
шынықтырыў	train
тренинг	training
минез өзгешелиги	trait
өзгешелик белгилери	traits
басқа орынға өткериў	transfer
өтиў	transition
аўдармалаў	translate
көринетуғын	transparent
транспорт	transport
транспортировка	transportation
қақпан	trap
шығынды	trash
травма	trauma
саяхат етиў	travel
поднос	tray
ғәзийне	treasure
қатнаста болыў	treat
ем	treatment
терек	tree
нәҳән	tremendous
тенденция	trend
сынақ	trial
сыр	trick
ҳәрекет еткен	tried
ҳәрекетке келтириў	trigger
ҳәрекетке келтириўши тутқыш	trigger
қырқыў	trim
саяхат	trip
қайғы	trouble
шалбар	trousers
жүк машинасы	truck
дурыс	true
томар	trunk
исеним	trust
исениў	trust
ҳақыйқат	truth
ҳәрекет етиў	try
Цонга	Tsonga
трубка	tube
Шийшемби	Tuesday
тәлим	tuition
түйетаўық	turkey
куркума	turmeric
бурылыў	turn
тасбақа	turtle
репетитор	tutor
он еки	twelve
жигирма	twenty
жигирма бир	twenty-one
Тви	Twi
еки рет	twice
қайысыў	twist
еки	two
түр	type
әдеттеги	typical
унамсыз	ugly
соңғы нәтийже	ultimate
саябан	umbrella
епсиз	unable
дайы	uncle
ҳуўышсыз	unconscious
астында	under
төменги бөлими	underneath
жетерлише баҳаланбаған	underrated
түсиниў	understand
түсинди	understood
тилекке қарсы	unfortunately
униформа	uniform
жалғыз	unique
бирлик	unit
университет	university
белгисиз	unknown
шекем	until
өзгеше	unusual
жоқарыға	up
өзиңе байланыслы	up to you
жаңалық бериў	update
жаңалық	update
жоқарылатыў	upgrade
жоқарылаў	upgrade
ўақтында	upon
қапа	upset
қала әтирапы	urban
ийтермелеў	urge
қыстаўлы	urgent
бизлердиң	us
пайдаланыў	use
пайда	use
пайдаланылған	used
пайдалы	useful
пайдасыз	useless
әдеттеги	usual
әдетте	usually
энергия ресурслары	utility
мийнет дем алысы	vacation
вакцинация	vaccination
вакцина	vaccine
шаңжутқышта тазалаў	vacuum
түсиниксиз	vague
әмелдеги	valid
ойпатлық	valley
баҳалы	valuable
баҳалаў	value
баҳа	value
ҳәр түрли	variety
тўрлише	various
парық қылыў	vary
ваза	vase
көп санлы	vast
палыз өнимлери	vegetable
палыз өнимлери	vegetables
көлик	vehicle
тамийнатшы	vendor
зәҳәр	venom
кәрхана	venture
мәкан жайы	venue
тастыйықлаў	verify
ҳәр тәреплеме	versatile
версия	version
вертикал	vertical
жүдә	very
жүдә жақсы	very good
суў транспорты	vessel
арқалы	via
болжам	vibe
болжам	vibes
ылас	vicious
қурбан	victim
видео	video
кѳриў	view
аўыл	village
залым	villain
уксус	vinegar
қәдимги	vintage
жаўызлық	violence
жаўызларша	violent
жуғымлы	viral
қыз бала	virgin
виртуал	virtual
ҳүждан	virtue
көриў қәбилети	vision
визит шөлкемлестириў	visit
визит	visit
визуал	visual
өмирлик	vital
жанлы	vivid
сөзлик	vocabulary
даўыс	voice
бос	void
көлем	volume
кеўилли	volunteer
қусық	vomit
қайтарыў	vomit
әззи	vulnerable
ис ҳақы	wage
ис ҳақы	wages
бѳксе	waist
күтиў	wait
официант	waiter
кутипмекте	waiting
ояныў	wake
оятыў	wake up
жүриў	walk
айланыў	walk
жүрип баратырған	walking
дийўал	wall
кошелёк	wallet
гезиў	wander
қәлеймен	wanna
қәлеў	want
қәленген	wanted
урыс	war
шкаф	wardrobe
склад	warehouse
жылытыў	warm
жыллы	warm
ескертиў	warn
ескертиў	warning
жаўынгер	warrior
жуўыў	wash
ысырап	waste
ысырап етиў	waste
тамаша етиў	watch
суў	water
қаўын	watermelon
қолды былғаў	wave
жол	way
бизлер	we
бизлер	we are
бизлер	we can
әззи	weak
әззилик	weakness
байлық	wealth
бай	wealthy
кийиў	wear
кийген	wearing
ҳаўа райы	weather
той	wedding
Cәршемби	Wednesday
шөп	weed
ҳәпте	week
ҳәпте ақыры	weekend
салмақ басыў	weight
салмақ	weight
ѳзгеше	weird
хош келипсиз	welcome
аманлық	welfare
Жақсы	Well
бәрекелла	well done
барды	went
батыс	west
ызғар	wet
кит	whale
не	what
сен не	what about you
не ислеп атырсыз	what are you doing
ҳәзир не ислеп атырсаң	what are you doing now
ҳәзир не ислеп атырсыз	what are you doing right now
не ислейсиз	what do you do
не жумыс ислейсиз	what do you do for a living
нени нәзерде тутып турсыз	what do you mean
не қәлейсиз	what do you want
не болды	what happened
не	what is
бул не	what is this
кәсибиңиз не	what is your job
атыңыз ким	what is your name
не жаңалық	what's up
атыңыз ким	what's your name
не болса да	whatever
бийдай	wheat
дөңгелек	wheel
қашан	when
қашан болса да	whenever
қай жерде	where
қай жердесиз	where are you
қай жерден боласыз	where are you from
ҳәзир қай жердесиз	where are you now
қай жерде турасыз	where do you live
қай жер	where is
екенлиги	whether
қайсы	which
сыбырлаў	whisper
ысқырыў	whistle
ақ	white
ким	who
сиз кимсиз	who are you
ким	who is
бул ким	who is this
пүткил	whole
кимди	whom
кимниң	whose
не ушын	why
неге болмасын	why not
гүнәкәр	wicked
кең	wide
жесир ҳаял	widow
ени	width
ѳмирлик жолдас	wife
жабайы	wild
ерк	will
нийетленген	willing
жеңиў	win
самал	wind
айна	window
самаллы	windy
вино	wine
қыс	winter
сүртиў	wipe
сым	wire
даналық	wisdom
ақыллы	wise
тилек	wish
тилеў	wish
зор тилеклерди тилеймен	wish you all the best
мәстан кемпир	witch
бенен	with
шығарыў	withdraw
шығарып алыў	withdrawal
арасында	within
гүўа	witness
гүўа болыў	witness
ақылы өткир	witty
қасқыр	wolf
ҳаял	woman
ҳаял-қызлар	women
жеңди	won
қызықсыныў	wonder
әжайып	wonderful
ағаш	wood
жүн	wool
сөз	word
сөзлер	words
жумыс	work
жумыс ислеў	work
ислеп шығыў	work out
ислеп атыр	working
дүнья	world
қурт	worm
тозған	worn
қайғырған	worried
қайғырыў	worry
жаманырақ	worse
сыйыныў	worship
ең жаман	worst
арзыйтуғын	worth
буған арзыйды	worth it
арзырлы	worthy
жара	wound
Оҳҳо	Wow
ораў	wrap
ғәзеп	wrath
билек	wrist
жазыў	write
Мына жерге жазың	Write here
жазыў	writing
жазылған	written
қәте	wrong
жазды	wrote
ҳәўли	yard
еснеў	yawn
Бәрекелла	Yeah
жыл	year
жыллар	years
дрожжи	yeast
бақырыў	yell
сары	yellow
Аўа	Yes
аўа, жаным	yes baby
аўа, әзийзим	yes dear
аўа, әзизим	yes honey
аўа, муҳаббатым	yes my love
аўа әлбетте	yes of course
кеше	yesterday
еле	yet
ҳасылдарлық	yield
сиз	you
сен	you are
сиз сулыўсыз	you are beautiful
сиз сондай сулыўсыз	you are so beautiful
арзымайды	you are welcome
сен	you can
Хабарыңыз болғанындай	You know
сен де	you too
арзымайды	you're welcome
жас	young
сизиң	your
арзымайды	your welcome
өзиңиз	yourself
жаслық	youth
арзымайды	you’re welcome
мазалы	yummy
ноль	zero
