abandoned	आबुध्त
pervert	पितृव्य
pet	लालितकः
phase	क्षण
phenomenon	घटना
philosophy	दर्शनशास्त्र
phone	फोनं
photo	चित्रं
phrase	सम्पुट
physical	भौतिक
pick up	ग्रहणम्
pick	चिनूहि
picture	चित्र
pieces	अंशा:
piece	भाग
pigeon	कपोतः
pig	सुकरः
pile	सम्चि
pillow	उपधान
pilot	वैमानिक
pineapple	अनास
pink	पाटल
pin	आतप
pitch	लिम्पति
pity	दयनीय
pit	खड्ड
places	स्थानाः
place	स्थानम्‌
plague	मारिका
plain	सम
plane	समतल
plants	औषध्याम्
plant	वनस्पति
plan	योजना
plate	स्थालिका
platform	तमङ्गः
playing	क्रीडति
play	क्रीडतु
pleasant	प्रसन्न
pleased	प्रसन्न
please	कृपया
pleasure	आनन्दः
pledge	प्रतिज्ञा
plenty	बहुल
plot	भूखण्ड
plug	निग
plumber	नलकार
plum	जम्बुल
plural	बहुवाचक
podcast	पॉडकास्टं
poem	काव्य
poetry	काव्य
point	बिन्दु
poison	विष
police	आरक्षक
policy	नीति
polite	नम्रः
pollution	प्रदूषणं
pond	जलाशय
pool	सञ्चय
poop	मल
poor	निर्धनः
popular	लोकप्रियं
population	जन
pop	लोक
pork	सुकरस्य माँस
porridge	ओदन
port	पोताश्रय
position	स्थितिः
positive	सकारात्मकः
possession	भुक्ति
possessive	स्वामिगत
possess	भज्
possible	सम्भव
postpone	स्थगन
post	पद
potato	आलूः
potential	तन्मात्रम्‌
pound	निश्रेणिचिह्न
poverty	निर्धनता
powerful	शक्तिशाली
power	शक्ति
practical	व्यावहारिक
practice	अभ्यासः
praise	प्रशंसा
prank	चाल
pray	प्रयाण
precious	बहुमूल्यम्‌
precisely	निपुणम्
precise	सटीक
predict	शास्ति
preference	आद्यता
prefer	अभिवृणीते
pregnant	गर्भवती
prejudice	पूर्वाग्रहं
premises	परिसर
premium	वृद्धि
preparation	प्रेप्सति
prepared	सिद्ध
prepare	सज्जी करोतु
preposition	उपसर्ग
presence	उपस्थिति
presentation	प्रस्तुति
present	उपस्थितः
preserve	संरक्षण
president	राष्ट्रपति
pressure	प्रबलता
press	मुद्रणशाला
pretend	व्यपदिशति
pretty	सुभगा
prevent	निवारयतु
previous	पूर्वतनम्‌
prey	हिंस्र
price	मूल्य
pride	अभिमानः
priest	पुरोहित
primary	प्राथमिक
prime	मुख्य
princess	राजकुमारी
principal	प्रधानाचार्य
priority	पूर्ववर्तिता
prior	पूर्वतर
prison	कारागृह
privacy	निजता
private	वैयक्तिक
privilege	विशेषाधिकार
prize	पुरस्कारं
probably	प्रायेण
problem	समस्या
procedure	प्रक्रिया
proceed	प्रवर्तते
process	प्रक्रिया
produce	उत्पन्न
production	उत्पादन
product	उत्पाद
professional	व्यवसायी
profession	व्यवसाय
profile	रूपरेखा
profit	लाभं
profound	गभीर
progress	विकासः
project	प्रकल्प
prominent	प्रमुख्य
promise	वचनं
promote	प्रोत्साहन
promotion	संवर्धना
prompt	त्वरित
prone	ग्राहक
pronouns	सर्वनाम
pronunciation	उच्चारणं
proof	प्रमाणं
properly	उचितं
properties	गुणाः
property	सम्पत्तिः
proper	उचित
proposal	प्रस्ताव
prospect	सम्भावना
prosperity	समृद्धि
prosperous	सम्पन्न
protect	संरक्षयतु
proud	गर्वितः
prove	प्रमाणन
provided	प्रदत्त
provide	परिकल्पयतु
province	प्रांत
provision	प्रावधान
puberty	किशोरावस्था
public	सार्वजनिक
pull	आकर्षति
pumpkin	कुष्माण्ड
punctual	समयनिष्ठ
pupil	छात्र
purchase	संक्रयणम्‌
pure	पवित्र
purple	शोण
purpose	उद्देश्यम्‌
purse	स्यूत
pursue	प्रयक्षते
pursuit	आकांक्षा
push	नोद
put	स्थापयतु
qualification	योग्यता
quality	गुणवत्ता
quantity	मात्रा
quarantine	संगरोधम्
quarrel	कलहं
quarter	चतुर्थांश
Quechua	केचुवा
queen	राज्ञी
queer	विचित्र
query	उत्प्रेक्षा
question	प्रश्न
queue	पङ्क्ति
quickly	शीघ्रेण
quick	तीव्र
quiet	शांतिम्
quilt	आस्तरण
quite	नितान्तम्‌
quit	परिजहातु
quiz	प्रश्नोत्तरी
quotation	उद्धरण
quotes	उद्धरण
quote	उद्धरण
rabbit	शशकः
race	धावनं
rage	रुष्
rain	वृष्टि
raised	उन्नत
raise	उत्थापय
random	यदृच्छासङ्ख्या
range	पङ्क्तिः
ran	अधावत्
rapidly	शीघ्रतया
rapid	तीव्र
rarely	दुर्लभतः
rare	दुर्लभः
rash	दुस्साहसी
rate	मानम्‌
rather	उत
rational	तर्कसंगत
ratio	अनुपातं
rat	मूषकः
raw	अपक्व
reached	समाप्य
reach	अवाप्नोतु
reaction	प्रतिक्रिया
reading	पठन
ready	आत्त
read	पठतु
reality	वास्तविकतया
realized	अनुभूत
realize	साकारी करोति
really	यथार्थत
real	वास्तविक
rear	पश्च
reasonable	युक्तियुक्त
reason	कारणम्‌
recall	प्रत्यावर्तन
receipt	प्राप्त
received	प्राप्तः
receive	प्राप्नोतु
recently	सद्यः
recent	सद्यस्क
reception	ग्रहण
recipe	व्यंजनं
reckless	साहसिक
recognition	स्वीकृति
recognize	प्रत्यभिजानातु
recommended	प्रस्तावित
recommend	प्रशंसति
record	अभिलेख
recovery	पुनर्प्राप्ति
recover	समुच्छ्वस्
rectangle	आयत
redeem	निष्क्रीणाति
redemption	निष्क्रयण
reduce	लघू करोतु
redundant	व्यर्थ
red	रक्त
reference	सन्दर्भः
refer	आक्षिपति
reflection	परावर्तन
reflect	परावर्तति
refrain	जहाति
refrigerator	शितकः
refund	प्रतिदान
refused	आस्वीकृत
refuse	अस्वीकार
regarding	संबंधे
regardless	अनवेक्ष
regards	सादर
regard	सादर
region	क्षेत्र
register	पंजीकर्
regret	खेदः
regularly	नियमतः
regular	नियमित
reject	अस्वीकार
related	आसम्बद्ध
relate	सम्बद्ध
relationship	सम्बन्धः
relatives	संबंधीजनाः
relative	संबंधी
relax	विनोदयन
released	अनावृता
release	मोचनम्‌
relevant	प्रासङ्गिकः
reliable	विश्वसनीयः
relief	उपशम्
relieved	मूचित
relieve	मूचन
religion	धर्म
religious	धार्मिक
reluctant	अनिच्छुक
rely	विश्वसिति
remaining	अवशिष्ट
remain	समभिवर्तते
remarkable	लक्षनीय
remedy	उपचार
remember	स्मरतु
reminder	स्मरणपत्र
remind	समनुविद्
remote	दूरस्थ
remove	अपाकरोति
render	प्रतिदा
rent	स्कन्ध
repair	उद्धार
repeat	परिहरन
replace	प्रत्याहृ
reply	उत्तरं
report	वृत्तान्तः
represent	रूपयति
reputation	प्रतिष्ठा
request	अनुरोधः
required	आवश्यकः
require	आवश्यक
rescue	रक्ष्
research	अनुसंधानम्
resemble	सदृश्य
resentment	अमर्श
reservation	आरक्षणं
reserve	परिहर
resident	निवासी
resign	निष्क्रम्
resilience	रेषित
resilient	प्रति- क्रम्
resistance	अवरोध
resist	प्रतिरोध
resolution	प्रस्ताव
resolve	संकल्प:
resort	संश्रय
resources	संसाधनाः
respect	आदरः
respond	परतिक्रिया
response	प्रतिक्रिया
responsibility	उत्तरदायित्व
responsible	उत्तरदायकः
restaurant	उपाहारगृह
rest in peace	शांतिं गच्छे
restore	निर्यत्
restrict	परिमिमीते
rest	विश्रान्तिः
results	परिणामाः
result	परिणाम
resume	पुनर्प्रारम्भय
retail	अल्पशः विक्रयः
retain	हृ
retention	धारण
retired	अवकासप्राप्त
retreat	पलाय्
retrieve	पुनर्प्राप्त कुरु
return	निर्वतनम्
revealed	उदग़रित
reveal	प्रकटी करोतु
revenge	प्रतिशोध
revenue	आय
reverse	विपरीत
review	परिशीलयतु
revise	समीक्षा कुरू
revision	कार्यदर्शन
revolution	परिभ्रमण
reward	सम्मान
re	पुनः
rhythm	ताल
rib	अभिभेरति
rice	तांडुलः
rich	धनिकः
ride	वहते
ridiculous	हास्यास्पद
rid	संत्यज्
right now	वर्तमाने
right	दक्षिणः
rigid	अनम्य
ring	वर्तुल
rinse	प्र- क्षल्
riot	संक्षोभ
ripe	पक्क
rip	शल्क
rise	उदयः
risk	संशय
rival	प्रतिद्वंदी
river	नदी
road	मार्गं
roast	निष्टप्
robust	परिपूर्ण
rock	चट्टानं
rod	दण्डः
role	भूमिका
roll	लुण्ठन
roof	छाद
room	कक्ष
root	मूलं
rope	रज्जु
rotten	शीर्ण
roughly	तृष्टदंश्मन्
rough	रूक्षः
round	वृत्त
route	मार्ग
routine	योजना
row	पंक्ति
rubber	निर्घर्षणकः
rubbish	करीष
rub	घट्टते
rude	दुर्विनीतः
rug	कम्बल
ruin	नाश
ruler	वाताट
rules	नियमाः
rule	नियम
running	चलति
run	धावनं करोतु
rural	ग्रामीयः
rush	स्ंरम्भ
sack	उत्सृज्
sacred	पवित्र
sacrifice	बलिदानं
safe flight	सुरक्षित पात
safety	सुरक्षा
safe	सुरक्षितः
sage	संत
said	उक्तवान्‌
sailing	जलयात्रा
sail	नौका
sake	सर्पः
salary	वेतनं
sale	विक्रय
salmon	वृहद्मीना
salt	लवणं
Same here	यत्रेव सम
same	समान
sample	प्रतिदर्श
sand	वालुका
Sanskrit	संस्कृत
sarcastic	अवक्षेपक
sassy	चेष्टालु
satisfaction	संतुष्टि
satisfied	संतुष्ट
satisfying	संतोषजनक
satisfy	सम्- राध्
Saturday	शनिवारं
sat	उपविष्टवन्तः
sausage	गोमांसांश:
savage	हिंस्रः
save	रक्ष्
saw	अपश्यत्‌
say	कथय
scale	मापन
scam	कपटप्रबन्धः
scarce	दुर्लभ
scared	भयसन्त्रस्तः
scarf	उत्तरीय
scary	भयंकरं
scar	क्षतचिह्न
scattered	कीर्ण
scenery	दृश्य
scene	दृश्य
scent	गंध
schedule	कार्यक्रमः
school	विद्यालयः
science	विज्ञानम्‌
scientists	वैज्ञानिकाः
scientist	वैज्ञानिकाः
scissors	साम्यवादिपक्षाः
scold	निन्द्
scope	लब्द्धावसर
score	अंक
scrap	तुच्छद्रव्य
scratch	व्रण
scream	चटु
screen	पट
screw	भ्रामि
script	प्रलेखन
seal	मुद्राङ्कनम्‌
search	अन्वेषण
season	ऋतु
seat	आसन
sea	समुद्रः
second	क्षण
secret	रहस्य
section	खंड
secure	उरुष्य
security	सुरक्षा
seed	बीज
seek	अन्विष्यति
seems	भाति
seem	भाति
seen	दृष्ट
see you later	तत् पश्चात् अहं त्वां पश्यामि
see you soon	त्वां शीघ्रेण पश्यामि
see you tomorrow	त्वं श्वः पश्यामि
see you	त्वां पश्यामि
see	पश्यतु
seize	समादा
seizure	ग्राह
seldom	दुर्लभः
select	विचि
self healing	स्वयोेपचारं
selfish	स्वार्थी
self	स्वयं
sell	विक्रयिन्
send me your picture	भवतः छवि माम् प्रेषितु
send	प्रेषयतु
senior	ज्येष्ठ
sense	धारणा
sensible	युक्त
sensitive	संवेदनशील
sentences	वाक्यानि
sentence	वाक्य
sent	प्रेषित
separate	पृथक्
Sepedi	सेपेडी
september	सितंबरं माह
sequence	श्रेणी
series	श्रेणी
seriously	गंभीरतया
serious	गम्भीरः
serve	सेवते
service	सेवा
session	सत्र
setting	निर्याण
settle	समीकरोति
set up	स्थापयति
set	दृढः
seventeen	सप्तदश
seventy	सप्तति
seven	सप्तं
several	इतरेतर
severe	अति
sew	सिव्
shade	छाया
shadow	छाया
shake	घट्ट्
shallow	गाध
shall	भविष्यति
shame	लज्जा
shape	आकारः
share	संविभागः
sharp	तीव्र
shed	मुञ्चते
sheep	मेष
sheet	आस्तरण
she has	सा अपत्यति
she is	सा अस्ति
shelf	सन्धाय
shell	कोष्ठ
shelter	आश्रयः
she	सा
shield	कवच
shift	विहरति
shine	दर्प
shipping	प्रेषण
ship	नौका
shirt	युतक
shoes	पादत्र
shoot	औशिरिका
shopping	विपणि
shop	आपण
shore	तट
shortage	लघुत्ता
short	वामनः
shot	प्रचुदित
shoulder	स्कन्ध
should	स्यात्‌
shout	आक्रोश
shower	धारा
show me	पश्य माम्
show	दर्शयतु
shrimp	गनालिन
shrink	प्रविशते
shut up	संरुणद्धि
shut	संवृ
shy	लज्जालु
sh	श
siblings	जामयाः
sibling	सहोदर
sick	रुग्णः
side	पृष्ठभाग
sightseeing	परि- ईक्ष्
sight	दृश्य
sigh	नि- श्वस्
signature	हस्ताक्षर
significant	महत्वपूर्णः
sign	चिह्नम्‌
silence	शांति
silent	शांत
silk	कौशेय
silly	दुर्बुधः
silver	रजत
similar	संरूप
simple	सरलं
simp	सरलः
simultaneously	तन्त्रेन
sincerely	गंभीरतापूर्वक
sincere	निशथ
since	यतः
singer	गायकः
single	एकैकः
sing	गायति
sink	जलनिर्गमः
Sir	महोदयः
sister in law	ननान्दा
sister	भगिनी
site	क्षेत्र
situation	परिस्थितिः
sit	उप- विश्
sixteen	षोडशन्
sixty	षष्टि
six	षष्टं
size	आकृति
skills	कौशलानि
skill	कौशलं
skinny	चर्मन्
skin	चर्म
skip	क्षिपते
skirt	नीवी
sky	गगनः
slave	दासः
sleeping	शयन
sleepy	सुप्त
sleep	शयनं करोतु
sleeve	बाहुवस्त्र
slice	अंश
slide	च्यु
slightly	स्तोकम्‌
slim	श्लक्ष्ण
slip	स्खलनं
slope	प्रवत्
slot	चिह्नं
slowly	मन्दम्
slow	मन्द
small	लघु
smart	पटु
smell	गंध
smile	स्मितः
smoke	धुंधं
smooth	मसृणः
snack	परिका
snail	शम्बूक
snake	सर्प
snap	स्नापक
snow	तुषार
soak	सिच्
soap	फेनक
sober	अक्षीब
soccer	फुटबॉलं
social	सामाजिक
society	समाज
socks	पादकोश
so cute	अति मंजूषा
so far	इति
software	तन्त्रांश
soft	मृदु
soil	मृदा
soldier	भट
sold out	विक्रयणं भूत्वा
sold	विक्रीत
sole	आत्मा
solid	ठोस
solution	समाधानं
solve	उत्तरयति
somebody	कश्चन
somehow	कतप्यं
someone	कश्चित्
something	किञ्चित्‌
sometimes	कदाचित्‌
some	केचन
song	गीतं
soon	शीघ्रम्‌
sophisticated	परिष्कृतः
Sorani	सोरानी
sore throat	व्रणित कंठ
sore	क्रण
sorrow	दुःखं
Sorry	क्षम्यताम्‌
sort	प्रकारं
sought	अन्विष्ट
soulmate	आत्मन्-मित्र
soul	आत्मा
sound	ध्वनि
soup	आसवं
source	स्रोतः
sour	अम्ल
south	दक्षिण
so	अतः
space	स्थानं
spam	अनिष्ट
Spanish	स्पेनी भाषा
span	अवधि
spare	अतिरिक्त
speak	वदतिब्रू
special	विशेषः
species	विजाति
specific	विशिष्टः
spectacular	दर्शनीय
speechless	मूकः
speech	भाषणम्‌
speed	गति
spell	मन्त्र
spend	व्ययीकरोतु
spent	व्ययतित
spicy	अवलेह
spike	भृष्टि
spinach	पालकं
spin	घूर्णन
spirit	आत्मा
spit	वम्
splendid	शोभन
split	भंज
spoiled	भ्रष्ट
spoil	ग्रह
spontaneous	तात्क्षणिक
spoon	चमस
spot	स्थान
spouse	पत्नी
spread	विस्तीर्णम्‌
spring	वसन्तः
square	चतुरश्रः
squeeze	चाप
squid	स्क्विड
squirrel	चिक्रोड
stable	स्थावर
stab	भिन्न
stack	स्त्राव
staff	कर्मकरगणः
stage	मञ्च
stain	कलङ्क
stairs	चरणाः
stake	पण
stalk	पादपद्धति
stall	शाला
stamp	मुद्रा
standard	स्तरीय
stand	उत्तिष्ठते
started	आरंभित
start	प्रारंभः
starving	छिन्नभक्त
star	नक्षत्र
statement	वक्तव्यम्‌
state	राज्यम्‌
station	स्थानः
statue	प्रतिमा
status	स्थितिः
stay safe	सुरक्षितं वस
stay	तिष्ठतु
steady	अचल
steak	स्तेय
steal	चोरयति
steam	अन्विष्ट
steel	अय
steep	प्रवण
stem	स्तम्भ
step	चरण
stick	दण्डः
stiff	परूष
still	इदानीमपि
stingy	कृपण
sting	दंश
stir	अभिप्रकम्पयति
stock	संग्रह
stolen	ऊढ
stomach	उदर
stone	प्रस्तरं
stood	स्थित्वा
stool	आसन्दिका
stop	विरमतु
storage	संग्रहण
store	संग्रहः
storm	चण्डवात
story	कथा
stove	चुल्लिका
straightforward	सरलः
straight	समरेखः
strain	आयसः
stranger	वैदेशिक
strange	अपरिचितः
strategy	रणनीति
strawberry	तृणबदर
straw	तृण
streak	राजि
stream	धारा
street	मार्गं
strength	बलः
stress	आयास
stretch	विस्तार
strict	कठोर
strike	ताड़्यति
string	सूत्र
strip	वि- वस्त्राय्
strive	यस्
stroke	प्रहार
strong	समर्थः
struck	अभिप्रहत
structure	संरचना
struggle	संघर्षः
struggling	संघर्षरत
stubborn	स्तब्धः
stuck	परिलग्नः
student	विद्यार्थी
studying	अध्ययन
study	अध्ययनम्‌
stuff	द्रव्यम्‌
stunning	जड
stupid	मूढ़
style	शैली
st	स्ट
subject	विषयः
submission	विधेयता
submit	उपस्थापयतु
substance	सार
substitute	पर्याय
subtle	अतिसूक्ष्म
succeed	सफल
successful	सफल
success	सफलता
such as	समान
such	एतादृशः
suck	चूष्
suddenly	सहसा
sudden	आकस्मिक
suffering	उत्पीड़न
suffer	दुःख
sufficient	पर्याप्त
sugar	मधुरं
suggestion	परामर्श
suggest	निर्दिशतु
suitable	उचितः
suitcase	यानपेटिका
suit	उपवासनम्‌
summary	संक्षेपः
summer	ग्रीष्म
summit	सम्मेलन
sum	योग
sunday	रविवारं
sunny	आतपीय
sunset	सूर्यास्त
sunshine	निशथ
sun	सूर्य
superior	श्रेष्ठतर
supervisor	पर्यवेक्षक
super	महा
supper	नक्तभोजन
supply	आपूर्ति
support	समर्थनम्‌
supposed	विचारित
suppose	यदि
sure	निश्चयेन
surface	तलं
surgery	शल्य-चिकित्सा
surge	उद्गम
surname	उपनाम
surprised	अचंभित
surprise	आश्चर्य
surrender	आत्मसमर्पण
surrounding	मण्डलिन्
surveillance	सर्वेक्षण
survey	सर्वेक्षणम्‌
survive	परितिष्ठनति
suspect	संदिग्ध
suspended	निलंबित
suspicious	संदेहास्पद
sustainability	सततता
sustainable	संवहनीयत्वम्
sustain	सतत
swag	लुट्
swallow	निगिरति
swap	व्यतिहरते
swear	शपथ
sweater	स्वेदक
sweat	स्वज
sweep	मर्जन
sweet dreams	मधुर-निद्रा:
sweetheart	हृदयप्रिय
sweet tooth	आनंदमयी
sweet	मधुरम्‌
swelling	शोथ
swell	विश्वि
swimming	तरण
swim	तरति
swing	दोला
switch	नुदति
swollen	स्थूलीभूत
sword	खङ्ग
symbol	चिह्न
sympathy	सहानुभूति
symptoms	लक्षणाः
system	व्यवस्था
table	पीठिका
tackle	गृह्णाति
tag	सूचकपत्त्र
tail	पुच्छ
take away	हृ
take care	अभिरक्षय
taken	आत्त
take off	परिनयति
take	गृह्णातु
talkative	समुख
talk	प्रलपतु
tall	उन्नतः
tape	पट्ट
tap	नाल
target	लक्ष्य
task	कार्य
taste	रुचि
tasty	स्वादिष्ट
taught	पाठितवान्‌
teacher	अध्यापकः
teach	अध्यापनम्
team	दल
tears	अश्रु
tear	अश्रू
tease	रुशति
tea	चाय
technology	तन्त्रज्ञान
teeth	दंत
tell me	माम् वदतु
tell	कथय
temperature	तापमान
temper	दमाय्
temple	मंदिर:
temporary	स्वल्पकालं
tenant	भाटक
tendency	प्रवृत्ति
tender	सुकुमार
tend	अरुक्षण
tense	लकार
tension	तनावं
tentative	अनुमानित
ten thousand	दशत्सहस्र
tent	पटमण्डप
ten	दशम
terms	उपधा
term	पद
terrible	भयङ्करी
terrific	भयानक
territory	प्रक्षेत्र
test	परीक्षा
text	पाठ
Thanks for using our app	अस्माकं ऐपस्य प्रयोजनाय धन्यवादं
thanks	धन्यवादा
Thank you for your patience while we investigate shipment	यदा वयं नौप्रेषणं परीक्षयामः तदा भवतः धैर्यस्य कृते धन्यवादाः
thank you so much	भूरिशः धन्यवादाः
thank you very much	नैकधन्यवादाः
thank you	धन्यवाद
thank	धन्यवादः
than	अपेक्षया
that is	अर्थात्
that's good	ततोत्तमं
that	तत्‌
theft	हरण
their	तेषाम्‌
theme	विषयवस्तु
themselves	तस्मान्
them	ते
then	तदा
theory	सिद्धांत
there are	ते सन्ति
therefore	अतएव
there is	तत्र अस्ति
there	तत्र
these	एतानि
they are	ते सन्ति
they	ते
thick	स्थूलः
thief	चोर
thigh	जंघा
things	द्रव्य
thing	वस्तु
think	चिन्तयतु
thin	कृशः
third	तृतीयं
thirsty	पिपासु
thirteen	त्रयोदश
thirty	त्रिंशत्
this is	इदमस्ति
this	अयम्‌
thoroughly	पूर्णतया
thorough	पूर्ण
those	तानि
thoughtful	विचारशील
thoughts	विचारानि
thought	विचिन्ता
though	यद्यपि
thousand	सहस्रं
thread	सूत्र
threaten	त्रयोदश
threat	तर्जन
three	त्रयः
threshold	देहली
thrilled	रोमांचित
thrive	यत्न
throat	कण्ठ
throughout	परमसर्वत्र
through	समया
throw	क्षेपणं करोतु
thumb	अङ्गुष्ठ
thunder	गर्जन
Thursday	बृहस्पतिवारः
thus	इत्थम्‌
tick	खणखणाय
tide	ज्वार
tidy	व्यवस्थित
tie	बन्ध
tiger	व्याघ्रः
tight	सुश्लिष्टः
Tigrinya	तिग्रिन्या
time	कालः
timid	कातर
tiny	तुच्छ
tips	संकेता:
tip	अग्र
tired	क्लान्तः
tire	प्रधि
tissue	उत्तक
title	शीर्षक
toast	टोस्ट
to be	भवेयुः
today	अद्य
toddler	शिशु
toes	प्रपद
together	सम्भूय
toilet	प्रसाधन
told	कथित
tolerance	सहनशीलता
tolerate	सहन
tomato	रक्तफल
tomorrow	श्वः
tongue	जिह्वा
tonight	अद्यरात्री
took	परीगृहीत
tools	उपकरणाः
tool	उपकरण
tooth	दंत
too	अपि
topic	विषय
top	उपरितन
torn	छिन्न
torture	पीडन
total	कुल
touch	स्पर्श
tough	कठिनम्‌
tour	यात्रा
towards	अभिमुखम्‌
toward	विमुख
towel	प्रोञ्छ
town	नगरं
toxic	वैषिकः
to	इत्यस्मै
trace	चिह्न
track	मार्ग
trade	व्यापार
traditional	पारंपरिक
tradition	परंपरा
traffic	सम्मर्द
trail	पादपद्धति
training	प्रशिक्षण
train	रेलयानम्‌
traits	लक्षणाः
trait	लक्षण
transfer	स्थानांतरण
transition	परिस्थान
translate	अनुवदति
transparent	पारदर्शी
transportation	परिवहन
transport	परिवहन
trap	जाल
trash	तुच्छद्रव्य
trauma	अभिघात
travel	यात्रा
tray	पात्र
treasure	निधि
treatment	उपचार
treat	समुपचरतु
tree	वृक्षः
tremendous	प्रचंड
trend	त्रैंश
trial	परीक्षणं
trick	युक्ति
tried	उड्डी
trigger	प्रवर्त्यम्
trim	विटङ्क
trip	प्रवासः
trouble	समस्या
trousers	प्रणाल
truck	भारवाहन
true	सत्यम्‌
trunk	शुण्डा
trust	न्यासः
truth	सत्यं
try	प्रयततु
Tsonga	सॉन्गा
tube	नलिका
Tuesday	मङ्गलवारः
tuition	अध्यापन
turkey	तुर्की
turmeric	हरिद्रा
turn	वर्तनम्‌
turtle	कच्छप
tutor	प्रशिक्षकः
twelve	द्विदशकं
twenty-one	एकोविंशति
twenty	विंशति
twice	द्विबारं
twist	सृज्
Twi	ट्वी
two	द्वि
type	प्रकारः
typical	प्रारूपिक
ugly	कुरूपः
ultimate	अंतिम
umbrella	छात्र
unable	अक्षम
uncle	पितृव्यः
unconscious	निःसंज्ञ
underneath	नीचैस्
underrated	उपहतक
understand	अवबोधनम्‌
understood	विदित
under	अधः
unfortunately	दौर्भाग्यवशात्‌
uniform	समवस्त्र
unique	अद्वितीयः
unit	इंकाईं
university	विश्वविद्यालयं
unknown	अज्ञात
unless	न यावत्‌
until	यावत्‌
unusual	अनित्य
update	अद्यतन
upgrade	संवृध्
upon	उपरि
upset	उद्विग्नः
up to you	भवतिः निर्भरति
up	उपरि
urban	नगरीय
urgent	अत्यावश्यकं
urge	प्रेष
used	प्रयुक्त
useful	उपयुक्त
useless	अनुपयोगी
use	उपयुञ्जताम्‌
usually	सामान्यतः
usual	यथावत्
us	वयम्‌
utility	उपयोगिता
vacation	अवकाशः
vaccination	रोगप्रतिबन्ध
vaccine	निवारक
vacuum	निर्वात
vague	अस्पष्ट
valid	मान्य
valley	घाटी
valuable	मूल्यवान
value	मूल्यम्‌
variety	विविधता
various	विविधाः
vary	विक्लृप्
vase	भृङ्गार
vast	विस्तृतः
vegetables	शाक
vegetable	तरकारी
vehicle	वाहनं
vendor	व
venom	विषं
venture	अभ्युत्सह्
venue	स्थान
verify	सत्यापन
versatile	नागर
version	संस्करण
vertical	ऊर्ध्वाधर
very good	अति उत्तम
very	अतीव
vessel	पात्र
via	माध्यमे
vibes	किरणस्फुरणः
vibe	अनुभूति
vicious	विषात्मक
victim	पीड़ित
video	विडिओ
view	दृश्यं
village	ग्राम
villain	शत्रु
vinegar	अम्ल-पेय
vintage	प्रक्काल
violence	अपद्रव
violent	उग्र
viral	संक्रामक
virgin	विरिष्ट
virtual	आभास
virtue	गुण
vision	दृष्टि
visit	उपयाति
visual	दृश्य
vital	आवश्यक
vivid	जीवंत
vocabulary	शब्दकोश
voice	ध्वनि
void	रिक्त
volume	मात्रा
volunteer	स्वयंसेवी
vomit	वमन
vulnerable	वेधनीयः
wages	भृति
wage	भृति
waist	कटी
waiter	वितारक
waiting	उपास्ते
wait	प्रतीक्षतु
wake up	उत्थापयति
wake	उत्थापयति
walking	चलन
walk	अटतु
wallet	लघुपुट
wall	भित्ति
wander	विचलन
wanna	इच्छामि
wanted	वांछित
want	इच्छा
wardrobe	मृदुवस्तु
warehouse	दत्तांशसङ्ग्रहालय
warm	उष्णम्‌
warning	चेतवानी
warn	सचेत
warrior	योद्धा
war	जंग
wash	प्रधाव्
waste	अवक्षयः
was	आसीत्‌
watch	घटी
watermelon	कालिङ्ग
water	जलम्‌
wave	तरंगं
way	वीथी
weakness	निर्बलता
weak	सप्ताहः
wealthy	धनी
wealth	श्री
we are	वयमोस्मि
wearing	धारण
wear	धारयतु
weather	वातावरणम्‌
we can	वयं शक्नोमि
wedding	विवाह
Wednesday	बुधवारः
weed	तृण
weekend	सप्ताहांत
week	सप्ताहः
weight	भारः
weird	विलक्षणः
welcome	स्वागतम्‌
welfare	कल्याणं
well done	सद् कृत
Well	कूपः
went	अगच्छत्‌
were	आसन्‌
west	पश्चिम
wet	आर्द्रम्‌
we	वयम्‌
whale	तिमिङ्गिल
what about you	तव विषये किं
what are you doing now	भवान्‌ इदानीं किं करोति
what are you doing right now	इदानीम् त्वं किं करोसि
what are you doing	भवान्‌ किं करोति
what do you do for a living	त्वं निर्वाहनार्थ किं करोसि
what do you do	त्वं किं करोसि
what do you mean	अस्य कः अर्थः
what do you want	त्वया किं वांक्षयते
whatever	यत्किमपि
what happened	किमाभवत्‌
what is this	इदं किं
what is your job	त्वां कार्यं किं
what is your name	भवतः नाम किमस्ति
what is	किमस्ति
what's up	अन्यत् किं
what's your name	तव नाम्ना किं
what	किम्‌
wheat	गोधूम
wheel	चक्र
whenever	कदापि
when	कदा
where are you from	भवान्‌ कुतः अस्ति
where are you now	त्वं इदानीम् कुत्र असि
where are you	भवान्‌ कुत्रास्ति
whereas	यदर्थे
where do you live	तवं कुत्र वससि
where is	किदं अस्ति
where	कुत्र
whether	कतरः
which	किम्‌
while	यावद्‌
whisper	घूर्घायेत्
whistle	शीश्कार
white	श्वेतः
who are you	त्वं कः असि
who is this	अयं किं अस्ति
who is	को अस्ति
whole	सम्पूर्णः
whom	कस्मै
whose	कस्य
who	कः
why not	ना केन
why	किमर्थम्‌
wicked	दुष्ट
wide	विस्तृतः
widow	विधवा \
width	विस्तार
wife	भार्या
wild	अग्राम्यः
willing	इच्छुकः
will	भविष्यति
window	कोष्ठ
windy	वातमय
wind	वायुः
wine	मदिरा
winter	शीतकाल
win	जय
wipe	मार्जयति
wire	तन्तुः
wisdom	प्रज्ञा
wise	पण्डितः
