a	ၼိူင်ႈဢၼ်
eternal	ဢမ်ႇႁူဝ်ဢမ်ႇႁၢင်
ethics	ၶိူဝ်းၵူၼ်း
evaluate	တႅပ်းတတ်းၵႃႊၶၼ်
evaluation	တႅပ်းတတ်းၵႃႊၶၼ်
even	သေတႃႉ
even though	ႁဵတ်းႁိုဝ်ဝႃႈၵေႃႈ
evening	တၢမ်းၶမ်ႈ
event	လွင်ႈပေႃႇပဵၼ်မႃး
eventually	ၵမ်းလိုၼ်းမႃး
ever	တႃႇသေႇ
every	ၵူႊ
everybody	ၵူႊၵေႃႉ
everyone	ၵူႊၵေႃႉ
everything	ၵူႊလွင်ႈ
evidence	ၶူဝ်းလၵ်းထၢၼ်
evil	မိူၵ်ႈလိူင်း
evolution	ၾိင်ႈပဵၼ်လႅၵ်ႈ
evolve	လႅၵ်ႈလၢႆႊ
Ewe	ၶိူဝ်းဢိဝ်း
ex	ၵေႃႉၵဝ်ႇ
exact	တႅတ်ႈတေႃး
exactly	တီႈတေႉမၼ်း
exam	ပၢင်ထတ်ႈထိၼ်
examine	ၸႅတ်ႈႁႂ်ႈႁူႉ
example	တူဝ်ယၢင်ႇ
exceed	လူၼ်ႉလိူဝ်
excellent	ၶႅမ်ႉတေႉတေႉ
except	ႁပ်ႉၶၢမ်ႇ
exception	လိူဝ်ၼႆႉ
excess	တိူဝ်းတေႉ
excessive	ၼမ်ႉလူၼ်ႉ
exchange	လႅၵ်ႈ
excited	တိုၼ်ႇတဵၼ်ႈ
excitement	ၸႂ်တိုၼ်ႇတဵၼ်ႈ
exciting	ၸႂ်တိုၼ်ႇတဵၼ်ႈ
exclusive	ၸႂ်ႉတႃႇႁင်းၶေႃ
excuse	ၶႅၼ်းတေႃႈ
excuse me	ၵမ်းၵွၼ်ႇၶႃႈ
execute	ပၼ်တၢမ်ႇတၢႆ
execution	ပၼ်တၢမ်ႇတၢႆ
executive	ၵေႃပွင်ၸတ်းၵၢၼ်
exercise	လဵၼ်ႈႁႅင်း
exercise	ၵၼ်ႊၽိုၵ်းလႅၼ်ႇ
exhaust	တိုဝ်းၸႂ်ႉမူတ်းမူတ်း
exhausted	ၸႂ်ႉသဵင်ႈသဵင်ႈ
exhibit	ၶူဝ်းၶွင်ၼေႁၢင်ႊ
exhibition	ႁွင်ႈၼေၶူဝ်း
exist	တိုၵ်ႉလိပ်း
existence	မီးပဵၼ်ဝႆႉ
existing	မီးဝႆႉ
exit	ဢွၵ်ႇ
expand	ၶႂၢၵ်ႈၵႂၢင်ႈ
expect	မုင်ႈမွင်း
expected	မုင်ႈမွင်း
expenses	ၵႃႊၸႂ်ႉၸၢႆႇ
expensive	ၵႃႊယႂ်ႇ
experience	တူဝ်ထူပ်း
experiment	တူဝ်ထူပ်း
expert	ၽူႈလူင်ႉလႅၼ်ႇ
expired	ဢသၢၵ်ႈမူတ်းယဝ်ႉ
explain	သပ်းလႅင်း
explanation	ၶေႃႈသပ်းလႅင်း
exploit	ၸုၼ်ႉ
explore	ၶူၼ်ႉႁႃ
export	တေႃႉသူင်ႇ
expose	ၼေႁႂ်ႈႁၼ်လီ
exposed	ၼေႁႂ်ႈႁၼ်လီ
exposure	ၶူၼ်ႉႁႃၼေ
express	ၸႅင်ႈၼႄ
expression	ၶေႃႈၸႅင်ႈၼေ
extend	ၶႂၢၵ်ႈ
extended	ၶႂၢၵ်ႉ
extension	ၶႂၢၵ်ႈ
extent	တၢင်းၼမ်
external	တႅၵ်ႈ
extinct	မူၺ်ႉယဝ်ႉ
extra	ဢၼ်ပူဝ်ႇ
extract	ႁႅမ်ဢွၵ်ႇ
extraordinary	တိူဝ်းဢၼ်ၽဵၼ်ႈၽဵၼ်ႈၼၼ်ႉ
extreme	ၸပ်းၽၢၵ်ႇႁႅင်း
extremely	ၶိုၵ်ႉၶႅမ်ႉ
eye	မၢၵ်ႇတႃ
eyes	တႃ
fabric	ပွတ်းတွၼ်ႊ ႁူင်းၵေႃႇသၢင်ႈ
fabulous	ဢၢမ်းဢေႃး
face	တေႃႇၼႃႈ
face	ၼႃႈတႃ
facilitate	ႁႂ်ႈယဝ်ႉတူဝ်ႈငၢႆႈ
facilities	ႁဵတ်းႁႂ်ႈယဝ်ႉငၢႆႈ
facility	လႆႈမႃးငၢႆႈ
fact	လိူင်ႈပဵၼ်
factor	လွင်ႈတၢင်း
factory	ႁူင်းၸၢၵ်ႈ
facts	ၶေႃႈမုၼ်း
fade	သီမွင်ၵႃႇ
fail	လူႉသုမ်း
failed	တူၵ်းသုမ်း
failure	ၵၢၼ်ႉသုမ်း
faint	ႁႅင်းလဵၵ်ႉ
fair	ၽဵင်ႇပဵင်း
fairly	ၽဵင်ႇပဵင်း
fairy	ၼၢင်းၽီၼႂ်းဢႃႊပုမ်ႇ
faith	သႅတ်ႈၸႃႇ
faithful	မီးသႅတ်ႉၸႃႇ
fake	ဢၼ်ပွမ်
fall	ၼႃႈၶၢဝ်းၵတ်း
fall	လူမ်ႉ
false	ၽိတ်း
fame	လိုဝ်းလင်ႊ
familiar	မိုတ်ႈၵိုဝ်းဝႆႉ
family	မုင်ႉႁေႃႁိူၼ်း
famine	ဢိုပ်းႁႅင်ႈဢိုပ်းႁဵဝ်ႇ
famous	ၸိုဝ်းလိုဝ်းလင်ႊ
fan	ၵူၼ်းပၼ်ႁႅင်း
fan	ဝႂ်ႊၽတ်းလူမ်း
fancy	တၢင်းဝူၼ်ႉ
fantastic	ၶိုၵ်ႉၶႅမ်ႉ
far	ၵႆ
farewell	သူင်ႇသင်ႇ
farm	ၼႃး
farmer	ၸဝ်ႈၼႃး
fascinating	ၸၼ်ၸႂ်
fashion	ၶူဝ်းၶိုတ်းၵၢပ်ႈ
fast	ၽႂ်း
fat	ပီး
fatal	ထိုင်တၢႆ
fate	ၵၢမ်ႇႁၢႆႉ
father	ပေႃႈ
fatigue	ႁိူဝ်ႉဢူၼ်ႈ
fault	တၢင်းၽိတ်း
favorite	လႆႈၸႂ်ႈသုတ်း
favour	ၸွၺ်ႈထႅမ်
favourite	လႆႈၸႂ်တီႈသုတ်း
fear	ၵူဝ်ႁႄ
feast	ပၢင်ၵိၼ်မူႇ
feather	ၶူၼ်ၵႆႇ
feature	ႁႂ်ႈပႃး ဢၼ်လမ်ႇလွင်ႈ
feature	ႁၢင်ႊၽၢင်
features	လၢၵ်ႇလၢႆး
features	ႁၢင်ႊၽၢင်
february	လိူၼ်သွင်
fed up	လဵင်ႉဝႆႉ
fee	ၵႃႊၸွင်းၸေး
feed	လဵင်ႉ
feedback	ပၼ်တၢင်းႁၼ်ထိုင်
feel	ငိၼ်းထိုင်ၸႂ်
feeling	ၸႂ်ႉၶုၺ်ႉႁူႉ
feet	တိၼ်
fell	လူမ်ႉ
fellow	ၽူႈၶဝ်ႈၸုမ်း
felt	ၶုၺ်ႉ
female	မေႊ
fence	တႃႇႁူဝ်ႉ
fertile	ၽုၼ်ႇမၼ်းလိၼ်လီ
festival	ပၢင်ပွၺ်း
fetch	ၵႂႃႇႁွင်ႉမႃး
fever	ၼၢဝ်ၼူၵ်ႉ
few	ဢိတ်းဢီႈ
fewer	ၵမ်ႉဢေႇ
fiance	ၵေႃႉမၼ်ႈ
fiction	ဝူၼ်ႉပဵၼ်ဢဝ်
field	ၵၢင်ပၢင်ႇ
fierce	မိူၵ်ႈမႂ်ႈ
fifteen	သိပ်းႁႃႈ
fifty	ႁႃႈသိပ်း
fight	မင်ႈ
fight	ၶႄႉသဵင်ႇ
fighting	ၶႄႉၶဵင်ႇ
figure	မိူၼ်ႁၢင်ႊ
figure	ၶႅပ်းႁၢင်ႊ
figure out	သၢင်းလၢင်း
file	ၽိုၼ်ၶေႃႈမုၼ်း
fill	သႂ်ႇ
filled	ထႅမ်သႂ်ႇ
film	ၸိူင်း
filthy	ႁႃႈသိပ်း
finally	ၵမ်းလိုၼ်း
finance	ၵၢၼ်ငိုၼ်း တွင်း
financial	ၵၢၼ်ငိုၼ်းတွင်း
find	ႁႃႁၼ်
find out	သူၵ်ႈႁႃ
fine	ယူႇလီ
finger	ၼိဝ်ႉမိုဝ်း
finish	ယဝ်ႉတူဝ်ႈ
finished	ယဝ်ႉယဝ်ႉ
fire	ၾႆး
firm	ၵႅၼ်ႇၶႅင်
firm	လွင်ႈၵႅၼ်ႇၶႅင်
first	ဢွၼ်တၢင်ႇသုတ်း
first name	ၸိုဝ်ႈႁူဝ်ၼႃႈ
fish	မဵတ်းပႃ
fish	ပႃ
fit	တေႃႉတႄႉ
five	ႁႃႈ
fix	ၺႃးလီလီ
fixed	မႄးႁဵတ်း
flag	ၸွမ်ပိဝ်
flash	ၾႆႈမႅပ်ႈ
flat	လူမ်းၶိုၼ်ႈ
flat	ဢၼ်ၽႅပ်ႉ
flaw	တၢင်းၽိတ်း
flawless	ဢမ်ႇမီးတီႈ ၸုတ်ႈယွမ်း
flee	လႅၼ်ႈ
flesh	သႅၼ်ႈသႂ်
flew	မိၼ်
flex	သၢႆၾႆး
flexible	ၵွတ်းလႆႈ
flight	တၢင်းမိၼ်
flip	ဢဝ်မိုဝ်းတွၵ်ႈ
flirt	လဵၼ်ႈပိူၼ်ႈ
flirting	ၸႂ်တူင်ႉတိုၼ်ႇ
float	ၽူး
flood	ၼမ်ႉထူမ်ႈ
floor	ၸႂ်ႉတႂ်ႈ
flour	ၽွင်ၶဝ်ႈမုၼ်း
flow	ၼမ်ႉလႆ
flow	လႆလူင်း
flower	မွၵ်ႇယႃႈ
flu	ပဵၼ်ဢၢၼ်
fluent	လႅၼ်ႇ
fluently	ႁူမ်ႇငမ်း
fluffy	ၶူၼ်ပူင်းပူင်း
fluid	ပဵၼ်ၼမ်ႉ
fly	မိၼ်
focus	ပၵ်းၸႂ်
focus	သုၼ်ၵၢင်
fog	မွၵ်ႇဢိူမ်ႈ
foggy	မွၵ်ႇဢိူမ်ႈ
fold	တူပ်း
folks	ၸေႃႉလႅမ်
follow	ၸွမ်းလင်
follow up	ၸွမ်းလင်မႃး
following	ၸွမ်းလင်
food	တၢင်းၵိၼ်
fool	ငိူဝ်ႈ
fool	ၵူၼ်းယွင်ႇ
foolish	ယွင်ႇၼႃႇ
foot	တိၼ်
football	မၢၵ်ႇၼင်လွမ်ႊ
for	တွၼ်ႈတႃႇ
For example	တူဝ််ယၢင်ႇ
for instance	ဢၼ်ပဵၼ်မႃး
for you	တႃႇမႂ်း
forbidden	ၶေႃႈႁၢမ်ႈ
force	ဢဵၼ်ႁႅင်း
forecast	လၢမ်းၶၢတ်ႈၶၢဝ်ႊၾႃႉ
forehead	ၼႃႈၽၢၵ်ႇ
foreign	မိူင်းၼွၵ်ႈ
forest	ထိူၼ်ႇ
forever	တေႃႇၸူဝ်ႊ
forget	လိုမ်း
forgive	ယွၼ်းတၢင်းၽိတ်း
forgot	လိုမ်းယဝ်ႉ
fork	ၸေႃႉငႅမ်ႈ
form	ပိူင်ၽၢင်
form	ၽိုၼ်တၢင်ႇလဝ်ႈ
formal	ပိူင်ၽၢင်
former	ယၢမ်ႈပဵၼ်
fortunately	သုၼ်ႇလီ
fortune	သုၼ်ႇ
forty	သီႇသိပ်း
forty-two	သီႇသိပ်းသွင်
forward	သိုပ်ႇတင်းၼႃႈ
foster	လူလွမ်တူၺ်းထိုင်
fought	မင်ႈ
found	သွၵ်ႈႁၼ်
foundation	ငဝ်ႈပိုၼ်ႉ
four	သီႇ
fourteen	သိပ်းသီႇ
fox	မႃလိၼ်
fragile	ၽုၺ်ႈ
frame	ၶွပ်ႇ
framework	လွၵ်းၶွတ်ႇၽွတ်ႈ
fraud	ယွၵ်ႇလႅၼ်
freak	ၵူၼ်းၶလႅၵ်ႉ
free	လၢႆလၢႆ
freedom	လွတ်ႈလႅဝ်း
freeze	လၢင်ႈ
frequency	လၢႆလၢႆၵမ်း
frequent	ပဵၼ်လၢႆလၢႆၵမ်း
frequently	ၵမ်းၵမ်း
fresh	သႅၼ်ႈသႂ်
friday	ဝၼ်းၽတ်း
fridge	တူႈယဵၼ်
friend	ဢူၺ်းၵေႃႉ
friendly	မေႃမိုတ်ႈၵိုဝ်း
friends	ဢူၺ်းၵေေႃႉ
friendship	တႆးၵေႃႉၵၼ်
frightened	တိုၼ်ႇ
frightening	တိုၼ်ႇ
frog	ၶဵတ်ႇ
from	မႃးတီႈ
front	တၢင်းၼႃႈ
frozen	လၢင်ႈၵတ်း
fruit	မၢၵ်ႇမႆႉ
frustrated	ႁဵတ်းႁႂ်ႈလႅဝ်
fuel	ၼမ်ႉမၼ်းယိူဝ်ႇ
Fulfulde	ၶိူဝ်းၽူႇၽူႇတႄႇ
full	တဵမ်
fun	ႁုၼ်ႉၼူဝ်
function	ပုၼ်ႈၽွၼ်း
fundamental	ပိုၼ်ႉထၢၼ်ႈ
funeral	မႃႇသႃႇ
funny	ႁုၼ်ႉၼူဝ်
fur	ၶူၼ်
furious	ႁႅင်းႁႅင်း
furniture	ၶူဝ်းႁိူၼ်းယေး
further	ၵႆတိူဝ်း
furthermore	ထႅင်ႈတၢင်းၼိူင်ႈ
future	ၶၢဝ်းၼႃႈ
gain	ၼမ်ႉတွၼ်း
gain	မႅတ်ႈ
game	တၢင်းလဵၼ်ႈ
gap	ၵႃႇၵၼ်
garage	သိုင်ႇလူတ်ႉ
garbage	ယုၵ်ႉယၢၵ်ႉ
garden	သူၼ်မွၵ်ႇႁိူၼ်း
garlic	ၽၵ်းလူဝ်
gate	ၽၵ်းတူဝၢင်း
gather	ႁူမ်ႈၵၼ်
gathering	ၸူႉတုမ်ၵၼ်
gauge	တီႈတၢင်းတႅၵ်ႈ
gave	ပၼ်
gear	ၵီႇယႃႇ
gender	ၽွၵ်ႇ
general	ၽဵၼ်ႈၽဵၼ်ႈ
generally	ပေႃးဢဝ်ၽဵၼ်ႈဝႃႈ
generate	ပေႃႇပဵၼ်မႃး
generation	သႅၼ်းႁုၼ်ႈမႂ်ႇ
generous	ၸႂ်လီ
genius	ၺၢၼ်ႇလီ
genre	မဵဝ်းသႅၼ်းပၢႆးမွၼ်း
gentle	ၽွၵ်ႇ
genuine	ၸၼ်ႉသုင်
gesture	ၼေတိၼ်ၼေမိုဝ်း
get	လႆႈ
get dressed	လၢႆႊၶူဝ်း
get up	ၼွၼ်းလုၵ်ႉ
get well soon	တေလီမႃးယူႇ
getting	လႆႈမႃး
ghost	ၽီၽဵတ်ႇ
ghosting	ၽီမိၵ်ႉသႃႇ
giant	လူင်
gift	ၶူဝ်းတွၼ်ႈ
ginger	ၶိင်
girl	ယိင်းဢွၼ်ႇ
girlfriend	ၸူႉ
give	ပၼ်
give up	ယွမ်းသုမ်း
given	ပၼ်ဝႆႉ
glad	ႁူမ်ၸူမ်း
glance	ၵိုင်ႉၵၢင်ႉတူၺ်း
glass	ၵွၵ်းၵႅဝ်ႈ
glasses	ၵႅဝ်ႈတႃ
glimpse	ႁၼ်ၸငူႉၵဝၢႆႉ
global	တင်းလူၵ်ႈ
gloomy	လပ်းသိင်ႇ
gloves	ဝႃႇမိုဝ်း
glow	ၶဝ်ႈၸႂ်
glow	ႁိူဝ်ႈဢွၵ်ႇမႃး
glow up	ၵေႃႉယႂ်ႇ
glue	မုၵ်ၸပ်း
go	ၵႂႃႇ
go ahead	ၵႂႃႇႁူဝ်တေး
go away	ၵႂႃႇၵႆၵႆ
go to bed	ၵႂႃႇၼွၼ်း
goal	တႃႈယိူင်း
goals	ပဝ်ႉမၢႆ
goat	ပႄႉ
god	ၾႃႉၸဝ်ႈ
god bless you	ၾႃႉၸဝ်ႈယွၼ်းသူးပၼ်သူ
goes	ၵႂႃႇ
going	ၵႂႃႇယူႇ
going to	တေၵႂႃႇႁဵတ်း
gold	ၶမ်း
gone	ၵႂႃႇယဝ်ႉ
gonna	တေႁဵတ်း
goo	ႁဵတ်းၼႃႈဢီးလူ
good	လီဢိူဝ်ႈ
good afternoon	မႂ်ႇသုင် ဝၢႆးဝၼ်း
good bye	မွၼ်းမွၼ်း
good day	ဝၼ်းလီ
good evening	မႂ်ႇသုင်တၢမ်းၶမ်ႈ
good job	ႁဵတ်းလႆႈလီတေႉ
good looking	ႁၢင်ႊလဝ်း
good luck	သုၼ်ႇလီ
good morning	မႂ်ႇသုင်ၵၢင်ၼႂ်
good morning my love	မႂ်ႇသုင်ၵၢင်ၼႂ် ၵေႃႉႁၵ်ႉ
good night	မွၼ်းမွၼ်း ၼွၼ်းလပ်းဝၢၼ်ဝၢၼ်ၶႃႈ
goodbye	မွၼ်းမွၼ်း
goodnight	ၾၼ်လီ
goods	ၵုၼ်ႇ
Google	ၵူးၵႄး
Google Translate	ၵူးၵႄး ပိၼ်ႇၾၢၼ်ၵႂၢမ်းလၢတ်ႈ
goose	ႁၢၼ်ႇ
gorgeous	လဝ်း
gossip	ၵႂၢမ်းမဝ်ၽၢင်း
got	လႆႈ
got it	လႆႈယဝ်ႉ
government	လူင်ပွင်ႊၸိုင်ႈ
grab	ၸၵ်ႉဢဝ်
grade	ၸၼ်ႉႁဵၼ်း
gradually	လွၺ်းလွၺ်းမႃး
graduate	လႆႈၶူး
grain	မဵတ်ႉသၢၼ်
grant	ပၼ်ၶႂၢင်ႉ
granted	ပၼ်ၶႂၢင်ႉ
grapes	မၢၵ်ႇဢိတ်ႇ
grasp	ဝၵ်ႉဝႆႉ
grass	ယိူဝ်ႈယႃႈ
grateful	ၸူမ်းထိုင်
gratitude	ၶွပ်ႈၸႂ်
grave	လိုၵ်ႉလမ်ႇ
gray	သီမူၼ်ႇ
great	ၶိုၵ်ႉၶႅမ်ႉ
greed	လမ်ႇမၢၵ်ႈ
greedy	ၸႂ်လမ်ႇမၢၵ်ႈ
green	သီၶဵဝ်
greet	သိုပ်ႇမိုတ်ႈ
greeting	သိုပ်ႇမိုတ်ႈ
greetings	သိုပ်ႇမိုတ်ႈ
grey	သီမူၼ်ႇ
grid	ၶႅင်းၸီႇ
grief	တၢင်းမႆႈၸႂ်
grind	ၵၢပ်ႈ
grip	ဝၵ်းဝႆႉဝိုၼ်းဝိုၼ်း
grocery	ၽၵ်းၶဵဝ်
groom	ၸဝ်ႈမၢဝ်ႇ
gross	ႁၢဝ်ႈ
ground	လိၼ်
group	ၸုမ်း
grow	ႁုၼ်ႈယႂ်ႇမႃး
growth	ႁုၼ်ႈယႂ်ႇ
grumpy	ဝႆႉၼႃႈဢမ်ႇလီ
Guarani	ၶိူဝ်းၵႂႃႇရႅၼ်ႇၼီႇ
guarantee	ၶေႃႈႁပ်ႉပဝ်ႊ
guard	ၽူႈၵႅမ်တူဝ်
guess	လၢမ်းဢဝ်
guest	ၶႅၵ်ႇ
guidance	ၼေတၢင်း
guide	ၵူၼ်းၼေတၢင်း
guide	ၼေပၼ်တၢင်း
guilty	ဢမ်ႇလုင်ႇတူဝ်
guy	ၼေသူ
guys	ၵူၼ်းႁဝ်း
gym	လဵၼ်ႈႁႅင်း
habit	တၢင်းယၢမ်ႈ
habitat	ၽိင်ႈယၢမ်ႈ
had	မီး
hail	မၢၵ်ႇႁဵပ်း
hair	ၶူၼ်ႁူဝ်
half	ၼိူင်ႈၶိုင်ႈ
hall	ႁေႃ
hand	မိုဝ်း
handle	မိုဝ်းယိပ်း
handsome	ႁၢင်ႈလဝ်း
hang	ၽႅၼ်ဝႆႉ
hang out	ဢဝ်ဢွၵ်ႇပႅတ်ႈ
happen	ပဵၼ်မႃး
happened	ပဵၼ်မႃး
happiness	တၢင်းသိူဝ်းၸႂ်
happy	ဢၼ်မူၼ်ႈသိူဝ်း
happy birthday	သူင်သိူဝ်းဝၼ်းၵိူတ်ႇၶႃႈ
happy birthday to you	မႂ်ႇသုင်ဝၼ်းၵိူတ်ႇ
happy new year	သူင်သိူဝ်းပီႊမႂ်ႇ
hard	ဢၼ်ယၢပ်ႇ
hardly	ယၢပ်ႇယၢပ်ႇ
hardly ever	ယၢပ်ႇတႃႇသေႇ
harm	သၢင်ႊၸူဝ်ႈ
harm	တၢင်းသၢင်ႊ
harmful	တိူဝ်ႉၸဵပ်း
harmony	လၢတ်ႈၸွမ်းသဵင်
harsh	ၵျၢမ်း
harvest	သိမ်းမၢၵ်ႇၶဝ်ႈတဝ်ႈၼမ်ႉ
has	မီး
hate	ၸင်း
have	မီး
have a good day	ၵၢမ်ႇလီၼႃ
have a nice day	ႁႂ်ႈပဵၼ်ဝၼ်းလိ
have breakfast	ၵိၼ်ၶဝ်ႈပၼ်ႈ
have fun	သိူဝ်းၸႂ်
have you eaten	သူၵိၼ်ယဝ်ႉႁႃႉ
having	မီးဝႆႉ
hazard	ႁတ်းၸုၼ်ႉ
haze	မဵတ်ႉၼၢႆး
he	မၼ်းၸၢႆး
he has	မၼ်းမီး
he is	မၼ်းပဵၼ်
head	ႁူဝ်
headache	ႁူဝ်ၶႆႈ
heal	ယႃ
healing	ယူတ်းယႃ
health	ယူႇလီ
healthy	ယူႇလီ
hear	ငိၼ်း
heard	လႆႈငိၼ်း
heart	ႁူဝ်ၸႂ်
heat	ပၼ်ၾႆး
heat	မႆႈ
heaven	မိူင်းၽီ
heavy	ၼၵ်း
hectic	ၸပ်းၼၢဝ်
height	တၢင်းသုင်
heir	ၵေႃႉပုတ်ႈၶူဝ်းပုတ်ႈ
heist	ၸူၼ်
held	ယိပ်းဝႆႉ
hell	ငရၢႆး
Hello	မႂ်ႇသုင်ၶႃႈ
hello dear	မႂ်ႇသုင် ၵေႃႉႁၵ်ႉ
hello how are you	မႂ်ႇသုင်။ ယူႇလီယူႇႁႃႉ။
hello how are you doing	မႂ်ႇသုင် ၸွင်ႇသူယူႇလီ
helmet	မၢၵ်ႇႁူဝ်ၵႅၼ်ႇ
help	ၸွၺ်ႈထႅမ်
helpful	ၶဝ်ႈတၢင်းၸွၺ်ႈထႅမ်
hence	တႄႇၼႆႉၵႂႃႇ
her	ၶူဝ်းမၼ်းၼၢင်း
herd	ၽုင်ဝူဝ်းၵႂၢၺ်း
here	တီႈၼႆႈ
heritage	ၶူဝ်းပုတ်ႈ
hesitate	တူၼ်ႉႁူၼ်
Hey	ႁိူၺ်ႉ
Hi	မႂ်ႇသုင်
hi how are you	မႂ်ႇသုင် ယူႇလီယူႇႁႃႉ
Hi there	မႂ်ႇသုင်
hidden	သိူင်ႇ
hide	သိူင်ႇသိမ်း
hierarchy	ၶပ်ႉလဵၵ်ႉတေႃႇယႂ်ႇ
high	ဢၼ်သုင်
highlight	ပၼ်ႁွၺ်း
hike	ၶိုၼ်ႈလွၺ်
hiking	ၶိုၼ်ႈလွၺ်
hilarious	လီၶႂ်ႈၶူဝ်
hill	ၵုင်းလွၺ်
him	မၼ်း
hint	ၼေငိူၼ်ႈ
hip	ၵူၼ်ႈ
hips	ၵူၼ်ႈ
hire	ၸၢင်ႈ
hiring	ႁပ်ႉႁဵတ်းၵၢၼ်
his	ၶွင်မၼ်း
history	ပိုၼ်း
history	ပၢႆးလႅင်ႊပိုၼ်း
hit	တွၺ်ႇ
Hmm	ဢိုမ်း
hobby	တၢင်းသူင်
hold	ယိပ်းဝႆႉ
hold on	ၵမ်ဝႆႉ
hole	ႁူး
holiday	ဝၼ်းလိုဝ်ႈ
hollow	ႁူႉလူမ်ႇ
home	ႁိူၼ်း
homework	လိၵ်ႈၵၢၼ်ႁိူၼ်း
honest	သိုဝ်ႈယူဝ်း
honestly	ဝႃႈသိုဝ်ႈသိုဝ်ႈ
Honey	ႁၵ်ႉဢိူၺ်း
honor	ၽုင်း
hood	မုင်း
hook	မဵတ်း
hop	ယွပ်ႇ
hope	မုင်ႈမွင်း
hopefully	မီးတၢင်းမုင်ႈမွင်း
hopeless	ႁၢမ်းတၢင်းမုင်ႈမွင်း
horizontal	သိုဝ်ႈသိုဝ်ႈ
horn	ၶဝ်
horrible	ႁၢၵ်းႁၢႆႉၼႃႇ
horror	ၼႃႈလီၵူဝ်
horse	မႃႉ
hospital	ႁူင်းယႃ
hospitality	ႁပ်ႉၶႅၵ်ႇလႆႈလီ
host	ၽူႈၵႂၼ်းထိင်း
host	ၵႂၢၼ်းထိင်း
hostile	ပၢၼ်းၽိတ်း
hot	ဢၼ်မႆႈ
hotel	ႁူင်းႁႅမ်း
hour	ၸူဝ်ႊမူင်း
hours	ၸူဝ်ႊမူင်း
house	ႁိူၼ်း
household	ၵၢၼ်ႁိူၼ်း
how	ၸိူင်ႉႁိုဝ်
how about you	သူလူး
how are you	ယူႇလီယူႇႁႃႉ
how are you doing	ၸွင်ႇယူႇလီ
how are you doing today	မိူဝ်ႈၼႆႉမိူၼ်ၸိူင်ႉႁိုဝ်ဝႆႉ ယူႇလီယူႁႃႉ
how are you today	မိူဝ်ႈၼႆႉ ပဵၼ်ႁိုဝ်
how do you do	သူယူႇလီယူႇႁႃႉ
how is	ပဵၼ်ႁိုဝ်
how many	မီးၵႃႊႁိုဝ်
how much	ၵႃႊႁိုဝ်
how often	ၵႆႉၵႆႉပဵၼ်ႁိုဝ်
how old are you	ဢသၢၵ်ႈသူလႆႈၵႃႈႁိုဝ်
how was your day	သူပဵၼ်ႁိုဝ်ဝႆႉ
how was your night	ၶမ်ႈၼႆႉ ပဵၼ်ႁိုဝ်ၽွင်ႈ
however	ၸိူင်ႉႁိုဝ်ၵေႃႈယဝ်ႉ
hub	ငဝ်းလၢႆးလီ
hubby	ၽူဝ်
hug	လွင်ႈၵွတ်ႇ
hug	ၵွတ်ႇ
huge	ယႂ်ႇၵႂၢင်ႈ
human	ၵူၼ်း
humble	ယွမ်းတူဝ်
humid	ယမ်း
humidity	ယိုၵ်းယမ်း
hundred	ၼိူင်ႈပၢၵ်ႇ
hungry	တွင်ႉမႆႈ
hunt	သုမ်ႉ
hurricane	လူမ်းလႅင်ႉ ႁႃႇရီႇၵဵင်း
hurry	ဝႆး
hurry up	ဝႆးဝႆးလႄႈ
hurt	ၸဵပ်းၸႂ်
husband	ၽူဝ်
hustle	မႄႈမွၵ်ႇယႃႈ
hustle	လိုပ်ႈဢွၵ်ႇ
hut	သုမ်ႉ
hygiene	ၵဵင်ႈသႂ်တူဝ်ၶိင်း
I	ၵဝ်
I am	ႁဝ်းပဵၼ်
I am fine	ႁဝ်းယူႇလီယူႇ
I can	ႁဝ်းမေႃ
I can't	ၵဝ်ဢမ်ႇမေႃ
I do	ၵဝ်ဢိူဝ်ႈ
I do not know	ၵဝ်ဢမ်ႇႁူႉ
I do not understand	ၵဝ်ဢမ်ႇပွင်ႇၸႂ်
I don't	ႁဝ်းဢမ်ႇလႆႈႁဵတ်း
I don't know	ႁဝ်းဢမ်ႇႁူႉ
I don't understand	ႁဝ်းဢမ်ႇပွင်ႇၸႂ်
I don't understand what you mean	ႁဝ်းဢမ်ႇပွင်ႇၸႂ် သူၶႂ်ႈမၢႆထိုင်သင်
I don't understand you	ႁဝ်းဢမ်ႇပွင်ႇၸႂ်သူ
I don’t know	ၵဝ်ဢမ်ႇႁူႉ
I don’t understand	ႁဝ်းဢမ်ႇပွင်ႇၸႂ်
i guess	ၵဝ်လၢမ်းတူၺ်း
I had	ၵဝ်မီး
I have	ႁဝ်းမီး
I have been	ႁဝ်းလႆႈပဵၼ်
I hope so	ႁဝ်းၵေႃႈဝႃႈၼၼ်
I know	ႁဝ်းႁူႉဢိူဝ်ႈ
I like	ႁဝ်းလႆႈၸႂ်
I like you	ႁဝ်းလႆႈၸႂ်သူ
I love	ႁဝ်းႁၵ်ႉ
I love my big brother	ႁဝ်းႁၵ်ႉ ၸၢႆးႁဝ်း
I love my big sister	ႁဝ်းႁၵ်ႉပီႈသၢဝ်ႁဝ်း
I love my father	ႁဝ်းႁၵ်ႉပေႃႈႁဝ်း
I love my little brother	ႁဝ်းႁၵ်ႉၼွင်ႉၸၢႆးႁဝ်း
