abandoned	পৰিত্যক্ত কৰা
lovely	ধুনীয়া
love you	তোমাক ভাল পাওঁ
love	ভালপোৱা
lower	তলৰ
low	নিম্ন
loyalty	আনুগত্য
loyal	অনুগত
lucky	সৌভাগ্যশালী
luck	ভাগ্য
Luganda	লুগাণ্ডা
luggage	লগত কঢ়িয়াই নিয়া সামগ্ৰী
lump	পিণ্ড
lunch	দুপৰীয়াৰ আহাৰ
lungs	হাওঁফাওঁ
luxury	বিলাসিতা
lying	মিছা মতা
machine	যন্ত্ৰ
madam	মহোদয়া
made	বনাইছিল
mad	পগলা
magazine	আলোচনী
magnificent	চমত্‍কাৰ
maid	ঘৰুৱা সহায়িকা
maintain	বজাই ৰখা
maintenance	ব্যৱস্থাপনা
main	প্ৰধান
Maithili	মৈথিলী
majority	অধিকাংশ
major	প্ৰধান
make up	মেক আপ
make	নিৰ্মাণ কৰা
male	পুৰুষ
mall	মল
management	ব্যৱস্থাপনা
manager	ব্যৱস্থাপক
manage	ব্যৱস্থাপনা কৰা
mandatory	জৰুৰী
manifest	ঘোষণাপত্ৰ
manipulate	নিপূণতাৰে ব্যৱহাৰ কৰা
manner	আচৰণ
manual	হাতপুথি
many many happy returns of the day	সুখেৰে এই দিনটো আকৌ উভতি আহে যেন
many	অনেক
man	মানুহ
march	খোজকঢ়া
margin	প্ৰান্ত
market	বজাৰ
marriage	বিবাহ
married	বিবাহিত
mask	মুখা
massive	বিশাল
mass	ভৰ
master	মাষ্টৰ
match	মিল থকা
material	সামগ্ৰী
mate	সংগী
math	অংক
matter	বিষয়
maturity	পৰিপক্কতা
maybe	হয়তো
may	হয়তো
meal	আহাৰ
meaning	অৰ্থ
means	অৰ্থ হৈছে
meant	অৰ্থ হৈছে
meanwhile	তাৰ মাজতে
mean	অৰ্থ
measures	জোখ
measure	জোখ লোৱা
meat	মাংস
medical	মেডিকেল
medicine	দৰৱ
meditation	ধ্যান
medium	মাধ্যম
meeting	মীটিং
meet	লগ পোৱা
Meiteilon	মৈতৈলোন
melt	গলা
memories	স্মৃতিসমূহ
memory	স্মৃতি
mental	মানসিক
mentioned	উল্লেখ কৰিছিল
mention	উল্লেখ
mentor	গুৰু
merchant	ব্যৱসায়ী
mercy	দয়া
merely	কেৱল
merry christmas	শুভ বৰদিন
message	বাৰ্তা
messy	খেলিমেলি
mess	অব্যৱস্থিত
metal	ধাতু
method	পদ্ধতি
me too	ময়ো
me	মোক
mice	নিগনি
middle	মাজ
midnight	মাজনিশা
might	হ’ব পাৰে
mild	মৃদু
milestone	মাইলৰ খুঁটি
military	সৈনিক
milk	গাখীৰ
million	নিযুত
mindset	মানসিকতা
mind	মন
mine	মোৰ
mingle	মিলন হোৱা
minor	নাবালক
minutes	মিনিটবোৰ
minute	মিনিট
miracle	অলৌকিক ঘটনা
mirror	আইনা
miscellaneous	সানমিহলি
mischievous	ক্ষতিকাৰক
miserable	কৰুণ
misery	দুখ
missing	হেৰাইছে
mission	উদ্দেশ্য
miss you	আপোনালৈ মনত পৰিছে
miss	বাদ পৰি যোৱা
mistake	ভুল
mist	কুঁৱলী
Mizo	মিজো
mobile	ম’বাইল
mock	উপহাস
model	মডেল
moderate	মধ্যমীয়া
modern	আধুনিক
modest	বিনয়ী
moisture	আৰ্দ্ৰতা
moist	সেমেকা
mold	গঠন
mole	তিল
moment	মুহূৰ্ত
mom	মা
monday	সোমবাৰ
money	ধন
monitor	কাৰোবাৰ ওপৰত চকু ৰখা
monkey	বান্দৰ
month	মাহ
moody	মেজাজ
mood	মেজাজ
moon	চন্দ্ৰ
moral	নৈতিক
moreover	তাৰোপৰি
more	অধিক
morning	পুৱা
mortgage	বন্ধক
mostly	অধিকাংশভাৱে
most	অধিকাংশ
mother	মা
motion	গতি
motivation	প্ৰেৰণা
mountain	পৰ্বত
mouse	নিগনি
mouth	মুখ
movement	বিপ্লৱ
move	পদক্ষেপ লোৱা
movie	বোলছৱি
mrs	শ্ৰীমতী
much	অনেক
mud	বোকা
mug	মগ
muscle	পেশী
museum	সংগ্ৰাহালয়
mushroom	কাঠফুলা
music	সংগীত
must	অৱশ্যেই
mute	নিঃশব্দ
mutual	উমৈহতীয়া
My dear	মোৰ প্ৰিয়
my friend	মোৰ বন্ধু
My hovercraft is full of eels	মোৰ হ’ভাৰক্ৰাফ্টখন ঈল মাছেৰে ভৰি আছে
my love	মোৰ প্ৰিয়তম
my name is	মোৰ নাম হৈছে
my pleasure	মোৰ আনন্দ
myself	মই নিজেই
mysterious	ৰহস্যময়
mystery	ৰহস্য
myth	কল্পিত কথা
my	মোৰ
nail	নখ
naive	নিষ্পাপ
name	নাম
narrative	বৰ্ণনা
narrow	ঠেক
nasty	অশ্লীল
nationality	জাতীয়তা
national	ৰাষ্ট্ৰীয়
native	স্থানীয়
natural	প্ৰাকৃতিক
nature	প্ৰকৃতি
nausea	ওকট পাকট লগা
nearby	সমীপৰ
nearly	প্ৰায়
near	কাষত
neat	চাফা
necessary	প্ৰয়োজনীয়
necklace	নেকলেচ
neck	ডিঙি
need	প্ৰয়োজন
negative	ঋণাত্মক
neglect	গুৰুত্ব নিদিয়া
negotiate	মীমাংসা কৰা
neighborhood	চুবুৰীয়া
neighbor	চুবুৰীয়া
neither	এটাও নহয়
nephew	ভতিজা
nerd	নিৰ্বোধ
nervous	স্নায়ৱিক
nest	বাহ
network	নেটৱৰ্ক
net	জাল
neutral	নিৰপেক্ষ
never give up	কেতিয়াও হাৰ নামানিব
never mind	কোনো কথা নাই
nevermind	কোনো কথা নাই
nevertheless	যিয়েই নহওক
never	কেতিয়াও নহয়
news	বাতৰি
new	নতুন
next to	ইয়াৰ পিছত
next	পৰৱৰ্তী
nice to meet you	আপোনাক লগ পাই ভাল লাগিল
nice	বঢ়িয়া
niece	ভতিজী
nightmare	বেয়া সপোন
night	নিশা
nineteen	উনৈশ
ninety	নব্বৈ
nine	ন
nobody	কোনো নহয়
noise	হুলস্থূল
noisy	হূলস্থুলীয়া
none	একো নাই
noon	দুপৰীয়া
nope	নহয়
no problem	কোনো সমস্যা নাই
normal	স্বাভাৱিক
north	উত্তৰদিশ
nose	নাক
nostalgic	স্মৃতিত বেদনাতুৰ
not at all	কোনোপধ্যে নহয়
not bad	বেয়া নহয়
noted	টুকি লোৱা হ’ল
note	টোকা
nothing	একো নাই
noticed	লক্ষ্য কৰা হৈছে
notice	জাননী
Not now	এতিয়া নহয়
not yet	এতিয়ালৈকে নহয়
not	নহয়
nouns	বিশেষ্য
noun	নামবাচক
novel	উপন্যাস
november	নৱেম্বৰ
nowadays	আজিকালি
no way	কোনো প্ৰকাৰেই নহয়
now	এতিয়া
No	নহয়
nuisance	উপদ্ৰৱ
null	খালী
number	সংখ্যা
numb	জঠৰ
nurse	নাৰ্ছ
nutmeg	জায়ফল
nutrition	পুষ্টি
nut	বাদাম
oath	শপত
obesity	মেদবহুলতা
obey	মানি চলা
objective	উদ্দেশ্য
object	বস্তু
obligation	কৰ্তব্য
obscure	অস্পষ্ট
observation	পৰ্যবেক্ষণ
observe	অনুভৱ কৰা
obsessed	আবেশত থকা
obsession	আবেশ
obsolete	অপ্ৰচলিত
obstacle	বাধা
obtained	প্ৰাপ্ত কৰিছিল
obtain	প্ৰাপ্ত কৰা
obviously	নিশ্চিতভাৱে
obvious	স্পষ্ট
occasionally	কেতিয়াবা
occupation	বৃত্তি
occupied	অধিকৃত
occurred	ঘটিছিল
occurs	ঘটিছে
occur	ঘটে
ocean	মহাসাগৰ
october	অক্টোবৰ
odds	প্ৰতিকূলতা
odd	অস্বাভাৱিক
of course	নিশ্চিতভাৱে
offensive	আক্ৰমণাত্মক
offer	অফাৰ
office	কাৰ্যালয়
official	অনুষ্ঠানিক
off	বন্ধ কৰা
often	প্ৰায়ে
oh really	সঁচাকে
Oh	অস
oil	তেল
okay baby	ঠিক আছে সোণ
okay dear	ঠিক আছে সোণ
okay honey	বাৰু প্ৰিয়তম
okay my love	বাৰু মোৰ সোণ
okay	ঠিক আছে
ok dear	ঠিক আছে প্ৰিয়তম
ok honey	ঠিক আছে প্ৰিয়তম
ok my love	ঠিক আছে মোৰ প্ৰিয়তম
ok	ঠিক আছে
old	বুঢ়া
once	এবাৰ
one language is never enough	এটা ভাষা কেতিয়াও পৰ্যাপ্ত নহয়
one	এক
onion	পিঁয়াজ
online	অনলাইন
only	কেৱল
on	ওপৰত
open	খোলা
operation	সঞ্চালন
opinion	মতামত
opportunities	সুযোগ
opportunity	সুযোগ
opposite	বিপৰীত
optimistic	আশাবাদী
optional	বৈকল্পিক
option	বিকল্প
orange	কমলা
order	ক্ৰম
ordinary	সাধাৰণ
organization	সংস্থা
orientation	অভিবিন্যাস
original	মূল
origin	মূলত
Oromo	ওৰোমো'
orphan	অনাথ
or	অথবা
otherwise	অন্যথা
other	অন্যান্য
ought	লাগে
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	আমাৰ লক্ষ্য: সকলোকে, সকলোতে বিশ্বখন বুজি পোৱাত সক্ষম কৰা আৰু ভাষাবোৰেৰে নিজকে প্ৰকাশ কৰা
Our mission: to organize the world's information and make it universally accessible and useful.	আমাৰ লক্ষ্য: বিশ্বৰ তথ্য সংগঠিত কৰা আৰু ইয়াক সাৰ্বজনীনভাৱে উপলব্ধ আৰু উপযোগী কৰি তোলা
our	আমাৰ
outcome	ফলাফল
outfit	পোছাক
outgoing	বহিৰ্গামী
outlet	নিৰ্গমন পথ
outline	ৰুপৰেখা
outside	বাহিৰত
outstanding	বাকী থকা
out	বাহিৰ
oven	অ’ভেন
overall	সামগ্ৰিক
overcome	অতিক্ৰম কৰি অহা
over there	তাত
overthinking	প্ৰয়োজনতকৈ অধিক চিন্তা
overwhelmed	অভিভূত
overwhelming	অপ্ৰতিৰোধ্য
over	ওপৰত
owe	ঋণী হোৱা
owl	ফেঁচা
owner	মালিক
own	নিজৰ
ox	ষাঁড়
pace	গতি
package	পেকেজ
pack	পেক
paid	পৰিশোধিত
painting	চিত্ৰাংকন
paint	ৰং সনা
pain	দুখ
pair	যোৰা
pale	শেঁতা
palm	তলুৱা
pandemic	অতিমাৰী
panic	ত্ৰাস
pants	পেণ্ট
pan	কেৰাহী
paper	কাগজ
paradise	স্বৰ্গ
parallel	সমান্তৰাল
parcel	পাৰ্চেল
pardon	ক্ষমা কৰিব
parents	পিতৃ-মাতৃ
park	উদ্যান
parrot	ভাটৌ
parsley	পাৰ্ছলে শাক
participate	অংশগ্ৰহণ
particularly	বিশেষকৈ
particular	নিৰ্দিষ্ট
partner	সংগী
party	দল
part	অংশ
passage	পাঠাংশ
passed	উত্তীৰ্ণ
passionate	ভাবুকতা
passion	আবেগ
passive	নিষ্ক্ৰিয়
password	পাছৱৰ্ড
pass	উত্তীৰ্ণ
past	অতীত
patch	টুকুৰা
pathetic	কৰুণ
path	পথ
patience	ধৈৰ্য
patient	ৰোগী
pattern	নমুনা
pause	বিৰতি
pavement	ফুটপাথ
payment	পৰিশোধ
pay	পৰিশোধ কৰা
peaceful	শান্তিপূৰ্ণ
peace	শান্তি
peach	নৰা বগৰী
peak	শৃংগ
pear	নাচপতি
peas	মটৰ
peculiar	আচৰিত
peel	বাকলি
peers	সমনীয়া
peer	সহকৰ্মী
pee	প্ৰস্ৰাৱ কৰা
pencil	পেঞ্চিল
pending	বাকী থকা
pen	কলম
people	লোক
pepper	জালুক
perceive	বুজা
perception	ধাৰণা
perfect	নিখুঁত
performance	প্ৰদৰ্শন
perform	সম্পাদন কৰা
perhaps	বোধকৰোঁ
period	সময়কাল
permanent	স্থায়ী
permission	অনুমতি
permit	অনুমতি দিয়া
perseverance	অধ্যৱসায়
persistent	অবিৰাম
personality	ব্যক্তিত্ব
personal	ব্যক্তিগত
person	ব্যক্তি
perspective	দৃষ্টিকোণ
persuade	মান্তি কৰোৱা
pervert	বিকৃত
pet	পোহনীয়া জীৱ
phase	স্তৰ
phenomenon	অদ্ভুত ঘটনা
philosophy	দৰ্শন
phone	ফোন
photo	ফটো
phrase	বাক্যাংশ
physical	শাৰীৰিক
pick up	উঠাওক
pick	বাছক
picture	ছৱি
pieces	টুকুৰাসমূহ
piece	টুকুৰা
pigeon	কপৌ চৰাই
pig	গাহৰি
pile	স্তূপ
pillow	গাৰু
pilot	পাইলট
pineapple	আনাৰস
pink	গোলপীয়া
pin	পিন
pitch	চূড়া
pity	দয়া
pit	গাঁত
places	স্থানসমূহ
place	স্থান
plague	প্লেগ ৰোগ
plain	সমতল
plane	বাহন
plants	উদ্ভিদ
plant	উদ্ভিদ
plan	পৰিকল্পনা
plate	কাঁহী
platform	প্লেটফৰ্ম
playing	খেলি আছে
play	খেলা
pleasant	আনন্দদায়ক
pleased	প্ৰসন্ন
please	অনুগ্ৰহ কৰি
pleasure	সুখ
pledge	শপত
plenty	পৰ্যাপ্ত
plot	পটভূমি
plug	ছুপি
plumber	নলাৰ কাম কৰা লোক
plum	বগৰী
plural	বহুবচন
podcast	প’ডকাষ্ট
poem	কবিতা
poetry	কবিতা
point	বিন্দু
poison	বিহ
police	আৰক্ষী
policy	নীতি
polite	ভদ্ৰ
pollution	প্ৰদূষণ
pond	পুখুৰী
pool	পুখুৰী
poop	বিষ্ঠা
poor	দুখীয়া
popular	জনপ্ৰিয়
population	জনসংখ্যা
pop	প’প
pork	গাহৰি মাংস
porridge	পুডিং বিশেষ
port	বন্দৰ
position	অৱস্থান
positive	ধনাত্মক
possession	পেছা
possessive	স্ব-অধিকাৰ
possess	অধিকাৰ কৰা
possible	সম্ভৱ
postpone	পিছুৱাই থকা
post	ডাক
potato	আলু
potential	সম্ভাৱনা
pound	পাউণ্ড
poverty	দৰিদ্ৰতা
powerful	শক্তিশালী
power	ক্ষমতা
practical	বাস্তৱিক
practice	অভ্যাস
praise	প্ৰশংসা কৰা
prank	ধেমালি কৰা
pray	প্ৰাৰ্থনা কৰা
precious	মূল্যবান
precisely	যথাযথভাৱে
precise	সুনিৰ্দিষ্ট
predict	অনুমান
preference	প্ৰাথমিক পছন্দ
prefer	অগ্ৰাধিকাদ দিয়া
pregnant	গৰ্ভৱতী
prejudice	পক্ষপাত কৰা
premises	পৰিসৰ
premium	প্ৰিমিয়াম
preparation	প্ৰস্তুতি
prepared	প্ৰস্তুত কৰা হৈছে
prepare	প্ৰস্তুত হোৱা
preposition	অব্যয়
presence	উপস্থিতি
presentation	প্ৰস্তুতি
present	বৰ্তমান
preserve	সংৰক্ষণ
president	ৰাষ্ট্ৰপতি
pressure	চাপ
press	টিপক
pretend	ভাও জোৰা
pretty	মৰমলগা
prevent	প্ৰতিৰোধ কৰা
previous	পূৰ্ৱবৰ্তী
prey	চিকাৰ
price	মূল্য
pride	গৌৰৱ
priest	পূজাৰী
primary	প্ৰাথমিক
prime	মুখ্য
princess	ৰাজকন্যা
principal	প্ৰধান
priority	অগ্ৰাধিকাৰ
prior	আগতে
prison	কাৰাগাৰ
privacy	গোপনীয়তা
private	ব্যক্তিগত
privilege	বিশেষ অধিকাৰ
prize	পুৰষ্কাৰ
probably	সম্ভৱতঃ
problem	সমস্যা
procedure	পদ্ধতি
proceed	আগবাঢ়ক
process	প্ৰক্ৰিয়া
produce	উত্‍পাদন
production	উৎপাদন
product	সামগ্ৰী
professional	পেশাদাৰী
profession	পেছা
profile	ৰূপৰেখা
profit	লাভ
profound	দৃঢ়
progress	প্ৰগতি
project	প্ৰকল্প
prominent	বিশিষ্ট
promise	প্ৰতিশ্ৰুতি
promote	প্ৰচাৰ কৰা
promotion	প্ৰচাৰ
prompt	শীঘ্ৰে
prone	উন্মুখ
pronouns	সৰ্বনাম
pronunciation	উচ্চাৰণ
proof	প্ৰমাণ
properly	সঠিকভাৱে
properties	ধৰ্ম
property	সম্পত্তি
proper	যথাযথ
proposal	প্ৰস্তাৱ
prospect	সম্ভাৱনা
prosperity	সমৃদ্ধি
prosperous	সমৃদ্ধ
protect	ৰক্ষা কৰা
proud	অহংকাৰী
prove	প্ৰমাণ কৰা
provided	প্ৰদান কৰা
provide	প্ৰদান কৰা
province	প্ৰদেশ
provision	ব্যৱস্থা
puberty	যৌৱন
public	ৰাজহুৱা
pull	টনা
pumpkin	ৰঙালাউ
punctual	সময়নিষ্ঠ
pupil	চকুৰ মণি
purchase	ক্ৰয় কৰা
pure	বিশুদ্ধ
purple	বেঙুনীয়া
purpose	উদ্দেশ্য
purse	ধনৰ মোনা
pursue	অনুসৰণ কৰা
pursuit	অনুসৰণ
push	ঠেলা
put	ৰখা
qualification	অৰ্হতা
quality	গুণমান
quantity	পৰিমাণ
quarantine	কুৰেণ্টাইন
quarrel	কাজিয়া
quarter	কিহবাৰ এক চতুৰ্থাংশ
Quechua	কেচুআ
queen	ৰাণী
queer	বিচিত্ৰ
query	প্ৰশ্ন
question	প্ৰশ্ন
queue	লানি পতা
quickly	দ্ৰুততাৰে
quick	দ্ৰুত
quiet	নীৰৱ
quilt	লেপ
quite	যথেষ্ট
quit	এৰি দিয়া
quiz	কুইজ
quotation	উদ্ধৄতি
quotes	উদ্ধৃতি
quote	উদ্ধৃতি
rabbit	শহা
race	জাতি
rage	খং
rain	বৰষুণ
raised	উত্থাপিত
raise	বৃদ্ধি কৰা
random	যাদৃচ্ছিক
range	পৰিসৰ
ran	দৌৰিছিল
rapidly	দ্ৰুতগতিত
rapid	দ্ৰুত
rarely	কাচিত্‍
rare	বিৰল
rash	চোকোৰা
rate	হাৰ
rather	বৰঞ্চ
rational	যুক্তিকৰ
ratio	অনুপাত
rat	চিকা
raw	কেঁচা
reached	পালেগৈ
reach	উপনীত হোৱা
reaction	প্ৰতিক্ৰিয়া
reading	পঢ়ি থকা
ready	সাজু
read	পঢ়া
reality	বাস্তৱতা
realized	উপলব্ধি কৰা হৈছে
realize	উপলব্ধি
really	সঁচাকৈ
real	বাস্তৱ
rear	পিছফালৰ
reasonable	যুক্তিসংগত
reason	কাৰণ
recall	মনত পেলোৱা
receipt	ৰচিদ
received	প্ৰাপ্ত কৰা হৈছে
receive	পোৱা
recently	শেহতীয়াকৈ
recent	শেহতীয়া
reception	অভ্যৰ্থনা
recipe	ৰেচিপি
reckless	বেপৰোৱা
recognition	স্বীকৃতি
recognize	চিনাক্ত কৰা
recommended	পৰামৰ্শিত
recommend	প্ৰস্তাৱ দিয়া
record	নথিভুক্ত
recovery	পুনৰুদ্ধাৰ
recover	পুনৰুদ্ধাৰ
rectangle	আয়ত
redeem	ৰিডীম কৰা
redemption	পাপমোচন
reduce	হ্ৰাস কৰা
redundant	অপ্ৰয়োজনীয়
red	ৰঙা
reference	সন্দৰ্ভ
refer	উল্লেখ
reflection	প্ৰতিফলন
reflect	প্ৰতিফলন
refrain	নকৰাকৈ থকা
refrigerator	ৰেফ্ৰিজাৰেটৰ
refund	ধন উভতোৱা
refused	অস্বীকাৰ কৰা হৈছে
refuse	অস্বীকাৰ কৰা
regarding	এইবিষয়ে
regardless	ধ্যান নিদিয়াকৈ
regards	সন্মান
regard	সন্মান
region	অঞ্চল
register	পঞ্জীয়ন কৰা
regret	অনুশোচনা কৰা
regularly	নিয়মিতভাৱে
regular	নিয়মিত
reject	প্ৰত্যাখ্যান
related	সম্পৰ্কিত
relate	সম্পৰ্কিত কৰা
relationship	সম্পৰ্ক
relatives	সম্বন্ধীয়
relative	সম্পৰ্কীয়
relax	আৰাম
released	মুক্তিপ্ৰাপ্ত
release	মুক্তি দিয়া
relevant	প্ৰাসংগিক
reliable	নিৰ্ভৰযোগ্য
relief	ত্ৰাণ পোৱা
relieved	অব্যাহতিপ্ৰাপ্ত
relieve	সকাহ দিয়া
religion	ধৰ্ম
religious	ধাৰ্মিক
reluctant	অনিশ্চুক
rely	ভৰসা
remaining	বাকী থকা
remain	বাকী আছে
remarkable	মন কৰিবলগীয়া
remedy	প্ৰতিকাৰ
remember	মনত ৰখা
reminder	স্মাৰক
remind	মনত পেলোৱা
remote	দূৰৱৰ্তী
remove	আঁতৰোৱা
render	যাঁচি দিয়া
re	NS
rent	ভাড়া
repair	মেৰামতি
repeat	পুনৰাবৃত্তি
replace	প্ৰৰ্তিস্থাপন কৰা
reply	প্ৰত্যুত্তৰ
report	অভিযোগ কৰা
represent	প্ৰতিনিধিত্ব
reputation	খ্যাতি
request	অনুৰোধ
required	প্ৰয়োজনীয়
require	প্ৰয়োজন
rescue	উদ্ধাৰ
research	গৱেষণা
resemble	মিল থকা
resentment	অসন্তুষ্টি
reservation	সংৰক্ষণ
reserve	সংৰক্ষণ
resident	বাসিন্দা
resign	ত্যাগপত্ৰ দিয়া
resilience	সহনশীলতা
resilient	প্ৰাণৱন্ত
resistance	বিৰোধ কৰা
resist	বিৰোধ কৰা
resolution	সংকল্প
resolve	সমাধান
resort	আশ্ৰয়
resources	সম্পদসমূহ
respect	সন্মান
respond	সঁহাৰি
response	সঁহাৰি
responsibility	দায়িত্ব
responsible	দায়ী
restaurant	ৰেষ্টুৰেণ্ট
rest in peace	আত্মাই চিৰশান্তি লাভ কৰক
restore	পুনৰ সঞ্চয় কৰা
restrict	সীমাবদ্ধ
rest	জিৰণি লোৱা
results	ফলাফল
result	ফলাফল
resume	অব্যাহত ৰাখক
retail	খুচুৰা
retain	ধৰি ৰখা
retention	ধৰি ৰখা
retired	অৱসৰপ্ৰাপ্ত
retreat	পশ্চাদপসৰণ
retrieve	উদ্ধাৰ কৰা
return	উভতাই দিয়া
revealed	উন্মুক্ত
reveal	প্ৰকাশ কৰা.
revenge	প্ৰতিশোধ
revenue	ৰাজহ
reverse	বিপৰীত
review	পুনৰীক্ষণ
revise	সংশোধন
revision	সংশোধন
revolution	বিপ্লৱ
reward	পুৰস্কাৰ
rhythm	তাল
rib	পাঁজৰ
rice	ভাত
rich	ধনী
ride	চলোৱা
ridiculous	হাস্যকৰ
rid	পৰিত্ৰাণ
right now	এতিয়াই
right	শুদ্ধ
rigid	কঠোৰ
ring	আঙুঠি
rinse	পখালা
riot	দাঙ্গা
ripe	পকা
rip	ফলা
rise	উদয় হোৱা
risk	আশংকা
rival	প্ৰতিদ্বন্দী
river	নদী
road	পথ
roast	পোৰা
robust	মজবুত
rock	শিল
rod	ৰ’ড
role	ভূমিকা
roll	মেৰিওৱা
roof	ছাদ
room	কোঠা
root	শিপা
rope	ৰছী
rotten	পচা
roughly	মোটামুটিকৈ
rough	খহটা
round	গোলাকাৰ
route	পথ
routine	নিত্য সূচী
row	শাৰী
rubber	ৰবৰ
rubbish	আৱৰ্জনা
rub	ঘঁহা
rude	ৰূঢ়
rug	পিঠিফালৰ
ruin	ধ্বংস
ruler	শাসক
rules	নিয়মসমূহ
rule	নিয়ম
running	দৌৰা
run	দৌৰা
rural	গ্ৰাম্য
rush	খৰধৰ কৰা
sack	বস্তা
sacred	ভয় খোৱা
sacrifice	ত্যাগ
safe flight	শুভ বিমানযাত্ৰা
safety	সুৰক্ষা
safe	সুৰক্ষিত
sage	মুনি
said	কৈছিল
sailing	জল যাত্ৰা
sail	পাল
sake	হেতু
salary	দৰমহা
sale	বিক্ৰী
salmon	চালমন
salt	নিমখ
Same here	ইয়াত একেই
same	একেই
sample	নমুনা
sand	বালি
Sanskrit	সংস্কৃত
sarcastic	ব্যঙ্গাত্মক
sassy	অনাড়ম্বৰ
satisfaction	সন্তুষ্টি
satisfied	সন্তুষ্ট
satisfying	সন্তোষজনক
satisfy	সন্তুষ্ট কৰা
Saturday	শনিবাৰ
sat	বহিছিল
sausage	চ’চেজ
savage	অসভ্য
save	সঞ্চয় কৰা
saw	দেখিছিল
say	কওক
scale	মাপন
scam	কেলেংকাৰী
scarce	দুৰ্লভ
scared	ভয় খোৱা
scarf	গলাবান্ধ
scary	ভয়ানক
scar	দাগ
scattered	সিঁচৰতি
scenery	দৃশ্য
scene	দৃশ্য
scent	সুগন্ধ
schedule	অনুসূচী
school	বিদ্যালয়
science	বিজ্ঞান
scientists	বিজ্ঞানী
scientist	বিজ্ঞানী
scissors	কেঁচি
scold	গালি
scope	পৰিসৰ
score	মানংক
scrap	বৰ্জিত অংশ
scratch	ঘাঁ লগা
scream	চিঞৰ
screen	স্ক্ৰীণ
screw	পেঁচ-গজাল
script	চিত্ৰনাট্য
seal	ছীল
search	সন্ধান
season	ঋতু
seat	আসন
sea	সাগৰ
second	দ্বিতীয়
secret	গোপনীয়
section	শাখা
secure	সুৰক্ষিত
security	সুৰক্ষা
seed	বীজ
seek	বিচৰা
seems	যেন লাগিছে
seem	এনে লাগিছে
seen	দেখা পোৱা
see you later	আপোনাক পাছত লগ পাম
see you soon	সোনকালেই আপোনাক লগ পাম
see you tomorrow	কাইলৈ দেখা হ'ম
see you	আপোনাক লগ পাম
see	চোৱা
seize	জব্দ কৰা
seizure	বাজেয়াপ্ত
seldom	কাচিত্‍
select	চয়ন কৰা
self healing	নিজে নিজে আৰোগ্য হোৱা
selfish	স্বাৰ্থপৰ
self	নিজক
sell	বিক্ৰী কৰা
send me your picture	মোলৈ আপোনাৰ ছৱি পঠিয়াওক
send	পঠোৱা
senior	জ্যেষ্ঠ
sense	জ্ঞান
sensible	বুদ্ধিমান
sensitive	সংবেদনশীল
sentences	বাক্যসমূহ
sentence	বাক্য
sent	প্ৰেৰণ কৰা
separate	পৃথক
Sepedi	সেপেডী
september	ছেপ্টেম্বৰ
sequence	ক্ৰম
series	শৃংখলা
seriously	গুৰুত্ব সহকাৰে
serious	গহীন
serve	সেৱা কৰা
service	সেৱা
session	অধিৱেশন
setting	ছেটিং
settle	নিষ্পত্তি কৰা
set up	স্থাপন কৰা
set	স্থাপন কৰা
seventeen	সোতৰ
seventy	সত্তৰ
seven	সাত
several	কেইবাটাও
severe	অতিশয়
sew	চিলাই
shade	ছাঁ পৰা ঠাই
shadow	ছাঁ
shake	কঁপা
shallow	ফোপোলা
shall	কৰিব
shame	লজ্জা
shape	আকাৰ
share	ভাগ-বতৰা কৰা
sharp	চোকা
shed	ছাঁ পৰা স্থান
sheep	ভেড়া
sheet	চাদৰ
she has	তাইৰ আছে
she is	তাই হৈছে
shelf	খলপ
shell	খোলা
shelter	আশ্ৰয়
she	তাই
shield	ঢাল
shift	স্থানান্তৰ কৰা
shine	জিলিকা
shipping	পঠিওৱা
ship	জাহাজ
shirt	চাৰ্ট
shoes	জোতা
shoot	নিক্ষেপ কৰা
shopping	বজাৰ কৰা
shop	দোকান
shore	দাঁতি
shortage	কম পৰা
short	চুটি
shot	নিক্ষেপ কৰা কাৰ্য
shoulder	কান্ধ
shout	চিঞৰা
shower	শ্বাৱাৰ
show me	মোক দেখুওৱা
show	প্ৰদৰ্শনী
shrimp	মিছামাছ
shrink	সংকোচন
shut up	মনে মনে থাক
shut	বন্ধ
shy	লাজকুৰীয়া
siblings	ভাই-ভণ্টি
sibling	সহোদৰ
sick	বেমাৰী
side	এফালৰ
sightseeing	ঠাই চাই ফুৰা
sight	দৃষ্টি
sigh	হুমুনিয়াহ
signature	চহী
significant	উল্লেখযোগ্য
sign	চহী
silence	নীৰৱতা
silent	নীৰৱ
silk	ৰেশম
silly	নিৰ্বোধ
silver	ৰূপ
similar	একেধৰণৰ
simple	সাধাৰণ
simp	সহজ
simultaneously	একে সময়তে
sincerely	বিনীতভাৱে
sincere	গম্ভীৰ
since	যিহেতু
singer	গায়ক
single	একক
sing	গোৱা
sink	ডুবা
Sir	মহোদয়
sister in law	নবৌ
sister	ভণ্টি
site	স্থান
situation	পৰিস্থিতি
sit	বহক
sixteen	ষোল্ল
sixty	ষাঠি
six	ছয়
size	আকাৰ
skills	দক্ষতাসমূহ
skill	দক্ষতা
skinny	খীণ
skin	ছাল
skip	বাদ দিয়া
skirt	স্কাৰ্ট
sky	আকাশ
slave	দাস
sleeping	শুই আছে
sleepy	টোপনি
sleep	টোপনি
sleeve	শ্লীভ
slice	টুকুৰা
slide	এফলীয়া
