a little	قليل
need	يحتاج إلى
need	بيحتاج
negative	سلبي
neglect	همل
negotiate	يفاوض
neighbor	جار
neighborhood	حارة
neighborhood	حي
neither	ولا
nephew	ابن اخ
nephew	ابن اخت
nerd	نيرد
nerd	مجتهد
nervous	معصب
nervous	متوتر
nest	عش
net	شبكة
network	شبكة
neutral	حيادي
never	أبداً
never give up	لا تستسلم أبداً
never give up	لا تيأس من رحمة رب العالمين
never mind	ما بيهم
never mind	مو مشكلة
nevermind	ولا يهمك
nevertheless	مع هيك
new	جديد
news	أخبار
next	اللي بعدو
next to	قرب
next to	بجوار
next to	جنب
nice	جَمِيل
nice	حِلُو
nice	لَطِيف
nice to meet you	تشرّفتُ بلقائِكَ
nice to meet you	تشرَّفنا
niece	بنت الأخ
niece	بنت الأخت
night	ليل
nightmare	كابوس
nine	تسعة
nineteen	تسعتعش
ninety	تسعين
No	كَلَّ
No	لا
No	لأ
no problem	ما في مشكلة
no problem	مو مشكلة
no problem	ولا يهمك
no way	مو معقول
no way	عم تمزح
nobody	ما حدا
noise	ضجة
noisy	ضجة
none	لا أحد
noon	الضهر
nope	لا
nor	ولا
normal	عادي
normal	طبيعي
north	شمال
North Levantine Arabic	اللغة العربيّة في شمالِ بلاد الشام
North Levantine Arabic	اللغة العربيّة في شمال المشرق العربيّ
nose	أنف
nose	منخار
nostalgic	حنين
not	مو
not	لا
not at all	مو صحيح
not bad	ما شبو شي
Not now	مو هلّق
not yet	لسى
not yet	لسى بكير
note	ملاحظة
noted	عرفت
noted	فهمت
nothing	لا شَيء
nothing	وَلا شِي
notice	ملاحظة
noticed	لاحظت
noun	اسم
nouns	الأسماء
novel	رواية
november	تشرين التاني
now	هلق
now	الآن
nowadays	هالايام
nuisance	مضايقة
nuisance	إزعاج
null	باطل
null	ملغي
numb	مخدّر
number	رقم
nurse	ممرضة
nut	مكسّرات
nutmeg	جوزة الطيب
nutrition	تَغذِيَة
oath	حلَف
obesity	سِمنة
obey	يطيع
object	هدف
objective	غاية
objective	هدف
obligation	الزام
obligation	فرض
obscure	مو مفهوم
observation	اشراف
observe	يراقب
obsessed	مهووس
obsession	هوَس
obsolete	ما عاد حدا استعملو
obsolete	بطلت موضتو
obstacle	عثرة
obtain	ياخد
obtained	مقتني
obvious	واضح
obviously	بكل وضوح
occasionally	أحياناً
occasionally	بعض الأوقات
occupation	شغل
occupation	عمل
occupied	فيه حدا
occupied	مشغول
occur	صادف
occur	صار
occurred	حصل
occurs	يصير
ocean	محيط
october	تشرين الأول
odd	غريب
odds	احتمالات
of	لِ
of	لَ
of course	أكيد
of course	طبعاً
off	عن
offensive	جارح
offer	عرض
office	مكتب
official	رسمي
often	معظم الأوقات
often	غالبًا ما
often	أكثر الأحيان
Oh	آه
Oh	أُوه
oh really	أه عن جدّ
oil	نفط
oil	زيت
ok	ماشي
ok	تكرم
ok	أوافق
ok dear	ماشي حبيبي
ok honey	ماشي حبيبي
ok my love	ماشي حبيبي
okay	ماشي
okay	مو مشكلة
okay	لا تقلق
okay	أوافق
okay	تكرم
okay	لا بأس
okay baby	ماشي حبيبي
okay dear	ماشي حبيبي
okay honey	ماشي حبيبي
okay honey	موافق حبيبتي
okay my love	ماشي حبيبي
old	عتيق
old	عمر
old	قديم
on	فَوق
on	على
once	مرة وحدة
once	مرة
one	واحد
one language is never enough	لغة وحدة مو كافية أبداً
onion	بصل
online	متصل
online	اونلاين
only	فقط
only	بس
open	فتح
operation	عملية
opinion	رأي
opportunities	فرص
opportunity	فرصة
opposite	عكس
optimistic	شي بيفائل
option	خيار
optional	خياري
or	أو
orange	برتقالي
orange	برتقان
order	طلبيّة
order	طلب
order	أمر
ordinary	عادي
organization	منظمة
orientation	توجيه
orientation	اتجاه
origin	أصل
original	أصلي
Oromo	لغة أورومو
orphan	يتيم
other	آخر
other	تاني
otherwise	بلا هيك
otherwise	من دون هيك
ought	لازم
ought	من الضروري
our	ملكنا
our	لنا
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	مهمتنا: تمكين كل شخص بكل مكان انو يقدر يفهم العالم ويقدر يعبر عن نفسو من خلال اللغات.
Our mission: to organize the world's information and make it universally accessible and useful.	مهمتنا: أنو انظم المعلومات العالمية ونخلي إمكانية الدخول والاستفادة منها متاحة على مستوى العالم.
out	برا
outcome	النتيجة
outfit	ملبوس
outfit	بدلة
outgoing	متفتح
outgoing	رايح
outlet	مَنفَذ
outline	الخطوط العريضة
outside	برا
outstanding	متميز
outstanding	مميز
oven	فرن
over	أكتر من
over	فوق
over there	هونيك
overall	إجمالي
overcome	يتغلب على
overthinking	التفكير الزايد عن اللازم
overwhelmed	مهزوم
overwhelmed	مغلوب
overwhelming	غامر
overwhelming	عاطفي
owe	مديون
owl	بومة
own	يملك
own	بيملك
owner	مالك
ox	عجل كبير
ox	فدّان
ox	تور
pace	خطوة
pack	رزمة
package	علبة
package	طَرد
paid	مدفوع
pain	وجع
pain	ألم
paint	دهان
painting	دهان
painting	تلوين
pair	زوج
pale	مصفرّ
pale	لونو مخطوف
palm	نخيل
pan	مقلاية
pandemic	جائحة
panic	هلع
panic	خوف كبير
pants	بنطلون
pants	بنطال
paper	ورقة
paradise	جنة
parallel	موازي
parcel	شقفة
parcel	قطعة
pardon	العفو
parents	أب وأم
parents	أهل
park	حديقة عامة
parrot	ببغاء
parsley	بَقدونس
part	قطعة
participate	يشارك
particular	خص نص
particular	خاص
particularly	بالأخص
partner	شريك
party	حفلة
pass	مرّ
pass	نجح
passage	ممر
passed	اجتاز
passed	نجح
passion	ولع
passion	عشق
passionate	انفعالي
passionate	عصبي
passive	سلبي
password	كلمة السر
past	من زمان
past	ماضي
patch	بِركة
path	طريق
pathetic	بيوجع القلب
patience	صبر
patient	مريض
patient	صابر
pattern	نمط
pause	يوقف
pavement	رصيف
pay	يدفع
payment	دفع
peace	سلام
peaceful	آمن
peach	خوخ
peak	قمة
pear	إجاص
peas	بزيلا
peculiar	غير مألوف
peculiar	غريب
pee	يبوّل
peel	قشر
peer	اللي من جيلو
peers	ولاد جيلو
pen	قلم
pencil	قلم رصاص
pending	بالانتظار
pending	مستني
people	ناس
people	عالم
pepper	فلفل
perceive	فهِم
perceive	تصور
perception	فطنة
perception	نباهة
perfect	مثالي
perfect	تمام
perform	يعمل
perform	يخلّص
performance	أداء
performance	عمل
perhaps	يمكن
perhaps	معقول
period	فترة
permanent	مستمر
permanent	دايم
permission	اذن
permit	يئذن
permit	يسمح
perseverance	مثابرة
perseverance	العمل الجاد
persistent	مصرّ
person	شخص
person	واحد
personal	شخصية
personality	شخصية
perspective	وجهة نظر
persuade	بيقنع
pervert	منحرف
pervert	بلا أخلاق
pet	حيوان أليف
phase	مرحلة
phenomenon	ظاهرة
philosophy	فلسفة
phone	تليفون
photo	صورة
phrase	عبارة
physical	جسماني
pick	يختار
pick up	أخد
pick up	مسك
picture	صورة
piece	شقفة
piece	قطعة
pieces	قِطَع
pieces	شقف
pig	خنزير
pigeon	حمامة
pile	كومة
pile	باسور
pillow	مخدة
pilot	طيار
pin	دبوس
pineapple	أناناس
pink	زهري
pit	حفرة
pitch	رمية
pitch	زفت
pity	شفقة
pity	رحمة
place	مطرح
place	مكان
places	أماكن
plague	وباء
plain	سهل
plain	واضح
plan	خطة
plane	طيّارة
plant	زرعة
plant	نبتة
plants	النباتات
plate	جاط
plate	صحن
platform	منصة
play	لعب
play	شغّل
playing	يلعب
pleasant	منيح
pleasant	جذاب
please	من فضلك
please	لو سمحت
please	رجاءً
pleased	فرحان
pleased	مبسوط
pleasure	انبساط
pleasure	سعادة
pledge	وعد
pledge	تعهّد
plenty	كتير
plot	حبكة
plug	سدادة
plum	خوخ
plumber	سبّاك
plumber	سمكري
plural	جمع
podcast	نشرة صوتية
poem	قصيدة
poetry	شِعر
point	نقطة
poison	سم
police	شرطة
policy	سياسة
polite	مهذب
polite	منظوم
pollution	تلوث
pond	بركة مي
pond	بحرة
pool	حمام سباحة
pool	حوض
poop	عمل بالحمّام
poor	ضعيف
poor	فقير
pop	البوب
popular	منتشر
popular	شعبي
population	عدد السكان
pork	لحم الخنزير
porridge	شوربة قمح
port	مينا
port	مرفأ
position	مركز
positive	ايجابي
positive	كويّس
possess	عندو
possession	أملاك
possessive	ملوكي
possible	ممكن
possible	معقول
post	بريد
post	منصب
post	بعد
postpone	يأجل
potato	بطاطا
potential	ممكن
potential	محتمل
pound	ليرة
poverty	فقر
poverty	معتاز
power	قوة
powerful	قوي
practical	عملي
practice	ممارسة
practice	تدريب
praise	مدح
prank	مقلب
prank	مزحة
pray	عم بيصلي
pray	صلاة
precious	غالي
precious	ثمين
precise	دقيق
precisely	بشكل دقيق
predict	يتنبأ
prefer	بيفضل
preference	تفضيل
pregnant	حامل
prejudice	من غير وجه حق
prejudice	اجحاف بحقو
premises	مقدمات
premium	بريميوم
premium	ممتاز
preparation	تحضير
preparation	تجهيز
prepare	بيجهّز
prepare	بيحضر
prepared	جاهز
preposition	حرف جر
presence	الحضور
present	موجود
present	حاضر
presentation	عرض تقديمي
preserve	بيحفظ
president	رئيس
press	صحافة
press	ضغط
pressure	ضغط
pretend	بيعمل حالو
pretend	بيتظاهر
pretty	حلو
pretty	جميل
prevent	بيمنع
prevent	يمنع
previous	اللي قبلو
prey	فريسة
prey	ضحية
price	سعر
pride	شوفة الحال
pride	غرور
priest	كاهن
primary	أساسي
prime	رئيسي
prime	أساسي
princess	أميرة
principal	رئيسي
prior	قبل
priority	أولوية
prison	سجن
privacy	خصوصية
private	خصوصي
private	شخصي
privilege	امتياز
prize	جائزة
probably	على الأرجح
probably	على الأغلب
problem	مشكلة
procedure	طريقة
procedure	إجراء
proceed	يتابع
proceed	يتحرك
process	عملية
process	شغلة
produce	بينتج عنو
product	منتج
production	إنتاج
profession	مهنة
profession	صنعة
professional	محترف
profile	بروفايل
profile	حساب تعريفي
profit	منفعة
profound	غميق
profound	عويص
progress	تقدّم
project	مشروع
prominent	مبيّن
prominent	بارز
promise	وعد
promote	عزز
promote	دعم
promote	شجّع
promotion	دعاية
promotion	ترويج
prompt	فوري
prone	متسطّح
pronouns	الضمائر
pronunciation	لفظ
pronunciation	نطق
proof	اثبات
proof	دليل
proper	صحيح
proper	مناسب
properly	بشكل صحيح
properties	أملاك
property	أملاك
property	أطيان
proposal	عرض
prospect	احتمال
prosperity	الرفاهية
prosperity	النعيم
prosperous	مزدهر
protect	يحمي
proud	بشوف حالي
proud	بفتخر ف
proud	فخور
prove	يثبت
prove	يبرهن
provide	يعطي
provide	يساهم
provided	متوفر
province	محافظة
provision	مونة
puberty	بلوغ
public	شعبي
public	علني
pull	سحب
pumpkin	يقطين
punctual	واحد معدَّل
pupil	تلميذ
purchase	شري
purchase	شراء
pure	طاهر
pure	صافي
purple	بنفسجي
purple	قرميدي
purpose	غايَة
purpose	غَرَض
purpose	هَدَف
purse	شنتة
purse	محفظة
pursue	يقنع
pursuit	ملاحقة
pursuit	مطاردة
push	ادفش
put	يضع
put	بيحط
qualification	مؤهل
quality	نوعية
quality	جودة
quantity	كمية
quarantine	الحجر الصحي
quarrel	خناقة
quarter	ربع
Quechua	لغة الكيتشوا
queen	ملكة
queer	مِثلي
query	استفسار
question	سؤال
queue	طابور
quick	سريع
quickly	بسرعة
quiet	هادي
quiet	صامت
quiet	هادئ
quiet	ساكت
quilt	لحاف
quit	بيبطّل
quit	بيترك
quite	تمامًا
quite	تَمَامْ
quiz	اختبار
quotation	اقتباس
quote	حدد سعر
quote	اقتبس
quotes	عروض أسعار
rabbit	أرنب
race	عِرق
race	سباق
rage	هيجان
rage	غضب
rain	مطر
rain	شتي
raise	رفع
raise	ربّى
raise	شال
raised	ربّى
ran	ركض
random	عشوائي
range	بيتراوح
range	مجال
range	نطاق
rapid	سريع
rapidly	بسرعة
rare	نادر
rarely	نادراًً
rarely	قليل ما
rash	متهور
rash	متسرع
rat	جردون
rate	معدّل
rather	من انو
rather	بدل
ratio	نسبة
rational	عقلاني
raw	غر
raw	خام
re	رجع
re	كرر
reach	وصل
reach	يصل
reached	وصلّو
reaction	رد فعل
read	يقرأ
read	يقرا
reading	مطالعة
reading	قراية
ready	جاهز
real	واقعي
real	حقيقي
reality	الواقع
realize	عرف
realize	تيقّن
realized	عرف
really	فِعلًا
really	حَقًّا
really	عن جد
rear	ورا
rear	خلفي
reason	سبب
reasonable	معقول
recall	عم يتذكّر
receipt	استلام
receive	استلم
received	استلم
recent	آخر شي
recently	بالفترة الأخيرة
reception	استقبال
recipe	وصفة
reckless	أهوج
reckless	متهور
recognition	تعرُّف
recognize	عرف
recommend	بيوصي فيه
recommended	يُستحسن
record	تسجيل
recover	استرداد
recover	استعادة
recovery	استرجاع
recovery	استعادة
rectangle	مستطيل
red	أحمر
redeem	يسترد
redeem	يرجّع
redemption	فك الدين
redemption	خلاص
reduce	بيقلل
redundant	زايد
refer	يأشّر
refer	يلمّح
reference	مرجع
reference	إشارة
reflect	بيعكس
reflection	انعكاس
refrain	ما عم يرضى
refrigerator	برّاد
refund	استرداد
refuse	ما بدو
refuse	بيرفض
refused	رفض
regard	اعتبار
regarding	بخصوص
regardless	بغض النظر
regards	تحياتي
region	منطقة
register	سجّل
regret	ندمان
regret	ندم
regular	عادي
regularly	بشكل منتظم
reject	رفض
reject	ما بدو
relate	متصل
related	بيتعلق ب
relationship	علاقة
relative	من الأقارب
relatives	أقارب
relax	ارتاح
release	ترك
release	أفلت
released	أطلق سراحو
released	محرر
relevant	مناسب
reliable	موثوق
reliable	بتقدر توثق فيه
relief	ارتياح
relieve	يخفّف عن
relieve	يريّح
relieved	مرتاح
religion	دين
religious	ديني
reluctant	بيتردد
rely	يعتمد على
remain	بيضل
remain	بيبقى
remaining	فاضل
remaining	باقي
remarkable	مميز
remedy	علاج
remember	بيتذكر
remind	بيذكّر
reminder	تذكير
remote	بعيد
remove	بيشيل
render	يقدم
rent	إيجار
repair	صلّح
repeat	عاد
replace	يبدّل
reply	يجاوب
reply	يرد
report	تقرير
represent	بيمثّل
reputation	سمعة
request	طلب
require	بدو
required	بيتطلّب
required	بيحتاج
rescue	ينجّي
research	بحث
resemble	تشابه
resemble	تماثل
resentment	غيظ
reservation	حجز
reserve	احتياطي
resident	ساكن
resign	استقال
resilience	الصمود
resilience	مطواع
resilient	ليّن
resilient	مرن
resist	بيقاوم
resistance	مقاومة
resolution	دقة
resolution	قرار
resolve	حلّ
resort	منتجع
resort	مأوى
resources	موارد
respect	بيشيل قدر وقيمة
respect	بيحترم
respect	يحترم
respond	بيرد
respond	بيجاوب
response	رد
response	جواب
responsibility	المسؤولية
responsible	مسؤول
rest	راحة
rest	باقي
rest in peace	الله يرحم ترابو
restaurant	مطعم
restore	يستعيد
restrict	بيقيد
result	نتيجة
results	نتائج
resume	بيكمل
resume	سيرة ذاتية
retail	بيع بالمفرّق
retail	مفرّق
retain	بيحتفظ
retention	حفظ
retired	متقاعد
retreat	تراجع
retrieve	يسترجع
return	يرجع
reveal	بيكشف
reveal	بيبيّن
revealed	مكشوف
revenge	انتقام
revenue	مردود
reverse	يعكس
review	مراجعة
revise	يراجع
revision	مراجعة
revolution	ثورة
reward	جائزة
rhythm	إيقاع
rib	ضلع
rice	رز
rich	غني
rich	ميسور الحال
rid	يتخلص من
ride	بيركب
ridiculous	مسخرة
ridiculous	شي مسخرة
right	صحيح
right	عندك حقّ
right	مظبوط
right now	هلق
rigid	عنيد
rigid	متزمت
ring	خاتم
rinse	شطف
riot	شغب
rip	مزّق
rip	شقشق
ripe	مستوي
rise	ارتفاع
rise	زيادة
risk	مجازفة
rival	منافسة
river	نهر
road	طريق
roast	مشوي
robust	قوي
robust	صلب
rock	صخرة
rock	حَجَر
rod	عصا
role	دور
roll	لفة
roof	سطح
room	فضى
room	غرفة
root	شروش
root	جذور
rope	حبل
rotten	خربان
rotten	معفن
rough	غليظ
rough	قاسي
rough	خشن
roughly	بقسوة
round	مدوّر
route	طريق
routine	روتين
row	صف
rub	فرك
rubber	محاية
rubbish	زبالة
rude	غليظ
rude	فج
rude	جفص
rug	بساط
rug	سجادة
ruin	خراب
rule	قاعدة
ruler	حاكم
rules	قواعد
run	ركض
running	ركد
rural	ضيّعجي
rush	يسرع
sack	كيس
sacred	مقدّس
sacrifice	تضحية
safe	آمن
safe flight	توصلو بخير
safety	السلامة
sage	عاقل
sage	حكيم
said	قال
sail	طلع بالبحر
sail	شراع
sailing	يطلع بالبحر
sake	منشان
salary	راتب
sale	تخفيضات
sale	أوكازيون
salmon	سمك السلمون
salt	ملح
same	نفس الشي
same	سيّان
Same here	نفس الشي هون
sample	عينة
sand	رمل
Sanskrit	اللغة السنسكريتية
sarcastic	ساخر
sassy	وقح
sat	قعد
satisfaction	رضى
satisfaction	اشباع
satisfied	رضيان
satisfy	رضى
satisfying	مرضي
Saturday	السبت
sausage	سجق
savage	متوحش
savage	همجي
save	حفظ
saw	رأى
saw	شاهد
saw	شاف
say	بينطق
say	بيقول
scale	مقياس
scale	زان
scale	ميزان
scam	غش
scam	نصب
scar	ندبة
scar	أثر جرح
scarce	قليل
scarce	نادر
scared	مرعوب
scared	خايف
scarf	غطى
scarf	منديل
scarf	شال
scary	مرعب
scattered	مشلوح هون وهون
scene	مشهد
scenery	منظر طبيعي
scent	ريحة طيّبة
schedule	جدول
schedule	برنامج
school	مدرسة
science	علوم
scientist	عالم
scientists	العلماء
scissors	مقرض
scissors	مقص
scold	أنّب
scold	وبّخ
scope	مدى
scope	مجال
score	نتيجة
scrap	خرداوات
scratch	يخرمش
scream	عم يصرخ
screen	شاشة
screw	خرّب
script	بخط الايد
script	مخطوطة
sea	بحر
seal	ختم
search	عم يدوّر
season	فصل
season	موسم
seat	كرسي
seat	مقعد
second	التاني
secret	سر
section	قسم
secure	مأمّن عليه
security	أمن
see	رأى
see	شاف
see you	بشوفك
see you	بشوفك بعدين
see you later	بشوفك بعدين
see you soon	بشوفك عن قريب
see you tomorrow	بشوفك بكرا
seed	بذرة
seek	يطلب
seek	يتأمل
seem	يبدّو
seems	الظاهر
seen	منشاف
seize	استولى على
seizure	اعتقال
seizure	مصادرة
seldom	قليل ما
seldom	نادراً
select	يختار
self	نفس
self healing	الشفاء الذاتي
selfish	ما بيحب غير حالو
selfish	أناني
sell	بيبيع
send	بعت
send	أرسل
send me your picture	ابعتلي صورتك
senior	كبير
senior	سنيور
sense	حاسّة
sense	احساس
sensible	حسّاس
sensitive	حسّاس
sent	بَعَت
sentence	حكم
sentence	جملة
sentences	جُمل
separate	يفصل
Sepedi	لغة السبيدي
september	أيلول
sequence	تسلسل
series	مسلسل
serious	عن جد
serious	عم تحكي جد
seriously	عن جد
seriously	عم تحكي جد
serve	يخدم
service	خدمة
session	جلسة
session	حصة
set	مجموعة
set	طقم
set up	ركّب
set up	ثبّت
setting	قعدة
setting	ضبط
settle	يستقر
seven	سبعة
seventeen	سبعتعش
seventy	سبعين
several	متعدد
several	متنوع
severe	قوي
severe	حدّ
sew	خياطة
sh	اسكت
sh	هس
shade	خيال
shade	ظل
shadow	ضل
shake	هزة
shall	رح
shallow	سطحي
shallow	عالوشّ
shame	عيب
shame	يا عيب الشوم
shape	شكل
share	بيقسم
share	يشارك
sharp	حدّ
she	هيي
she	هي
she has	عندها
she is	هيّي
shed	سقيفة
shed	زريبة
sheep	غنمة
sheet	صفحة
sheet	ملاية
shelf	رف
shell	صدَفة
shelter	ملجأ
shelter	مأوى
shield	درع
shift	يغيّر
shift	يحوّل
shine	يبرق
ship	سفينة
ship	باخرة
shipping	شحن
shirt	قميص
shoes	كندرة
shoes	صبّاط
shoes	بوط
shoot	قوّس
shop	دكان
shop	محل
shopping	تسوّق
shore	شط
short	قصير
shortage	نقص
shot	طلقة
should	لازم
should	يجب
should	المفروض
shoulder	كتف
shout	يصرّخ
show	عرض
show	بيفرجي
show me	فرجيني
shower	حمّام
shrimp	جمبري
shrink	انكمش
shut	سكّر
shut up	سكّر تمك
shut up	اخراس
shy	خجول
sibling	اخت
sibling	أخ
siblings	نسايب
siblings	قرايبين
sick	شبو شي
sick	مريض
side	جنَب
sigh	تنهد
sight	رؤية
sightseeing	مناظر طبيعية
sign	علامة
sign	إشارة
signature	توقيع
significant	مهم
significant	إلو معنى
silence	صمت
silent	صامت
silk	حرير
silly	سخيف
silver	فضة
similar	نفس الشي
similar	متشابه
simp	أجدب
simple	بسيط
simultaneously	بنفس الوقت
since	من وقت
since	من لما
since	منذ
sincere	مخلص
sincerely	مخلص
sing	بيغني
singer	مطرب
single	عزّابي
sink	حوض
sink	مغسلة
sink	بالوعة
Sir	سيد
sister	اخت
sister in law	بنت الاحما
sit	اقعد
site	موقع
situation	وضع
situation	حالة
six	ستة
sixteen	ستعش
sixty	ستين
size	قياس
skill	مهارة
skill	شطارة
skills	مهارات
skills	شطارة
skin	جلد
skin	بشرة
skinny	جلد وعضم
skip	يتخطى
skip	يتجاوز
skirt	تنوّرة
sky	سما
slave	عبد
sleep	نام
sleeping	نايم
sleepy	نعسان
sleeve	كم
slice	قطعة خبز
slide	زلق
slightly	خفيف
slim	نحيف
slip	تزحلق
slope	انحدار
slot	فتحة
slow	بطيء
slowly	عمهل
slowly	شو شوي
small	صغير
smart	فهلوي
smart	ذكي
smell	يشم
smile	يبتسم
smoke	دخان
smooth	ناعم
smooth	ملس
snack	وجبة خفيفة
snail	حلزون
snake	حية
snake	حنش
snap	طرطقة
snow	تلج
so	لذلك
so	هلّأ تنيِّي
so	مِشان هَيك
so cute	كتير ظريف
so far	لهلق
so far	لغاية هالساعة
soak	نقع
soap	صابون
sober	واعي
sober	متّزن
soccer	كرة القدم
social	اجتماعي
society	مجتمع
socks	جرابات
soft	ناعم
soft	طري
software	برمجة
soil	تراب
sold	تخفيضات
sold	انباع
sold out	منباع
soldier	جندي
sole	نعل
solid	قاسي
solution	حل
solve	بيحلّ
some	شوي
some	شوية
some	بعض
somebody	حدا
somehow	بطريقة ما
someone	حدا
something	شي
something	شيء
sometimes	أحياناً
sometimes	بعض الأحيان
song	غنيّة
soon	قرّيبًا
sophisticated	راقي
Sorani	اللغة السورانية
sore	بيوجّع
sore throat	التهاب بلعوم
sorrow	أسى
sorrow	بلوة
Sorry	عذرًا
Sorry	آسف
Sorry	أعتَذِر
sort	نوع
sought	بحث
soul	روح
soulmate	رفيق الروح
sound	صوت
soup	شوربة
sour	فج
sour	حامض
source	مصدر
source	أصل
south	جنوب
space	مكان فاضي
space	فضا
spam	رسائل إلكترونية مزعجة
span	شبر
Spanish	الأسبانية
spare	إضافي
spare	بديل
speak	يحكي
special	خاص
species	صنف
species	نوع
specific	خاص
spectacular	حلو كتير
spectacular	بيجنن
speech	كلمة
speechless	عاجز عن الحكي
speed	سرعة
spell	يهجّي
spell	سحر
spend	صرف
spend	قضّى
spent	صرف
spicy	حَرّ
spicy	كلو بهارات
spike	سنبلة
spin	برمة
spinach	سبانخ
spirit	روح
spit	بزق
splendid	رائع
split	يقسّم
spoil	ينزع
spoiled	مدلل
spoiled	نزعو الدلال
spontaneous	عفوي
spoon	ملعقة
spot	نقطة
spouse	شريك الحياة
spread	ينتشر
spread	يوزع
spring	نبع مي
spring	ربّيع
square	مربع
square	ساحة
squeeze	عصَر
squid	حبّّار
squirrel	سنجاب
st	شارع
stab	طعنة
stable	مستقر
stack	كومة
staff	مجموعة الموظفين
staff	طاقم الشغل
stage	منصة
stain	وصمة عار
stairs	درج
stake	حصة
stalk	قصبة
stall	مماطلة
stamp	ختم
stand	وقف
stand	يقف
standard	قياسي
standard	معياري
star	نجمة
start	بلّش
start	بداية
start	بدا
started	بلّش
starving	ميّت من الجوع
state	حالة
state	ولاية
state	دولة
statement	قول
statement	إفادة
station	محطة
statue	تمثال
status	حالة
stay	خليك
stay	ابقَ
stay	ضل
stay safe	انشالله تضل بخير
steady	ثابت
steak	قطعة ستيك
steal	يسرق
steam	بخار
steel	ستيل
steel	فولاذ
steep	انحدار
stem	عِرق النبتة
step	خطوة
step	درجة
stick	يلزّق
stiff	قاسي
still	ما زالَ
still	لِسّاتُو
still	بَعْدُو
sting	قرصة
stingy	بخيل
stir	هيجان
stir	ضجة
stock	مخزون
stolen	مسروق
stomach	معدة
stone	حجر
stood	وقف
stool	براز
stop	بيوقّف
storage	تخزين
store	مخزن
store	محل
storm	عاصفة
story	حكاية
stove	غاز
stove	فرن
straight	مستقيم
straight	مباشر
straightforward	ما بيحب الزايحة
strain	تعّبني
strange	غريب
stranger	شخص غريب
strategy	إستراتيجية
straw	قشة
strawberry	فريز
streak	شريط
stream	مجرى
stream	ساقية
street	شارع
strength	قوة
stress	توتّر
stress	ضغط نفسي
stretch	يمط
strict	حازم
strict	كلمتو ما بتصير اتنين
strike	ضربة
string	خيط
strip	شريط
strive	اجتهد
stroke	سكتة دماغية
strong	قوي
struck	مضروب
structure	بناء
structure	هيكل
struggle	عم يناضل
struggle	يعاني
struggle	عم يعاني
struggling	عم يناضل
struggling	عم يكافح
stubborn	عنيد
stuck	علقان
stuck	معلّق
student	طالب
study	دراسة
study	بيدرس
studying	دراسة
stuff	شغلات
stuff	أغراض
stuff	غراض
stunning	حلو كتير
stunning	بيجنن
stupid	غبي
stupid	أجدب
style	أسلوب
subject	موضوع
submission	طاعة, رضوخ
submit	بيطبق
submit	بيقدم
substance	مادة
substance	فحوى
substitute	أخد محلو
substitute	استبدل
subtle	رقيق
subtle	حربوق
succeed	نجح
success	نجاح
successful	ناجح
such	مثل
such	متل
such as	متل
suck	رضاعة
sudden	مفاجئ
suddenly	فجأة
suffer	عم يعاني
suffering	ألم
suffering	معاناة
sufficient	كافي
sufficient	وافي
sufficient	بيكفي
sugar	سكّر
suggest	بيقترح
suggestion	اقتراح
suit	دعوى
suit	بدلة
suitable	مناسب
suitcase	شنتة سفر
sum	مجموع
summary	ملخّص
summer	الصيف
summit	قمة
sun	الشمس
sunday	الأحد
sunny	مشمس
sunset	غروب الشمس
sunset	وقت المغرب
sunshine	طلعة الشمس
super	ممتاز
superior	فاخر
supervisor	مشرف
supper	عشا
supply	تموين
supply	تجهيز
support	دعم
suppose	المفروض
supposed	مفروض
supposed	واجب
sure	أكِيد
sure	ميّة بالمِيّة
surface	سطح
surface	وش
surge	طفرة
surgery	جراحة
surname	الكنية
surprise	مفاجأة
surprised	متفاجأ
surrender	استسلم
surrender	تاب
surrounding	اللي حوالينا
surveillance	اشراف
survey	استبيان
survey	استطلاع
survive	ينجا
suspect	مشتبه فيه
suspended	معلّق
suspicious	مشبوه
suspicious	مشكوك فيه
sustain	حَافَظ على
sustainability	الاستدامة
sustainable	مستمر
sustainable	دائم
swag	غنيمة
swag	صرة تياب
swallow	يبلع
swap	تبديل
swear	يحلف
sweat	عرَق
sweat	عرِق
sweater	جاكيت خفيفة
sweep	كنّس
sweep	تكنيس
sweet	حلو
sweet	جميل
sweet dreams	أحلام سعيدة
sweet tooth	بيموت عالحلو
sweetheart	حبيب
swell	نفخة
swelling	متورّم
swim	سباحة
swimming	سباحة
swing	يتمرجح
switch	يبدّل
swollen	مورّم
sword	سيف
symbol	رمز
sympathy	تعاطف
symptoms	أعراض
system	نظام
table	طاولة
table	جدول
tackle	العدة
tag	بطاقة شعار
tag	تاغ
tail	دنب
take	خُذْ
take	خُود
take away	يبعد
take care	انتبه
take care	اعتني
take off	طارت
taken	مأخود
talk	بيحكي
talkative	ثرثار
tall	طويل
tap	حنفية
tape	شريط
target	غاية
target	هدف
task	مهمة
taste	دوق
tasty	طيّب
taught	علّم
tea	شاي
teach	يعلّم
teacher	أستاذ
teacher	معلم
team	فريق
tear	دمعة
tears	دموع
tease	يزعج
tease	يدايق
technology	تكنولوجيا
teeth	سنان
tell	خبّر
tell me	قلّي
tell me	خبرني
temper	طبع حدّ
temperature	درجة الحرارة
