شوية	a little
سحب	pull
جبد	pull
قرع	pumpkin
منضبط	punctual
بؤبؤ العين	pupil
شرا	purchase
مشترى	purchase
نقي	pure
بنفسجي	purple
غاية	purpose
هدف	purpose
محفظة	purse
ساك	purse
تبّع	pursue
تحرّى	pursue
مطاردة	pursuit
سعي	pursuit
دفع	push
حطّ	put
مؤهل	qualification
جودة	quality
كمية	quantity
حجر صحي	quarantine
دابيزة	quarrel
ربع	quarter
لغة كيتشوا	Quechua
ملكة	queen
مثلي	queer
استفسار	query
سؤال	question
فيلة	queue
قائمة الانتظار	queue
خفيف	quick
دغيا	quickly
هادئ	quiet
لحاف	quilt
خلّا	quit
استقل	quit
خرج	quit
بزاف	quite
اختبار	quiz
اقتباس	quotation
اقتباس	quote
اقتباسات	quotes
أرنب	rabbit
عرق	race
عصب	rage
شتاء	rain
علّا	raise
هزّ	raise
معلّي	raised
علّى	raised
جرى	ran
عشوائي	random
نطاق	range
خفيف	rapid
بسرعة	rapidly
نادر	rare
نادرًًا	rarely
طفح جلدي	rash
فار	rat
معدل	rate
قيّم	rate
ثمن	rate
فعوض	rather
نسبة	ratio
عقلاني	rational
خضر	raw
خام	raw
عاود	re
وصل	reach
وصل	reached
رد فعل	reaction
قرا	read
قراية	reading
واجد	ready
حقيقي	real
واقع	reality
عرف	realize
فهم	realize
أدرك	realized
بصاح	really
بزاف	really
ديال لور	rear
سبب	reason
منطقي	reasonable
معقول	reasonable
استدعاء	recall
تفكّر	recall
إيصال	receipt
تلقّى	receive
تلقّى	received
استلم	received
مؤخرًا	recent
مؤخراً	recently
ريسيبسيون	reception
وصفة	recipe
متهور	reckless
تقدير	recognition
تعرّف على	recognize
وصّى	recommend
تيتوصى بيه	recommended
رقم قياسي	record
سِجِلّ	record
برا	recover
تعافي	recovery
مستطيل	rectangle
حمر	red
استبدل	redeem
استرداد	redemption
طيح	reduce
نقص	reduce
معاوج	redundant
زايد	redundant
شار إلى	refer
مرجع	reference
عكس	reflect
انعكاس	reflection
امتنع	refrain
تلاجة	refrigerator
استرداد	refund
رفض	refuse
رفض	refused
اعتبر	regard
بخصوص	regarding
بالرغم من	regardless
تحياتي	regards
منطقة	region
سجّل	register
ندم	regret
عادي	regular
بانتظام	regularly
رفض	reject
ربط	relate
عندو صلة	related
علاقة	relationship
نسبي	relative
أقارب	relatives
رتاح	relax
استرخاء	relax
حرر	release
طلق	release
صْدر	released
تطلق سراحو	released
عندو صلة	relevant
مناسب	relevant
موثوق	reliable
تعول عليه	reliable
راحة	relief
تخفيف	relieve
مرتاح	relieved
ديانة	religion
متدين	religious
تردد	reluctant
اعتمد	rely
باقي	remain
باقي	remaining
متميز	remarkable
علاج	remedy
تفكّر	remember
فكّر	remind
تذكير	reminder
نائية	remote
عن بُعد	remote
حيّد	remove
زوّل	remove
حوّّل	render
كرا	rent
إصلاح	repair
صلح	repair
يكرر	repeat
استبدال	replace
رد	reply
جاوب	reply
تقرير	report
إبلاغ	report
مثّل	represent
سمعة	reputation
شهرة	reputation
طلَب	request
طلْب	request
طلب	require
مطلوب	required
نقذ	rescue
بحث	research
شبه	resemble
استياء	resentment
حجز	reservation
حجز	reserve
مواطن	resident
مقيم	resident
استقل	resign
مرونة	resilience
صمود	resilience
مرن	resilient
صامد	resilient
قاوم	resist
مقاومة	resistance
دقّة	resolution
قرار	resolution
حلّ	resolve
منتجع	resort
موارد	resources
حترم	respect
جاوب	respond
جواب	response
مسؤولية	responsibility
مسؤول	responsible
راحة	rest
رتاج	rest
الله يرحمك	rest in peace
مطعم	restaurant
إعادة تخزين	restore
قيّد	restrict
نتيجة	result
نتائج	results
سيرة ذاتية	resume
سي في	resume
بيع بالتجزئة	retail
احتفظ	retain
حفظ	retention
متقاعد	retired
تراجع	retreat
استرجع	retrieve
رجع	return
رجوع	return
كشف	reveal
كشف	revealed
انتقام	revenge
ربح	revenue
دخل	revenue
عكس	reverse
مراجعة	review
راجع	review
راجع	revise
مراجعة	revision
ثورة	revolution
جائزة	reward
ريتم	rhythm
ضلع	rib
روز	rice
غني	rich
يتخلص	rid
دورة	ride
ركب	ride
سخيف	ridiculous
بصاح	right
ليمن	right
دبا	right now
قاصح	rigid
خاتم	ring
شلل	rinse
شغب	riot
قطّع	rip
ناضج	ripe
طلع	rise
زاد	rise
خطر	risk
منافسة	rival
واد	river
طريق	road
حمّص	roast
شوى	roast
قوي	robust
حجر	rock
دحرج	rock
عصا	rod
دور	role
لوي	roll
دحرج	roll
سطح	roof
شامبر	room
غرفة	room
أصل	root
جذر	root
حبل	rope
فاسد	rotten
قاسي	rough
صعيب	rough
تقريبا	roughly
دورة	round
مدور	round
طريق	route
روتين	routine
صف	row
فرك	rub
ممحاة	rubber
الغوما	rubber
قمامة	rubbish
وقح	rude
زربية	rug
روينة	ruin
روّن	ruin
قاعدة	rule
حكم	rule
مسطرة	ruler
حاكم	ruler
قواعد	rules
جرى	run
خدّام	running
كيجري	running
ريفي	rural
شلط	rush
كيس	sack
مقدس	sacred
تضحية	sacrifice
آمن	safe
رحلة آمنة	safe flight
سلامة	safety
حكيم	sage
قال	said
إبحار	sail
شراع	sail
إبحار	sailing
مصلحة	sake
سالير	salary
تخفيض	sale
السلمون	salmon
ملح	salt
نفس	same
نفس الشي	Same here
نموذج	sample
رمل	sand
لغة سنسكريتي	Sanskrit
تهكمي	sarcastic
وقح	sassy
جلس	sat
ارتياح	satisfaction
رضا	satisfaction
راضي	satisfied
تلبية	satisfy
مرضي	satisfying
السبت	Saturday
سوسيس	sausage
همجي	savage
نقذ	save
سجّل	save
منشار	saw
شاف	saw
قال	say
مقياس	scale
سلم	scale
خدعة	scam
ندبة	scar
شحيح	scarce
خايف	scared
سبنية	scarf
كيخلع	scary
كيخوف	scary
منتشر	scattered
مشهد	scene
منظر خلاب	scenery
ريحة	scent
جدول	schedule
دير موعد	schedule
مدرسة	school
علوم	science
عالم	scientist
علماء	scientists
مقص	scissors
وبخ	scold
نطاق	scope
ماركا	score
درجة	score
نتيجة	score
خردة	scrap
خدمة	scratch
غوتة	scream
شاشة	screen
مسمار	screw
نص	script
بحر	sea
ختم	seal
كاشي	seal
قلّب	search
فتّش	search
تبّل	season
فصل	season
موسم	season
كرسي	seat
تاني	second
سر	secret
قسم	section
آمن	secure
ضمن	secure
أمن	security
بانليه	see
شاف	see
نشوفك	see you
نتلاقاو قرريب	see you later
خلينا نشوفوك	see you soon
نتشاوفو غدا	see you tomorrow
زريعة	seed
حاول	seek
طلب	seek
تيبان	seem
تيبان	seems
شاف	seen
انتهز	seize
استيلاء	seizure
اعتقال	seizure
نادرًا ما	seldom
اختار	select
نفس	self
شفاء ذاتي	self healing
أناني	selfish
بيع	sell
صرّد	send
صيفط	send
صردلي تصويرتك	send me your picture
قديم	senior
حاس	sense
منطقي	sensible
حساس	sensible
حساس	sensitive
صرّد	sent
عقوبة	sentence
جملة	sentence
جمل	sentences
فرّق	separate
منفصل	separate
لغة سيبيدي	Sepedi
شتنبر	september
تسلسل	sequence
سيريا	series
سلسلة	series
خطير	serious
جدّي	serious
بصح	seriously
خدم	serve
خدمة	service
جلسة	session
مجموعة	set
عيّن	set
نشأ	set up
وضع	setting
تحديد	setting
استقر	settle
سبعة	seven
سبعطاش	seventeen
سبعين	seventy
بزاف ديال	several
قاصح	severe
خطير	severe
خيط	sew
ظل	shade
ظل	shadow
مصافحة	shake
خاص	shall
سطحي	shallow
عار	shame
شكل	shape
بارطاجا	share
شارك	share
ماضي	sharp
هي	she
عندها	she has
هي	she is
سلّط	shed
كوخ	shed
خروف	sheep
صفحة	sheet
غطا	sheet
ورقة	sheet
مرفع	shelf
صَدَفة	shell
قشرة	shell
ملجأ	shelter
درع	shield
تغيير	shift
نوبة	shift
لمع	shine
تألق	shine
شحن	ship
سفينة	ship
شحن	shipping
ملاحة	shipping
تي شيرت	shirt
سباط	shoes
خلا	shoot
صوّر	shoot
تسوق	shop
متجر	shop
تسوق	shopping
التشالي	shore
قصير	short
نقص	shortage
طلقة	shot
تصويرة	shot
خاص	should
كتف	shoulder
غوت	shout
عرض	show
ورّا	show
وريني	show me
دشة	shower
جمبري	shrimp
تكّمش	shrink
سد	shut
سكت	shut up
حشمان	shy
أخت	sibling
أخ	sibling
خوت	siblings
مريض	sick
جانب	side
تنهد	sigh
شوفة	sight
المعالم ديال المدينة	sightseeing
سني	sign
علامة	sign
امضاء	signature
كبير	significant
مهم	significant
سكات	silence
ساكت	silent
حرير	silk
سادج	silly
مبلوز	silly
فضي	silver
متشابه	similar
فاشل	simp
بسيط	simple
فنفس الوقت	simultaneously
بما أن	since
من	since
مخلص	sincere
بصدق	sincerely
غنى	sing
مغني	singer
أعزب	single
واحد	single
حوض	sink
لافابو	sink
سيد	Sir
أخت	sister
أخت ماشي شقيقة	sister in law
جلس	sit
موقع	site
حالة	situation
موقف	situation
ستة	six
سطّاش	sixteen
ستين	sixty
حجم	size
مهارة	skill
مهارات	skills
جلد	skin
رقيق	skinny
فوت	skip
روب	skirt
فالدا	skirt
سما	sky
عبد	slave
نعس	sleep
ناعس	sleeping
فيه النعاس	sleepy
كُم	sleeve
مورصو	slice
قطعة	slice
طاح	slide
زلق	slide
خفيف	slightly
رقيق	slim
زلق	slip
ميل	slope
فتحة	slot
قمار	slot
ثقيل	slow
بشوية	slowly
صغير	small
ذكي	smart
ريحة	smell
تبسم	smile
دخان	smoke
رطب	smooth
سلس	smooth
سناك	snack
حلزون	snail
حيّة	snake
مفاجئ	snap
التقط	snap
ثلج	snow
عليها	so
إذا	so
حلو بزاف	so cute
حتال دبا	so far
فزّك	soak
صابون	soap
مسكرانش	sober
فايق	sober
كورة	soccer
اجتماعي	social
مجتمع	society
تقاشر	socks
رطب	soft
برنامج	software
تراب	soil
باع	sold
تباع كلو	sold out
جندي	soldier
وحيد	sole
قاصح	solid
ثابت	solid
محلول	solution
حل	solution
حل	solve
بعض	some
شي حد	somebody
بشي طريقة	somehow
شي حد	someone
شي حاجة	something
بعض المرات	sometimes
أغنية	song
قريب	soon
متطور	sophisticated
راقي	sophisticated
السورانية	Sorani
قرحة	sore
حريق	sore
حلق ملتهب	sore throat
حزن	sorrow
ندم	sorrow
سمحلي	Sorry
فرز	sort
نوع	sort
فتش	sought
سعى	sought
روح	soul
توأم روحي	soulmate
صوت	sound
شوربة	soup
حامض	sour
مصدر	source
جنوب	south
مساحة	space
سبام	spam
فترة	span
السبليونة	Spanish
قطعة غيار	spare
احتياط	spare
دوي	speak
دوا	speak
متميز	special
فصائل	species
محدد	specific
كيدهّش	spectacular
خطاب	speech
عاجز يدوي	speechless
سرعة	speed
تهجئة	spell
صرف	spend
دوّز	spent
صرف	spent
حار	spicy
ارتفاع	spike
مسمار	spike
دار	spin
دورة	spin
سبانخ	spinach
روح	spirit
بصق	spit
مزيان	splendid
قسم	split
فسد	spoil
فشش	spoil
مفشش	spoiled
خامج	spoiled
عفوي	spontaneous
تلقائي	spontaneous
مغرفة	spoon
بلاصة	spot
بقعة	spot
زوج	spouse
انتشر	spread
ربيع	spring
مربع	square
ضغط	squeeze
عصر	squeeze
كالامار	squid
سنجاب	squirrel
شارع	st
طعن	stab
غرز	stab
إسطبل	stable
مستقر	stable
كومة	stack
طاقم العمل	staff
مرحلة	stage
مسرح	stage
وصمة عار	stain
بقعة	stain
دروج	stairs
حصة	stake
تطفّل	stalk
مماطلة	stall
ختم	stamp
طابع	stamp
منصة	stand
وقف	stand
تحمل	stand
قياسي	standard
نجمة	star
بدا	start
بدا	started
كنموت بالجوع	starving
حالة	state
ولاية	state
تصريح	statement
بيان	statement
محطة	station
تمثال	statue
حالة	status
بقى	stay
بقى آمن	stay safe
ثابت	steady
ستيك	steak
سرق	steal
بخار	steam
فولاذ	steel
حاد	steep
منحدر	steep
نبع	stem
جذع	stem
خطوة	step
درجة	step
عكاز	stick
لصق	stick
قوي	stiff
قاسي	stiff
ما زال	still
لدغة	sting
بخيل	stingy
حرّك	stir
مخزون	stock
أسهم	stock
مسروق	stolen
المعدة	stomach
حجر	stone
وقف	stood
كرسي	stool
براز	stool
وقف	stop
خزانة	storage
تخزين	storage
مخزن	store
محل	store
عاصفة	storm
قصة	story
فران	stove
نيشان	straight
صريح	straight
مستقيم	straight
صريح	straightforward
سلالة	strain
غريب	strange
غريب	stranger
استراتيجية	strategy
قش	straw
مصاصة	straw
فريز	strawberry
سلسلة	streak
تيار	stream
شارع	street
قوة	strength
توتر	stress
إجهاد	stress
مدد	stretch
صارم	strict
ضرير	strike
خيط	string
سلسلة	string
شريط	strip
قطاع	strip
خدم بزاف	strive
سعى	strive
سكتة دماغية	stroke
قوي	strong
ضرب	struck
هيكل	structure
عانى	struggle
معاناة	struggling
راسو قاصح	stubborn
عنيد	stubborn
حاصل	stuck
تلميذ	student
دراسة	study
قرا	study
قراية	studying
حوايج	stuff
واعر	stunning
غبي	stupid
مكلخ	stupid
نمط	style
موضوع	subject
استسلام, تسليم	submission
قدّم	submit
مادة	substance
جوهر	substance
بديل	substitute
خفي	subtle
نجح	succeed
نجاح	success
ناجح	successful
بحال	such
بحال	such as
مص	suck
رضع	suck
خايب	suck
مفاجئ	sudden
فجأة	suddenly
عانى	suffer
معاناة	suffering
كافي	sufficient
سكر	sugar
اقترح	suggest
اقتراح	suggestion
واتى	suit
كومبلي	suit
مناسب	suitable
باليزة ديال السفر	suitcase
مجموع	sum
ملخص	summary
صيف	summer
قمة	summit
شمس	sun
الحد	sunday
مشمش	sunny
شروق الشمس	sunset
شروق الشمس	sunshine
ممتاز	super
متفوق	superior
مشرف	supervisor
غدا	supper
عشا	supper
إمداد	supply
دعم	support
افترض	suppose
مفترض	supposed
أكيد	sure
سطح	surface
زيادة	surge
طفرة	surge
عملية جراحية	surgery
الاسم العائلي	surname
الأصل	surname
مفاجأة	surprise
مفاجئ	surprised
استسلم	surrender
تنازل	surrender
مدور بـ	surrounding
مراقبة	surveillance
دراسة	survey
استطلاع	survey
نجا	survive
مشتبه به	suspect
موقوف	suspended
معلّق	suspended
مشبوه	suspicious
حافظ على	sustain
دعم	sustain
استدامة	sustainability
مستدام	sustainable
غنيمة	swag
بلغ	swallow
بدّل	swap
مقايضة	swap
سب	swear
حلف	swear
عرق	sweat
خرسي	sweater
شطّب	sweep
مسح	sweep
حلو	sweet
حنين	sweet
أحلام سعيدة	sweet dreams
تتعجبو الحلاوة	sweet tooth
الحبيب ديالي	sweetheart
نفخ	swell
نفخ	swelling
عوم	swim
سباحة	swimming
تأرجح	swing
مفتاح	switch
بدّل	switch
منفخ	swollen
سيف	sword
رمز	symbol
شفقة	sympathy
تعاطف	sympathy
أعراض	symptoms
نظام	system
طبلة	table
معالجة	tackle
علامة	tag
زنيطة	tail
خذا	take
خدا	take away
رد البال	take care
تهلا	take care
حيّد	take off
محجوز	taken
تخاد	taken
دوا	talk
ثرثار	talkative
طويل	tall
تكي	tap
بزبوز	tap
شريط	tape
هدف	target
مهمة	task
تذوق	taste
لذيذ	tasty
علّم	taught
أتاي	tea
قرّى	teach
علّم	teach
أستاذ	teacher
معلم	teacher
فريق	team
دمعة	tear
قطع	tear
دموع	tears
شقم	tease
سخّن	tease
تقنية	technology
تكنولوجيا	technology
سنان	teeth
قال	tell
قوليا	tell me
عصب	temper
مزاج	temper
درجة حرارة	temperature
معبد	temple
مؤقت	temporary
عشرة	ten
عشرالاف	ten thousand
كاري	tenant
مال	tend
نزعة	tendency
طري	tender
متوتر	tense
توتر	tension
إجهاد	tension
قيطون	tent
مؤقت	tentative
أولي	tentative
شرط	term
مصطلح	term
مصطلحات	terms
شروط	terms
مكفّس	terrible
مخير	terrific
منطقة	territory
أرض	territory
اختبار	test
نص	text
ميساج	text
من	than
شكر	thank
شكرًًاً	thank you
شكراً على الصبر ديالك بينما نتحققو من الشحنة	Thank you for your patience while we investigate shipment
شكراً بزاف	thank you so much
شكرًا بزاف	thank you very much
شكرًًا	thanks
شكرًا على الاستخدام ديالك للتطبيق ديالنا	Thanks for using our app
لي	that
هذا	that is
هادشي مزيان	that's good
الـ	the
سرقة	theft
ديالهم	their
هوما	them
موضوع	theme
راسهم	themselves
موراها	then
من بعد	then
نظرية	theory
كاين	there
تماك	there
كاين	there are
كاين	there is
عليها	therefore
هادي	these
هوما	they
هوما	they are
غليظ	thick
شفار	thief
فخضة	thigh
رقيق	thin
رهيف	thin
حاجة	thing
حاجات	things
فكّر	think
تالت	third
فيه العطش	thirsty
طلطاش	thirteen
ثلاثين	thirty
هذا	this
هذا	this is
شامل	thorough
دقيق	thorough
بعناية	thoroughly
هادو	those
ولكن	though
وخا	though
فكرة	thought
مراعي	thoughtful
مدروس	thoughtful
أفكار	thoughts
ألف	thousand
خيط	thread
تهديد	threat
هدد	threat
هدد	threaten
تلاتة	three
عتبة	threshold
فرحان بزاف	thrilled
ازدهر	thrive
نجح	thrive
حلق	throat
فوسط	through
بـ	through
طول	throughout
سيب	throw
رمى	throw
إبهام	thumb
رعد	thunder
الخميس	Thursday
وفالتالي	thus
ومن بعد	thus
دير علامة	tick
قراد	tick
موجة	tide
اتجاه	tide
منظم	tidy
نقي	tidy
غرباطة	tie
ربط	tie
نمر	tiger
مزيّر	tight
ضيق	tight
التغرينية	Tigrinya
وقت	time
حشومي	timid
صغير	tiny
نصيحة	tip
بقشيش	tip
نصائح	tips
رويدة	tire
عيا	tire
عيّان	tired
مهلوك	tired
منديل	tissue
درة	tissue
عنوان	title
اسم	title
حتى	to
باش	to
يكون	to be
خبز محمص	toast
ليوما	today
ترابي	toddler
خلوق	toddler
صباع الرجلين	toes
مجموعين	together
طواليط	toilet
قال	told
تسامح	tolerance
تسامح	tolerate
ماطيشة	tomato
غدًا	tomorrow
لسان	tongue
هاد ليلة	tonight
حتى	too
بزاف	too
خدا	took
أداة	tool
أدوات	tools
ضرس	tooth
سن	tooth
فوق	top
قمة	top
موضوع	topic
مقطع	torn
عذاب	torture
مجموع	total
حادى	touch
قوي	tough
قاصح	tough
صعيب	tough
جولة	tour
دورة	tour
لـ	toward
مع	towards
فوطة	towel
مدينة	town
سام	toxic
تعقّب	trace
تبّع	track
مسار	track
تبادل	trade
تجارة	trade
تقليد	tradition
تقليدي	traditional
طرافيك	traffic
أثر	trail
مسار	trail
تدرب	train
تران	train
تدريب	training
سمة	trait
سمات	traits
يحول	transfer
انتقال	transition
ترجم	translate
شفاف	transparent
تنقل	transport
نقل	transportation
مصيدة	trap
فخ	trap
قمامة	trash
صدمة	trauma
سافر	travel
صينية	tray
كنز	treasure
تعامل	treat
علاج	treat
كادو	treat
علاج	treatment
شجرة	tree
هائل	tremendous
اتجاه	trend
محاكمة	trial
لعيبة	trick
حيلة	trick
جرب	tried
حفّز	trigger
ثار	trigger
قطع	trim
رحلة	trip
مشكلة	trouble
حصلة	trouble
سروال	trousers
شاحنة	truck
صحيح	true
كوفر	trunk
جذع	trunk
ثقة	trust
حقيقة	truth
جرّب	try
تجربة	try
لغة تسونجا	Tsonga
أنبوب	tube
التلات	Tuesday
تدريس	tuition
بيبي	turkey
خرقوم	turmeric
دار	turn
رجع	turn
سلحفاة	turtle
أستاذ خاص	tutor
طناش	twelve
عشرين	twenty
واحد وعشرين	twenty-one
لغة توي	Twi
جوج مرات	twice
تلوّى	twist
تطوّر	twist
جوج	two
نوع	type
مثالي	typical
خايب	ugly
نهائي	ultimate
مظلّة	umbrella
مقادرش	unable
عم	uncle
خال	uncle
فاقد الوعي	unconscious
قل من	under
تحت	under
تحت	underneath
تيستخفو بيه	underrated
فهم	understand
فهم	understood
مع الأسف	unfortunately
خسارة	unfortunately
بدلة	uniform
فريد	unique
وحدة	unit
جامعة	university
ممعروفش	unknown
غير إذا	unless
حتى	until
ماشي عادي	unusual
فوق	up
حتال	up
شوف نتا	up to you
تحديث	update
تحديث	upgrade
منين	upon
على	upon
حزين	upset
مقلق	upset
حضري	urban
حثّ	urge
رغبة	urge
طارئ	urgent
حنا	us
خدّم	use
مستعمل	used
مفيد	useful
بلا فايدة	useless
اعتيادي	usual
عادي	usual
عادةً	usually
غالباً	usually
مرفق	utility
إجازة	vacation
تلقيح	vaccination
لقاح	vaccine
مكنسة كهربائية	vacuum
فراغ	vacuum
مبهم	vague
صالح	valid
وادي	valley
قيّم	valuable
قيمة	value
مجموعة	variety
بزاف	variety
بزاف ديال	various
متنوع	various
اختلف	vary
فاز	vase
واسع	vast
خضرة	vegetable
خضرة	vegetables
مركبة	vehicle
طوموبيل	vehicle
مورّد	vendor
بياع	vendor
سم	venom
مغامرة	venture
بلاصة	venue
تأكيد	verify
متعدد الإستعمالات	versatile
إصدار	version
عمودي	vertical
بزاف	very
مزيان بزاف	very good
وعاء دموي	vessel
كسرولة	vessel
بـ	via
جو	vibe
شعور	vibe
مشاعر	vibes
أجواء	vibes
خبيث	vicious
ضحية	victim
فيديو	video
شوف	view
منظر	view
قرية	village
وغد	villain
خل	vinegar
عتيق	vintage
عنف	violence
عنيف	violent
منتشر	viral
عذراء	virgin
افتراضي	virtual
فضيلة	virtue
رؤية	vision
زيارة	visit
زار	visit
بصري	visual
حيوي	vital
ضروري	vital
حي	vivid
مفردات	vocabulary
صوت	voice
فراغ	void
صوت	volume
حجم	volume
متطوع	volunteer
تفيا	vomit
ضعيف	vulnerable
أجر	wage
أجور	wages
خصر	waist
نصّ	waist
تسنا	wait
جارسون	waiter
فالانتظار	waiting
فايق	wake
نوض	wake up
فيق	wake up
مشا	walk
تمشى	walking
حيّط	wall
محفظة	wallet
تجول	wander
بغا	wanna
بغا	want
خاصو	want
مطلوب	wanted
حرب	war
ماريو	wardrobe
مستودع	warehouse
خزين	warehouse
دافي	warm
تحذير	warn
تحذير	warning
محارب	warrior
كان	was
غسل	wash
زبل	waste
فسد	waste
ضيع	waste
تفرج	watch
ساعة	watch
لما	water
دلاح	watermelon
موجة	wave
شيّر	wave
طريقة	way
طريق	way
حنا	we
حنا	we are
نقدرو	we can
ضعيف	weak
ضعف	weakness
ثروة	wealth
غني	wealthy
لبس	wear
قدام	wear
لابس	wearing
الطقس	weather
الجو	weather
عرس	wedding
لرباع	Wednesday
حشيش	weed
سيمانة	week
سيمانة	weekend
وزن	weight
غريب	weird
أهلاً وسهلاً	welcome
مرحباً	welcome
رفاهية	welfare
مزيان	Well
إيوا	Well
برافو	well done
مشاعر	went
كان	were
الغرب	west
فازك	wet
حوت	whale
شنو	what
ونتا	what about you
آش كدّير	what are you doing
آش كدّير دبا	what are you doing now
آش تدير دبا	what are you doing right now
آش كتدير	what do you do
فاش خدام	what do you do for a living
شنو تتقصد	what do you mean
شنو بغيتي	what do you want
شنو وقع	what happened
شنو هو	what is
شنو هذا؟	what is this
فاش خدام	what is your job
شنو سميتك	what is your name
كي داير	what's up
شنو سميتك	what's your name
لي كان	whatever
قمح	wheat
رويدة	wheel
منين	when
فوقاش	when
وقتما	whenever
فين	where
فينك	where are you
منين نتا	where are you from
فين راك دبا	where are you now
فين تتعيش؟	where do you live
فيم	where is
فالوقت لي	whereas
إما	whether
لي	which
آشمن	which
ملي	while
همس	whisper
صفّر	whistle
بيض	white
شكون	who
شكون نتا	who are you
شكون هو	who is
شكون هذا	who is this
كامل	whole
كلو	whole
لي	whom
لي	whose
علاش	why
علاش لا	why not
شرير	wicked
عريض	wide
أرملة	widow
عرض	width
زوجة	wife
بري	wild
غادي	will
مستعد	willing
ربح	win
رباح	win
ريح	wind
شرجم	window
ريح	windy
النبيذ	wine
شتاء	winter
مسح	wipe
سلك	wire
حكمة	wisdom
حكيم	wise
ذكي	wise
تمنى	wish
أمنية	wish
كنتمنى ليك كل ما هو احسن	wish you all the best
مشعوذة	witch
سحارة	witch
مع	with
سحب	withdraw
انسحاب	withdrawal
سحب	withdrawal
فـ	within
فوسط	within
بلا	without
شاهد	witness
بارع	witty
ظريف	witty
ديب	wolf
مرا	woman
نسا	women
ربح	won
كسب	won
مغاديش	won't
عجب	wonder
تسائل	wonder
واعر	wonderful
خشب	wood
صوف	wool
كلمة	word
كلمات	words
خدم	work
خدمة	work
تريني	work out
نجح	work out
خدام	working
عالم	world
دودة	worm
بالية	worn
مقلق	worried
قلق	worry
أسوأ	worse
عبد	worship
أسوء	worst
يستاهل	worth
تيسوى	worth
يستحق	worth it
عندو قيمة	worthy
كان	would
جرح	wound
واو	Wow
وخا عليك	Wow
غلاف	wrap
عصب	wrath
معصم	wrist
كتب	write
كتب هنا	Write here
كتابة	writing
مكتوب	written
غلط	wrong
كتب	wrote
ساحة	yard
جردة	yard
تفوه	yawn
آه	Yeah
العام	year
سنين	years
خميرة	yeast
غوت	yell
صفر	yellow
آه	Yes
آه احبيبة	yes baby
آه أحبيبا	yes dear
آه أحبيبا	yes honey
آه أحبيبا	yes my love
آه طبعا	yes of course
لبارح	yesterday
ما ازال	yet
ولكن	yet
محصول	yield
نتا	you
نتا	you are
نتي زوينة	you are beautiful
نتي زوينة بزاف	you are so beautiful
العفو	you are welcome
لا شكراً على واحب	you are welcome
مرحبا	you are welcome
تقدر	you can
انت عارف	You know
حتى نتا	you too
لا شكراً على واجب	you're welcome
العفو	you're welcome
مرحبا	you're welcome
صغير	young
شاب	young
ديالك	your
لا شكراً على واجب	your welcome
العفو	your welcome
مرحبا	your welcome
راسك	yourself
شباب	youth
لا شكراً على واجب	you’re welcome
العفو	you’re welcome
مرحبا	you’re welcome
شهي	yummy
زيرو	zero
