trocha	a little
miyło	nice
fajnie cie poznać	nice to meet you
siostrzynica	niece
bratanica	niece
noc	night
jankuryjo	nightmare
dziewiyńć	nine
dziewiytnoście	nineteen
dziewiyńćdziesiōnt	ninety
Niy	No
niy ma problymu	no problem
bez problymu	no problem
niy ma mowy	no way
żodyn	nobody
larmo	noise
larmiyrski	noisy
żodyn	none
połednie	noon
niy	nope
ani	nor
normalny	normal
pōłnoc	north
nos	nose
nostalgiczny	nostalgic
niy	not
cołkym niy	not at all
niy ma źle	not bad
Niy teroz	Not now
jeszcze niy	not yet
zopiska	note
ôdnotowany	noted
nic	nothing
roznajmiynie	notice
dojzdrzany	noticed
rzeczownik	noun
rzeczowniki	nouns
rōman	novel
listopod	november
terozki	now
teroz	now
teroźnie	nowadays
niydogodność	nuisance
nul	null
ôdryntwiały	numb
numer	number
liczba	number
flyjgerka	nurse
ôrzech	nut
muszkat	nutmeg
ôdżywianie	nutrition
przisiynga	oath
rubość	obesity
przestrzegać	obey
suchać	obey
ôbiekt	object
cyl	objective
ôbowiōnzek	obligation
niyklarowny	obscure
ôbserwacyjo	observation
fajrować	observe
ôbserwować	observe
zafiksowany	obsessed
ôbsesyjo	obsession
zastarzały	obsolete
zawada	obstacle
dostać	obtain
dostany	obtained
ôczywisty	obvious
snadnōm rzeczōm	obviously
toć	obviously
roz za kedy	occasionally
zajyńcie	occupation
fach	occupation
zajynty	occupied
trefiać sie	occur
zdrarzać sie	occur
wystōmpiyła	occurred
wystympuje	occurs
ôcean	ocean
paździyrnik	october
niyporzisty	odd
dziwny	odd
szanse	odds
ôd	of
z	of
toć	of course
wyłōnczōny	off
ôfensywa	offensive
propōnować	offer
ôferta	offer
zapropōnować	offer
biōro	office
byamter	official
czynsto	often
Och	Oh
doprowdy	oh really
ôlyj	oil
ok	ok
dobrze, dziubku	ok dear
dobrze, dziubku	ok honey
okej, serce	ok my love
okej	okay
dobrze, dziubku	okay baby
okej, dziubek	okay dear
dobre, dziubek	okay honey
dobre, dziubek	okay my love
stary	old
na	on
roz	once
kedyś	once
jedyn	one
roz	one
jedyn jynzyk nigdy niy styko	one language is never enough
cebula	onion
cebulowy	onion
onlajn	online
ino	only
ôtwarty	open
ôtwiyrać	open
ôperacyjo	operation
ôpinijo	opinion
możliwości	opportunities
możliwość	opportunity
przileżytość	opportunity
ôpaczny	opposite
naprzeciwko	opposite
na ôpy	opposite
ôptymistyczny	optimistic
ôpcyjo	option
ôpcyjōnalny	optional
abo	or
apluzina	orange
porzōndek	order
rozkoz	order
rozkazować	order
zwykły	ordinary
ôrganizacyjo	organization
ôriyntacyjo	orientation
pochodzynie	origin
ôryginalny	original
Oromo	Oromo
siyrota	orphan
inkszy	other
w inkszym razie	otherwise
w przeciwnym razie	otherwise
winiyn	ought
nasz	our
Naszo misyjo: dozwolić wszyjskim i wszyndy zrozumiynie świata i wyrażanie siebie w roztōmajtych jynzykach.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Naszo misyjo: poskludzać światowe informacyje i uczynić jy wszeôbecnie przistympnymi i przidajnymi.	Our mission: to organize the world's information and make it universally accessible and useful.
zewnōntrz	out
aus	out
wynik	outcome
ôblyczynie	outfit
szaty	outfit
kamracki	outgoing
ustympujōncy	outgoing
wylot	outlet
rys	outline
zewnōntrz	outside
doskōnały	outstanding
zaległy	outstanding
piec	oven
bez	over
tam	over there
ôgōlnie	overall
cołkym	overall
pokōnać	overcome
myślynie za wiela	overthinking
zbamōncōny	overwhelmed
zasuty	overwhelmed
prziciśniynty	overwhelming
zasuty	overwhelming
być winnym	owe
zawdziynczać	owe
sowa	owl
posiadać	own
włosny	own
posiedziciel	owner
wōł	ox
tympo	pace
paket	pack
paket	package
płatny	paid
bōl	pain
malować	paint
farba	paint
ôbroz	painting
pora	pair
blady	pale
palma	palm
kastrol	pan
pandymijo	pandemic
panika	panic
galoty	pants
batki	pants
spodnioki	pants
papiōr	paper
raj	paradise
rōwnolygły	parallel
paket	parcel
ułaskawiynie	pardon
ôjcowie	parents
parkować	park
park	park
papagaj	parrot
petersyla	parsley
czyńść	part
tajla	part
brać udzioł	participate
ôsobliwy	particular
ôsobliwie	particularly
partnyr	partner
fajer	party
partyjo	party
mijać	pass
przechodzić	pass
przepustka	pass
przejście	passage
przeszoł	passed
spodobanie	passion
pasyjo	passion
namiyntny	passionate
pasywny	passive
hasło	password
parola	password
przeszły	past
przeszłość	past
kōncek	patch
ściyżka	path
żałosny	pathetic
ciyrpliwość	patience
pacjynt	patient
ciyrpliwy	patient
muster	pattern
pauza	pause
tretuar	pavement
traktamynt	pay
płacić	pay
płat	payment
pokōj	peace
spokojny	peaceful
bruskwina	peach
wiyrch	peak
gruszka	pear
groch	peas
ôsobliwy	peculiar
indywidualny	peculiar
dziwny	peculiar
sikać	pee
szkrobać	peel
rōwny	peer
dziwać sie	peer
rōwniok	peer
rōwnieśniki	peers
filok	pen
blajsztyft	pencil
aże do	pending
ludzie	people
pfeffer	pepper
korzynie	pepper
postrzygać	perceive
doziyrać	perceive
percepcyjo	perception
perfekcyjny	perfect
wyborny	perfect
dokōnować	perform
wykōnować	perform
wydajność	performance
możno	perhaps
ôkres	period
kropka	period
czas	period
permanyntny	permanent
stały	permanent
zwōlo	permission
zwōla	permit
wytrwałość	perseverance
wytwały	persistent
ôsoba	person
ôsobisty	personal
karakter	personality
natura	personality
perspektywa	perspective
namowiać	persuade
namōwić	persuade
frechowny	pervert
pieścić	pet
dōmowe zwiyrza	pet
faza	phase
zjawisko	phenomenon
filozofijo	philosophy
telefōn	phone
zdjyńcie	photo
fotografijo	photo
wyrażynie	phrase
fizyczny	physical
ôbiyrać	pick
podniyś	pick up
ôdebrać	pick up
ôbroz	picture
kōncek	piece
kōncki	pieces
świnia	pig
gołōmb	pigeon
sztapel	pile
zogōwek	pillow
pilot	pilot
szpyndlik	pin
ananas	pineapple
rōżowy	pink
spodek	pit
tōn	pitch
ciepać	pitch
szpilplac	pitch
litość	pity
szkoda	pity
miyjsce	place
plac	place
place	places
plaga	plague
klarowny	plain
ajnfachowy	plain
rōwnina	plain
planować	plan
plan	plan
fliger	plane
płaszczyzna	plane
roślina	plant
werk	plant
sadzić	plant
rośliny	plants
plata	plate
talyrz	plate
platforma	platform
grać	play
szpilać	play
puszczać	play
szpil	playing
przijymny	pleasant
dogodzać	please
prosza	please
proszymy	please
kōntynt	pleased
przijymność	pleasure
uciecha	pleasure
przirzeczynie	pledge
przirzekać	pledge
za tyla	plenty
mocka	plenty
fabuła	plot
knuć	plot
szteker	plug
śliwka	plum
hydraulik	plumber
mnogie	plural
podcast	podcast
suchowisko	podcast
wiersz	poem
poezyjo	poetry
skazować	point
cwek	point
pōnkt	point
zatruć	poison
policyjo	police
polityka	policy
uprzyjmy	polite
zniyczyszczynie	pollution
stow	pond
basyn	pool
kupa	poop
biydny	poor
muzyka pop	pop
popularny	popular
ludność	population
świnina	pork
hawerfloki	porridge
port	port
pozycyjo	position
pozytywny	positive
posiadać	possess
posiadanie	possession
zazdrosny	possessive
możliwy	possible
post	post
sztela	post
poczta	post
ôdłożyć	postpone
kartofel	potato
potyncjoł	potential
fōnt	pound
biyda	poverty
ynergijo	power
moc	power
władza	power
potynżny	powerful
praktyczny	practical
praktyka	practice
ćwiczyć	practice
chwolić	praise
chwolba	praise
wybryk	prank
rzykać	pray
cynny	precious
precyzyjny	precise
akuratnie	precisely
przewidować	predict
woleć	prefer
preferencyjo	preference
w ciōnży	pregnant
uprzedzynie	prejudice
lokal	premises
prymijo	premium
premium	premium
narychtowanie	preparation
rychtować	prepare
narychtowany	prepared
przijimek	preposition
ôbecność	presence
teroźny	present
prezyntacyjo	presentation
utrzimować	preserve
prezydynt	president
biglować	press
naciskać	press
ciśniynie	pressure
udować	pretend
fajny	pretty
zapobiegać	prevent
piyrwyjszy	previous
zdobycz	prey
ôfiara	prey
cyna	price
parada	pride
kapelōn	priest
bazowy	primary
głowny	prime
princesa	princess
głowny	principal
przeōr	prior
piyrwyjszy	prior
priorytet	priority
hereszt	prison
wiynziynie	prison
prywatność	privacy
gymajner	private
prywatny	private
prziwilej	privilege
nadgroda	prize
prowdopodobnie	probably
nojpewnij	probably
problym	problem
procedura	procedure
postympować	proceed
proces	process
produkować	produce
produkt	product
produkcyjo	production
fach	profession
fachmōn	professional
profesjōnalny	professional
profil	profile
profit	profit
głymboki	profound
postymp	progress
projekt	project
znaczōncy	prominent
ôbiycka	promise
ôbiycować	promise
prōmować	promote
sztajgniyńcie	promotion
podpowiydź	prompt
niyzawodny	prompt
skłōnny	prone
na brzuchu	prone
zajimki	pronouns
wymōwianie	pronunciation
dowōd	proof
noleżyty	proper
ôdpednio	properly
statek	properties
statek	property
propozycyjo	proposal
perspektywa	prospect
dobrobyt	prosperity
dostatni	prosperous
chrōnić	protect
paradny	proud
dokozać	prove
dokazować	prove
zapewniać	provide
zapewnić	provide
dostarczōny	provided
prowincyjo	province
zaôpatrzynie	provision
dojzdrzywanie	puberty
publiczny	public
ciōngnōńć	pull
bania	pumpkin
punktualny	punctual
szkolorz	pupil
uczyń	pupil
sprowōnek	purchase
snożny	pure
czysty	pure
purpurowy	purple
cyl	purpose
tasza	purse
taśka	purse
portmanyj	purse
dōnżyć	pursue
ścigać	pursue
porać sie	pursue
pościg	pursuit
ciś	push
naciskać	push
wrazić	put
wrażać	put
kwalifikacyjo	qualification
jakość	quality
wielość	quantity
liczba	quantity
kwarantanna	quarantine
wadzić sie	quarrel
haja	quarrel
sztwierć godziny	quarter
sztwierć roku	quarter
sztwierć	quarter
Keczua	Quechua
krōlowo	queen
queer	queer
spytanie	query
pytać	question
pytanie	question
raja	queue
drabki	quick
wartki	quick
gibki	quick
drabko	quickly
gibko	quickly
wartko	quickly
cichy	quiet
sztepdeka	quilt
przestować	quit
przestać	quit
zrezygnować	quit
blank	quite
cołkym	quite
quiz	quiz
cytata	quotation
cytować	quote
cytata	quote
cytaty	quotes
krōlik	rabbit
mycok	rabbit
rasa	race
wyścig	race
szaleć	rage
ściykłość	rage
podać	rain
dyszcz	rain
dźwignōńć	raise
podwyżka	raise
dźwigać	raise
dźwigniynty	raised
lecioł	ran
lōsowy	random
zakres	range
drapki	rapid
wartki	rapid
gibki	rapid
drapko	rapidly
gibko	rapidly
wartko	rapidly
rzodki	rare
rzodko	rarely
wysypka	rash
szczur	rat
ôcyniać	rate
skaźnik	rate
radszyj	rather
stosōnek	ratio
racjōnalny	rational
surowy	raw
ôdp	re
siōngać	reach
zasiyng	reach
ôsiōngniynty	reached
reakcyjo	reaction
czytać	read
czytanie	reading
ôdczyt	reading
gotowy	ready
prawy	real
autyntyczny	real
rzeczywistość	reality
realizować	realize
ryalizowany	realized
doprowdy	really
naprowda	really
richtich	really
zadek	rear
argumyntować	reason
powōd	reason
rozum	reason
usōndny	reasonable
spōmniynie	recall
paragōn	receipt
dostować	receive
dostoł	received
dostany	received
niydowny	recent
niydowno	recently
przijyńcie	reception
recept	recipe
lekomyślny	reckless
uznanie	recognition
poznanie	recognition
poznować	recognize
poznać	recognize
rekōmandować	recommend
zalycany	recommended
nagrować	record
ôdzyskować	recover
powrōt do zdrowio	recovery
naprawa	recovery
wydobrzynie	recovery
prostokōnt	rectangle
czerwōny	red
czerwiyń	red
ôdkupować	redeem
ôdbiyrać	redeem
ôdkupiynie	redemption
redukować	reduce
podarymny	redundant
ôdnosić sie	refer
spōminać	refer
ôdniesiynie	reference
ôdbijać	reflect
ôdbicie	reflection
unikać	refrain
refren	refrain
lodōwka	refrigerator
refundacyjo	refund
ôdkozać	refuse
ôdkazować	refuse
ôdciepniynty	refused
zglōnd	regard
we sprawie	regarding
niyzależnie	regardless
zōwizō	regardless
pozdrowiynia	regards
regiōn	region
registrować	register
regest	register
żol	regret
żałować	regret
regularny	regular
regularnie	regularly
ôdciepnōńć	reject
ôdciepować	reject
ôpowiadać	relate
powiōnzać	relate
powiōnzany	related
relacyjo	relationship
zglyndny	relative
przociel	relative
krewni	relatives
ôdpoczywać	relax
zwolniynie	release
wydany	released
puszczōny	released
ôdpedni	relevant
niyzawodny	reliable
ulga	relief
uśmiyrzać	relieve
ôdciōnżōny	relieved
religijo	religion
religijny	religious
niychyntny	reluctant
polygać	rely
przekazować	rely
ôstać	remain
ôstały	remaining
niyôbyczajny	remarkable
niyzwykły	remarkable
rozwiōnzanie	remedy
pamiyntać	remember
spōmnieć	remind
spōmniynie	reminder
ôstatek	reminder
daleki	remote
zdalny	remote
usunōńć	remove
wyciepnōńć	remove
wychrōnić	remove
rynderowanie	render
nojym	rent
sprawōnek	repair
powtorzać	repeat
zastympować	replace
ôdpowiydź	reply
ôdpadać	reply
report	report
reportować	report
protokōł	report
reprezyntować	represent
reputacyjo	reputation
żōndanie	request
prośba	request
wymogać	require
wymogany	required
retōnek	rescue
podszukowanie	research
spōminać	resemble
zgorszynie	resentment
rezerwacyjo	reservation
forant	reserve
rezerwa	reserve
rezydynt	resident
rezygnować	resign
ôdporność	resilience
ôdporny	resilient
przeciwić sie	resist
ôpōr	resistance
rezolucyjo	resolution
usōndzać	resolve
Ôstrzodek wczasowy	resort
zasoby	resources
reszpekt	respect
reagować	respond
ôdpowiydź	response
zapowiedzialność	responsibility
zapowiedzialny	responsible
rest	rest
ôdpoczywać	rest
ôdpoczynek	rest
spoczywej w pokoju	rest in peace
restauracyjo	restaurant
prziwrōcić	restore
ôgraniczać	restrict
wynik	result
wyniki	results
wznowić	resume
wznowiać	resume
detaliczny przedej	retail
zachować	retain
retyncyjo	retention
zatrzimanie	retention
na pynzyji	retired
wycofać sie	retreat
ôdzyskować	retrieve
ôdzyskać	retrieve
powrōt	return
wrocać	return
ôddować	return
pokozać	reveal
zdradzić	reveal
wyzdradziōł	revealed
pōmsta	revenge
przichōd	revenue
ôdwrocać	reverse
recynzyjo	review
rewidować	revise
korygować	revise
poprawiać	revise
rewizyjo	revision
rewolucyjo	revolution
nadgrodzać	reward
nadgroda	reward
rytm	rhythm
ziebro	rib
ryż	rice
bogaty	rich
pozbywać	rid
jeździć	ride
śmiyszny	ridiculous
prowda	right
prawy	right
prawo	right
już teroz	right now
sztajfny	rigid
zwōnićl ring	ring
piestrzyń	ring
płōkanie	rinse
płōkać	rinse
zamiyszki	riot
zburzki	riot
rozrywać	rip
rozerwać	rip
dojzdrzały	ripe
wzrostać	rise
stować	rise
ryzyko	risk
rywalizować	rival
rzyka	river
drōga	road
sztreka	road
piyc	roast
akuratny	robust
berga	rock
chwioć	rock
prynt	rod
rola	role
rolka	roll
dach	roof
izba	room
zdrzōdło	root
korzyń	root
sznōra	rope
lina	rope
zgnity	rotten
chroplawy	rough
mynij wiyncyj	roughly
runda	round
ôkrōngły	round
sztreka	route
rutyna	routine
wiosłować	row
raja	row
trzić	rub
gōmin	rubber
abfale	rubbish
hasie	rubbish
rozwieziōny	rude
zbestwiōny	rude
tepich	rug
rujina	ruin
rujnować	ruin
prawidło	rule
władca	ruler
lynijorz	ruler
prawidła	rules
lotać	run
biyg	run
lecieć	run
fungowanie	running
lotanie	running
wiejski	rural
uwijaczka	rush
szwōng	rush
zimnica	rush
bojtel	sack
miech	sack
poświyncōny	sacred
ôfiarować	sacrifice
poświyncynie	sacrifice
poświyncać	sacrifice
bezpieczny	safe
bezpieczny flug	safe flight
bezpieczyństwo	safety
szałwijo	sage
pedzioł	said
zyjglować	sail
zyjgel	sail
zeglarstwo	sailing
zglōnd	sake
geltak	salary
przedej	sale
łosoś	salmon
sōl	salt
to samo	same
tyn sōm	same
taki sōm	same
Tak samo tukej	Same here
prōbka	sample
piosek	sand
Sanskryt	Sanskrit
sarkastyczny	sarcastic
wygodany	sassy
dopolōny	sassy
pyskaty	sassy
siedzioł	sat
siednōł	sat
ukōntyntowanie	satisfaction
kōntynt	satisfied
zadowolōny	satisfied
usatysfakcjōnować	satisfy
dogadzajōncy	satisfying
sobota	Saturday
wuszt	sausage
dziki	savage
dzik	savage
dzikus	savage
spamiyntować	save
szporować	save
retować	save
piyła	saw
godać	say
prawić	say
skala	scale
szulyrstwo	scam
szrama	scar
deficytowy	scarce
przestraszōny	scared
szal	scarf
ôkropiczny	scary
rozsiany	scattered
scyna	scene
scyneryjo	scenery
wōń	scent
harmōnogram	schedule
szkoła	school
nauka	science
wyuczōny	scientist
uczōne	scientists
wyuczyni	scientists
nożyce	scissors
nożyczki	scissors
ôbrzyczeć	scold
naryczeć	scold
zakres	scope
wynik	score
ajza	scrap
zadropanie	scratch
szkrobać	scratch
krzik	scream
ekran	screen
smolić	screw
szrōba	screw
scynariusz	script
morze	sea
sztympel	seal
foka	seal
szukej	search
pora roku	season
sezōn	season
zic	seat
siydziba	seat
sekunda	second
drugi	second
sekret	secret
dzioł	section
sekcyjo	section
zabezpieczać	secure
bezpieczny	secure
bezpieczyństwo	security
widzieć	see
chow sie	see you
miyj sie	see you
do zoboczynio niyskorzij	see you later
do zoboczynio hned	see you soon
do jutra	see you tomorrow
nasiōnko	seed
szukać	seek
wydować sie	seem
wydowo sie	seems
widziany	seen
zajōnć	seize
chycić	seize
sekucyjo	seizure
napad	seizure
rzodko	seldom
ôbiyrać	select
siebie	self
samolyczynie	self healing
samolubny	selfish
przedać	sell
przedować	sell
wysyłać	send
poślij mi swoje zdjyńcie	send me your picture
syniōr	senior
zmysł	sense
czuć	sense
syns	sense
rozsōndny	sensible
czuły	sensitive
delikatny	sensitive
posłany	sent
zdanie	sentence
zdania	sentences
ôsobny	separate
rozdzielać	separate
Sepedi	Sepedi
wrzesiyń	september
sekwyncyjo	sequence
porzōndek	sequence
seryjo	series
poważny	serious
poważnie	seriously
sużyć	serve
podować	serve
podać	serve
nobożyństwo	service
zerwis	service
usuga	service
sesyjo	session
sztalować	set
kōmplet	set
nasztalowany	set
ustawiać	set up
ustawiynie	setting
usōndzić	settle
siedym	seven
siedymnoście	seventeen
siedymdziesiōnt	seventy
pora	several
dotkliwy	severe
poważny	severe
surowy	severe
szyć	sew
cii	sh
ciyń	shade
ciyń	shadow
potrzōnsnōńć	shake
powiniyn	shall
płytki	shallow
gańba	shame
kształt	shape
udzioł	share
dzielić	share
ôstry	sharp
ôna	she
ôna mo	she has
ôna je	she is
szopa	shed
ôwca	sheep
archa	sheet
pōłka	shelf
powłōka	shell
schrōniynie	shelter
ôsłōna	shield
szychta	shift
pōmiana	shift
świycić	shine
szif	ship
liferōng	shipping
hymda	shirt
strzewiki	shoes
strzylać	shoot
sklep	shop
sprowōnki	shopping
wybżerze	shore
krōtki	short
niydostatek	shortage
szus	shot
winiyn	should
ramia	shoulder
ryczeć	shout
krziczeć	shout
pokazować	show
program	show
serial	show
pokoż mi	show me
dusz	shower
dyszcz	shower
brauza	shower
krewetka	shrimp
zmyńszać sie	shrink
zestōmpiać sie	shrink
zawrzić	shut
trzimać pysk	shut up
gańbiaty	shy
rodzyństwo	sibling
rodzyństwo	siblings
chory	sick
niymocny	sick
strōna	side
westchniyncie	sigh
wzrok	sight
doziyrać	sight
zwiydzanie	sightseeing
podpisać	sign
znak	sign
podpisować	sign
podpis	signature
znaczōncy	significant
cisza	silence
cichy	silent
Ślōnski	Silesian
jedbow	silk
niymōndry	silly
strzybro	silver
podobny	similar
ciupa	simp
ajnfachowy	simple
we tym samym czasie	simultaneously
ôd	since
skoro	since
szczyry	sincere
szczyrze	sincerely
śpiywać	sing
śpiywok	singer
singel	single
pojedynczy	single
ausgus	sink
Pōn	Sir
siostra	sister
szwigra	sister in law
siedzieć	sit
miyjsce	site
sytuacyjo	situation
szejś	six
szesnoście	sixteen
sześdziesiōnt	sixty
miara	size
srogość	size
kōnszt	skill
kōnszty	skills
skōra	skin
płōny	skinny
podskakować	skip
pōminōńć	skip
skok	skip
kecka	skirt
niebo	sky
niywolnik	slave
spać	sleep
śpik	sleep
spanie	sleeping
synny	sleepy
rynkow	sleeve
kōncek	slice
kraiczek	slice
slajd	slide
sjechać	slide
sjyżdżać	slide
kapka	slightly
leko	slightly
szczupły	slim
ômōłka	slip
ukiołzdniyńcie	slip
karteczka	slip
nachylynie	slope
ôtwōr	slot
powolny	slow
poleku	slowly
mały	small
mōndry	smart
wōniać	smell
wōń	smell
uśmiychać sie	smile
uśmiych	smile
polić	smoke
gładki	smooth
przekōnska	snack
maszket	snack
ślimok	snail
szneka	snail
szlauch	snake
wōnż	snake
trzask	snap
łōmać	snap
śniyg	snow
tōż	so
tak	so
taki słodki	so cute
dotynczos	so far
moczyć	soak
mydło	soap
trzyźwy	sober
fuzbal	soccer
społeczny	social
towarzistwo	society
społeczyństwo	society
fuzekle	socks
zoki	socks
miynki	soft
ôprogramowanie	software
gleba	soil
przedany	sold
wyprzedane	sold out
wojok	soldier
zola	sole
solidny	solid
stały	solid
rozwiōnzanie	solution
rozwiōnzować	solve
trocha	some
jakiś	some
ftoś	somebody
jakosi	somehow
ftoś	someone
coś	something
cosik	something
niyroz	sometimes
czasami	sometimes
czasym	sometimes
śpiywka	song
hned	soon
wyrafinowany	sophisticated
Sorani	Sorani
rana	sore
ôbolały	sore
bolōnce garło	sore throat
żol	sorrow
Przeproszōm	Sorry
Wybocz	Sorry
zorta	sort
zortować	sort
poszukowany	sought
soul	soul
dusza	soul
duch	soul
bratnio dusza	soulmate
klang	sound
źwiynk	sound
zupa	soup
kwaśny	sour
zdrzōdło	source
połednie	south
kosmos	space
przestrzyństwo	space
plac	space
niychciano korespōndyncyjo	spam
spam	spam
zakres	span
hiszpański	Spanish
uszporować	spare
na ibrich	spare
ibryczny	spare
godać	speak
prawić	speak
ekstra	special
gatōnek	species
kōnkretny	specific
spektakl	spectacular
spektakularny	spectacular
przemōwiynie	speech
ôniymiały	speechless
wartkość	speed
literować	spell
zaklyńcie	spell
spyndzać	spend
wydować	spend
spotrzebowany	spent
pikantny	spicy
sztachel	spike
ôbrōt	spin
kryńcić	spin
szpinat	spinach
duch	spirit
pluć	spit
perfekt	splendid
dzielić	split
podzielić	split
wziōntek	spoil
zepsuć	spoil
psuć	spoil
rozwiedziōny	spoiled
spōntaniczny	spontaneous
łyżka	spoon
kropka	spot
dojzdrzeć	spot
miyjsce	spot
ślubny	spouse
rozprzestrzyniać sie	spread
wiosna	spring
plac	square
kwadratowy	square
kwadrat	square
ściskać	squeeze
kalmar	squid
wywiōrka	squirrel
św.	st
zasztyletować	stab
masztalnia	stable
sztabilny	stable
sztapel	stack
kryka	staff
sztab	staff
persōnel	staff
faza	stage
scyna	stage
flek	stain
słody	stairs
stowka	stake
sztyngel	stalk
sztand	stall
sztympel	stamp
sztand	stand
stoć	stand
sztynder	stand
sztandard	standard
gwiozda	star
sztartować	start
sztart	start
napoczynty	started
sztartnōł	started
głodujōncy	starving
stōn	state
poświadczynie	statement
sztela	station
dynkmal	statue
status	status
ôstować	stay
ôstać	stay
pobyt	stay
bydź bezpieczny	stay safe
stały	steady
stek	steak
porwać	steal
kraś	steal
para	steam
ôcyl	steel
strōmy	steep
blezeruła	stem
sztyngel	stem
krok	step
tkać	stick
klejić	stick
kij	stick
sztajfny	stiff
durch	still
spokojny	still
cichy	still
żōndło	sting
chamliwy	stingy
miyszać	stir
zamiyszać	stir
skłod	stock
akcyjo	stock
skradziōny	stolen
zachabiōny	stolen
żołōndek	stomach
kamyń	stone
stoł	stood
stolec	stool
stołek	stool
stować	stop
sztopować	stop
magazynowanie	storage
sklep	store
trzimać	store
sztorm	storm
burza	storm
historyjo	story
piec	stove
kuchynka	stove
prosty	straight
prosty	straightforward
szapnować	strain
szpana	strain
dziwny	strange
cudzy	stranger
strategijo	strategy
sōma	straw
podzimka	strawberry
pasmo	streak
strumiyń	stream
sztrasa	street
ulica	street
siyła	strength
sztres	stress
akcynt	stress
podkryślać	stress
rozciōngać	stretch
surowy	strict
trzasnōńć	strike
sztrajkować	strike
sztrajk	strike
struna	string
strunowy	string
seblykać	strip
starać sie	strive
udar	stroke
szlag	stroke
głoskać	stroke
mocny	strong
trzaśniōny	struck
struktura	structure
walczyć	struggle
bōj	struggle
staranie	struggle
zmogajōncy sie	struggling
uparty	stubborn
zaparty	stubborn
wbity	stuck
zaszperowany	stuck
sztudynt	student
szkolorz	student
podszukowanie	study
uczyć sie	study
podszukować	study
uczynie sie	studying
filować	stuff
rzeczy	stuff
zachwycajōncy	stunning
szumny	stunning
gupi	stupid
styl	style
tymat	subject
zgłoszynie	submission
wysyłać	submit
skłodać	submit
wysłać	submit
substancyjo	substance
treść	substance
zastōmpić	substitute
zastympować	substitute
subtelny	subtle
ôdniyś sukces	succeed
sukces	success
powodzynie	success
udany	successful
zwyciynski	successful
taki	such
jak	such as
cyckać	suck
nogły	sudden
naroz	suddenly
ciyrpieć	suffer
ciyrpiynie	suffering
stykajōncy	sufficient
cuker	sugar
sugerować	suggest
dorada	suggestion
pasować	suit
ôblycze	suit
ancug	suit
ôdpedni	suitable
kofer	suitcase
suma	sum
skrōcynie	summary
lato	summer
tref	summit
szczyt	summit
słōńce	sun
niydziela	sunday
słōneczny	sunny
zachōd słōńca	sunset
słōńce	sunshine
super	super
szumnie	super
pyszny	superior
lepszy	superior
kerownik	supervisor
wieczerzo	supper
podaż	supply
liwerować	supply
zaôpatrzynie	supply
podpora	support
sparcie	support
przipuszczać	suppose
przipuszczalny	supposed
zicher	sure
pewny	sure
toć	sure
powiyrchnia	surface
skok	surge
ôperacyjo	surgery
chiyrurgijo	surgery
nazwisko	surname
niyspodzianka	surprise
udziwniōny	surprised
poddać sie	surrender
poddować sie	surrender
ôbtoczajōncy	surrounding
dozōr	surveillance
anketa	survey
przetwać	survive
podyjzdrzywać	suspect
podyjzdrzany	suspect
zawieszōny	suspended
podyjzdrzany	suspicious
podtrzimować	sustain
wyważōny rozrost	sustainability
zrōwnoważōny	sustainable
twały	sustainable
aszynie sie	swag
łup	swag
łykać	swallow
umiyniać	swap
przisiōngać	swear
przeklinać	swear
pot	sweat
pocić sie	sweat
cwiter	sweater
śmiatać	sweep
słodki	sweet
słodkich snōw	sweet dreams
słodke zymby	sweet tooth
serce	sweetheart
serduszko	sweetheart
puchnōnć	swell
brnieć	swell
puchniyncie	swelling
pływać	swim
pływanie	swimming
huśtawka	swing
husśtać sie	swing
zamiyniać	switch
szalter	switch
ôpuchniynty	swollen
miecz	sword
symbol	symbol
spōłczucie	sympathy
ôbjawy	symptoms
systym	system
tabula	table
stōł	table
przibory	tackle
etyketa	tag
ôgōn	tail
brać	take
weznōńć	take
na wynos	take away
chow sie	take care
dować pozōr	take care
dbać	take care
sztartować	take off
seblykać	take off
zajynty	taken
wziynty	taken
ôzprawiać	talk
rozgodany	talkative
kōmunikatywny	talkative
wysoki	tall
tykać	tap
kokotek	tap
banda	tape
cyl	target
zodanie	task
kosztować	taste
smak	taste
smakowity	tasty
nauczōł	taught
uczōny	taught
tyj	tea
uczyć	teach
rechtōr	teacher
manszaft	team
zespōł	team
lza	tear
drzeć	tear
płaczki	tears
berusić	tease
technologijo	technology
zymby	teeth
pedzieć	tell
padać	tell
powiydz mi	tell me
hartować	temper
tymperatura	temperature
świōntynia	temple
tymczasowy	temporary
dziesiyńć	ten
dziesiyńć tysiyncy	ten thousand
najymca	tenant
ôpiekować sie	tend
mieć tyndyncyjo	tend
tyndyncyjo	tendency
czuły	tender
napniynty	tense
szpana	tension
celt	tent
niypewny	tentative
kadyncyjo	term
termin	term
warōnki	terms
ôkropiczny	terrible
żadny	terrible
ôkropiczny	terrific
żadny	terrific
terytorium	territory
test	test
testować	test
tekst	text
jak	than
aniżeli	than
dziynkować	thank
Dziynkuja	thank you
Dziynkujymy za ciyrpliwość w czasie ôbadowanio przesyłki	Thank you for your patience while we investigate shipment
dziynkuja piyknie	thank you so much
dziynkuja piyknie	thank you very much
dziynki	thanks
