abandoned	qimataq
our	uagut perput
out	anivoq
outcome	inernera
outfit	qanoq isikkoqarnera
outgoing	anisussat
outlet	ikkuffik
outline	sinarsuata killinga
outside	silami
outstanding	Utaqqisoq
oven	ovni
overall	sumi tamaani
overcome	qaangerpaa
over	qulaani
over there	Ikani
overthinking	eqqarsarpallaarneq
overwhelmed	nuannaarsuataarpoq
overwhelming	nuannaarujussuarpoq
owe	taarsigassalik
owl	Uppik
owner	piginnittoq
own	nammineq
ox	ussik
pace	sukkassuseq
package	poortugaq
pack	poortugaq
paid	akilereerpoq
pain	anniaat
painting	walipaaneq
paint	qalipagaq
pair	illugiit
pale	qarsugavoq
palm	itumak
pandemic	nualluut aatuuttoq
panic	paatsiveeruttoq
pan	qaaq
pants	qarliit
paper	pappiaraq
paradise	qilammi paradise
parallel	akileriit marloqiusat
parcel	nunaat illuliorfissaq
pardon	utoqqatserpunga
parents	angajoqqaat
park	naatsiiviliarsuaq
parrot	papikuujuk
parsley	persille
participate	peqataaneq
particular	immikkuullarissoq
particularly	ingasammik
part	ilaa
partner	aappaq
party	nuannanneq
passage	ilaasoq
passed	angusivoq
passionate	pileritsannertooq
passion	piumassuseq
passive	ilatsiinnartoq
pass	naluara
password	isertaammut kode
past	pisimasut
patch	ilaartorneq
pathetic	killitsinnartoq
path	neriorsuut
patience	Utaqqisinnaassuseq
patient	utaqqisinnaasoq
pattern	allai
pause	unikkallarneq
pavement	pisuinnarnut aqqutissaq
pay	akiliineq
payment	akissarsiassaq
peace	eqqissineq
peaceful	eqqissisimasoq
peach	ferskeni
peak	nuua
pear	pæri
peas	ærter
peculiar	allanartoq
peel	qasit
pee	quivoq
peers	peqatit
peer	ukioqatai peqaavi
pen	Allaatissaq
pencil	aqerluusaq
pending	utaqqivoq
people	inuit
pepper	qasilittoq
perceive	nassuerneq
perception	paasinninneq
perfect	ajoquteqanngitsoq
performance	takutitaq
perform	takkutitsineq
perhaps	immaqa
period	piffissaq
permanent	utaqqiisaasumik
permission	pisinnaatitsissut
permit	pisinnaatitsissut
perseverance	qasusuissuseq
persistent	aserfallatsaaliineq
personal	inuttut namminertut
personality	inuup pissusaa
person	inuk
perspective	isiginnittariaaseq
persuade	akuersisippaa
pervert	kanngunartuliorumatooq
pet	uumasuut
phase	piffissaq killilik
phenomenon	malunnaatilik
philosophy	filosofii
phone	oqarasuaat
photo	asseq
phrase	oqariartaaseq
physical	timikkut
pick	tigujuk
pick up	ikivaa
picture	asseq
piece	ilaa
pieces	immikkoortut
pigeon	dueq
pig	puuluki
pile	amerlasuut
pillow	akiseq
pilot	timmisartumi aquttoq
pineapple	ananas
pink	sappaluartoq
pin	pin
pitch	nipip qullasissusaa
pit	itersaliaq
pity	misiginneqataaneq
place	piffik
places	piffiit
plague	nappaassuaq
plain	naliginnaasoq
plane	timmisartoq
plan	pilersaarut
plant	naasut
plants	naasut
plate	puugutaasaq
platform	platformi
playing	pinnguarpoq
play	pinnguarpoq
pleasant	iluaq
pleased	Tulluusimaartoq
please	inussiarnersumik
pleasure	nuannisaarneq
pledge	kivitsineq
plenty	assulaaq
plot	pissut
plug	simik
plumber	qillertoqqerisoq
plum	blommi
plural	amerlanerussuteqartut
podcast	podcasti
poem	taallaq
poetry	taallaq
point	oqaatiginiagaq
poison	toqunartoq
police	politiit
policy	politikki
polite	unneqqarissoq
pollution	migutsitsineq
pond	tasinnguaq
pool	pooli
poop	anaq
poor	piitsoq
pop	pop
popular	soqutiginilik
population	inoqqortussuseq
pork	puulukip neqaa
porridge	Akinertut
port	talittarfik
position	inissisimaffik
positive	ajunngitsoq
possession	pigisaq
possessive	pigaa
possess	pigisaq
possible	ilimanaq
post	allakkat
postpone	kinguartippaa
potato	naatsiiaq
pound	pundi
poverty	piitsuussuseq
powerful	pissaanilik
power	piginnaaneq
practical	ajornaatsoq
practice	sungiusarneq
praise	nersualaarinninneq
prank	salloqittaaneq
pray	qinuneq
precious	iluatinnaq
precisely	taamatoqqissaaq
precise	taamaatoqqissaaq
predict	siumoortumik oqaatigaa
preference	salliusussaatitaaneq
prefer	piumaneruaa
pregnant	naartusoq
prejudice	isuma pigiliutiinnagaq
premises	sumiiffik
premium	eqqugassaq
preparation	piareersarneq
prepared	piareersimasoq
prepare	piareersarneq
preposition	kingulleqqiutit
presence	peqataaneq
presentation	takutitsineq
present	tunissutissaq
preserve	paariinnarpaa
president	præsidenti
press	toorpaa
pressure	piumaffigineqarneq
pretend	pisuusaarneq
pretty	pinnerpoq
prevent	pinngitsoortinniagaq
previous	siulia
prey	paarlaassineq
price	akia
pride	tulluusimaarneq
priest	palasi
primary	pingaarneq
prime	primtalli
princess	kunngip pania
principal	rektori
priority	pingaartitaq
prior	siornatigut
prison	parnaarussivik
privacy	inuup nammineq
private	inummut namminermut tunngasoq
privilege	immikkut pisinnaatitaaneq
prize	aki
probably	ilimanaq
problem	ajornartorsiut
procedure	malitassaq
proceed	ingerlanera naammassivoq
process	ingerlaneq
produce	suliarisaq
production	tunisassiorneq
product	tunisassiaq
professional	akissarsiutilik
profession	inuuniut
profile	atuisuuffik
profit	pissarsiat
profound	itsinertooq
progress	Ingerlarnga
project	iluarsartuullugu pilersaarusiaq
prominent	takussutissaqarneq
promise	neriorsuut
promote	apuuppoq
promotion	annerusumik atorfittaarneq
prompt	sukkasooq
prone	-qqajaaneq
pronouns	taggisit taartissaat
pronunciation	oqaatiginera
proof	uppernarsaat
properly	torersoq
proper	naleqquttoq
properties	pigisat
property	pigisaq
proposal	siunnersuut
prospect	suliassap ilusissaata akissaatalu pilersaarusiornera
prosperity	pigissaarneq
prosperous	sikkeriartortoq
protect	illersorpaa
proud	tulluusimaartoq
prove	uppernarsaaneq
provided	atorneqarsinnaasoq
provide	tunniuppaa
province	provinsi
provision	agguagarsiassaq
puberty	inuusuttunngulerneq
public	inuit akornanni
pull	nusuppaa
pumpkin	græskari
punctual	piffissamik eqqorluaasoq
pupil	atuartoq
purchase	akiligassaq
pure	miguitsoq
purple	tunguusaq
purpose	pissutaa
purse	aningaasivik
pursue	malersorpaa
pursuit	malinnaaviginninneq
push	ajappaa
put	iliuk
qualification	Apiukkunnaat
quality	pitsaassuseq
quantity	amerlassusai
quarantine	mattusimaneq
quarrel	assortuunneq
quarter	kuartia
Quechua	Quechua
queen	kunngip nulia
queer	suiaaqatiminoortoq
query	apeqquteqaat
question	apeqqut
queue	tunuleriiaat
quickly	sukkasuumik
quick	sukkasooq
quiet	nipaappoq
quilt	amersukkat
quit	taamaatippoq
quiz	eqquiniaasitsinik
quotation	oqaatsit issuaqqissaakkat
quotes	oqaatsit ilaaqqissaakkat
quote	tingulaakkamit ilaagaq
rabbit	ukaleq
race	sumiuuneq
rage	kamanneq
rain	sialuk
raised	pullappoq
raise	pullattoq
ran	arpappoq
random	arlaat sorlerluunniit
range	atulleriiaarneri
rapidly	sukkasuumik
rapid	sukkasuumik
rarely	qaqutikkut
rare	qaqutikkut
rash	anillanneq
rate	qaffasissusaa
rather	imaluunniit
rational	akunnaatsuliaq
ratio	pissutsit
rat	teriarsuaq
raw	aapasoq
reach	anguaa
reached	angusaq
reaction	qisuariarneq
read	atuaruk
reading	atuarneq
ready	piareerpoq
real	ilumoortoq
reality	ilumoortoq
realized	paasilerpaa
realize	paasilerpaa
really	ilumut
rear	Tunua
reasonable	naammanginarpoq
reason	pissutaa
recall	sianeqqinneq
receipt	uppernarsaat
received	tiguaa
receive	tiguaa
recent	kingullertigut
recently	kingullertigut
reception	saaffiginnittarfik
recipe	ilitsersuut
reckless	soqutigittaatsoq
recognition	nersugaaneq
recognize	ilisaraa
recommended	siunnersuutigaa
recommend	inassutigaa
record	immiussaq
recover	pilerseqqitaq
recovery	aaqqippoq
rectangle	issoqqaarissoq
red	aappaluttoq
redeem	aningaasanngortippaa
redemption	annanneq
reduce	killormut saatippaa
redundant	sinneruttoq
reference	maleqqiussaq
refer	unnersuussut
reflection	takutippaa
reflect	tarrarsortillugu
refrain	iperarpaa
refrigerator	nillataartitsivik
refund	utertitat
refused	misiarpoq
refuse	itigartitaq
regarding	malillugu
regardless	qanorluunniit
regards	inuulluaqqussut
regard	soqutiginninneq
region	sumiiffik
register	nalunaarsuiffik
regret	peqqissimivoq
regularly	aalakkaasumik
regular	manngertoq
reject	itigartippaa
relate	attuumassutilik
related	attuumassutilik
relationship	aappariinneq
relative	attuumassuteqartut
relatives	attuumassuteqartut
relax	eqqissisimaarneq
released	iperagaavoq
release	iperarpaa
relevant	naleqquttoq
reliable	tatiginarpoq
relief	ilorfaallanneq
relieved	iperagaavoq
relieve	nipaallisarpaa
religion	upperisaq
religious	uppertoq
reluctant	akiuunnartoq
rely	tatiginartoq
remaining	utertitsineq
remain	Taamaaginnartoq
remarkable	malugineqarluarsinnaasoq
remedy	ukiuutaavoq
remember	eqqaamasaq
remind	eqqaasitsissut
reminder	eqqaamaqqussut
remote	aquut
remove	peerpaa
render	oqaluttuaraa
rent	attartugaq
repair	aaqqissuineq
repeat	uteqqiineq
replace	taarserpaa
reply	akissut
report	nalunaarut
represent	aallartitaq
reputation	tusaamaneqaataa
request	noqqaassut
required	piumasaqaataasoq
require	piumasaraa
rescue	annaassiniarneq
research	misissuineq
resemble	assiguvoq
resentment	kamak
reservation	inniminnigaq
reserve	taartissaq
resident	najugaqartut
resign	tunuarneq
resilience	mattusooq
resilient	qajannaatsoq
resist	akiorpaa
resistance	akerliuneq
resolution	aaqqiissutissaq
resolve	aaliagerneq
resort	periarfissaq
resources	atortussat
respect	ataqqinninneq
respond	akissut
response	akissut
responsibility	akisussaaffik
responsible	akisussaasoq
restaurant	neriniartarfik
rest in peace	eqqissillutit qasuersaarit
restore	pilerseqqippaa
restrict	killilersuut
rest	sinneri
result	inernera
results	inernerit
resume	Naalisaaneq
retail	paasissutissanik niuverneq
retain	paariinnarpaa
retention	tigummigallagaaneq
retired	suliunnaarpoq
retreat	tunuarneq
retrieve	aavaa
return	uterpoq
revealed	paasisaavoq
reveal	qungasequt qangattarpaa
revenge	akiniaaneq
revenue	isertitat
reverse	kingumut
review	takussutissaq
revise	kukkunersiuineq
revision	misissuineq
revolution	mumisitsineq
reward	akissarsiaq
rhythm	akuttoqatigiissaarneq
rib	najugasoq
rice	suaasat
rich	pisooq
ride	qimusserpoq
ridiculous	quianaappoq
rid	iperaavoq
right	ilumoorpoq
right now	massakkoqqissaaq
rigid	qeratavoq
ring	assammiut
rinse	siulippaa
riot	perulluliorneq
ripe	inerisimasoq
rip	eqqissillutit qasuersaarna
rise	kivippaa
risk	nalorninartoq
rival	unammillerti
river	kuuk
road	aqqusineq
roast	siappaa
robust	qajannaatsoq
rock	ujaraq
rod	amitsujooq
role	inissisimaneq
roll	imusaq
roof	qilaaq
room	ini
root	issoq
rope	allunaasaq
rotten	oquppoq
roughly	akunnaallisarpaa
rough	maniilakulattoq
round	ammalortoq
route	aqqut
routine	periuseq
row	siuleriaat
rubber	nungusaat
rubbish	oqaaserujuit isumaqanngitsut
rub	tagiartorpaa
rude	peqqarniippoq
rug	tippeq
ruin	aserorpoq
rule	malittarisassaq
ruler	titartaat
rules	malittarisassat
run	arpak
running	arpanneq
rural	nunat sumiiffiisa killigi
rush	tuaviusaarut
sack	pooq
sacred	illernartoq
sacrifice	ilungersorneq
safe flight	angalalluarisi
safe	isumannaatsoq
safety	isumannaatsoq
sage	tarngut salvi
said	oqarpoq
sailing	umiartorneq
sail	umiartorpoq
sake	pisuussut
salary	akissarsiat
sale	tuniniagaq
salmon	kapisilik
salt	taratsut
same	assinga
Same here	aamma maani
sample	misiliineq
sand	sioqqat
Sanskrit	Sanskrit
sarcastic	tusagiasaarerpaluttoq
sassy	naalanngitsoq
sat	ingippoq
satisfaction	iluarisimaarinninneq
satisfied	iluarisimaarpaa
satisfying	iluarisimaarnartoq
satisfy	naammagisimaarinninneq
Saturday	Arfininngorneq
sausage	pølsi
savage	peqqarniitsoq
save	toqqorpaa
saw	takuaa
say	oqarpoq
scale	oqimaassuseq
scam	Ukkapaatitsineq
scarce	toortaat
scared	isersisoq
scarf	qungasequt
scar	qileroq
scary	ersinaq
scattered	siaruaaqqasoq
scene	isiginnaartitsisarfik
scenery	pinngortitaq
scent	tipi tipigissoq
schedule	malitassaq
school	atuarfik
science	misissuineq
scientist	ilisimatooq
scientists	ilisimatuut
scissors	qiuutit
scold	Anaveersineq
scope	annertussuseq
score	isertitsivoq
scrap	eqqakkat
scratch	kumiippaa
scream	nillianeq
screen	isiginnaarut
screw	kikiak skrueq
script	manuskripti
sea	imaq
seal	naqissuserpaa
search	ujaasineq
season	ukiup ilaatigut pisartut nalaat
seat	issiavik
second	aappaa
secret	isertugaq
section	immikkoortortaq
secure	isumannaatsoq
security	isumannaallisaaneq
seed	kingunissaq
seek	ujarpaa
seem	isumaqarpoq
seems	ilimanarpoq
seen	takuneqareersoq
see	takuuk
see you later	kingusinnerusukkut takussuugut
see you soon	qanittumi takussuugut
see you	takussuugut
see you tomorrow	aqangu takussuugut
seize	angissusaa
seizure	tassanngaannaq kammaserneq
seldom	qaqutikkut
select	toqqaruk
self healing	nammineq aaqqittoq
selfish	imminissarsiorneq
self	nammineq
sell	tunivaa
send me your picture	assimik nassilaannga
send	nassiuppoq
senior	utoqqaneq
sense	misigissuseq
sensible	isumatuneq
sensitive	misigissusiniasoq
sentence	oqaaseqatigiit
sentences	oqaaseqatigiit
sent	kingusissoq
separate	avissaagasut
Sepedi	Sepedi
september	septembari
sequence	Tulleriinneq
series	tulleriiaat
seriously	ilumoortumik
serious	pimoorussisoq
serve	katersivoq
service	sullissineq
session	ataatsimiinneq
set	inissippoq
setting	aaqqiineq
settle	piareersarpaa
set up	aaqqissuussineq
seven	arfineq marluk
seventeen	sytten
seventy	sytten
several	arlallit
severe	pimoorussaq
sew	mersorpaa
shade	tarraq
shadow	tarraq
shake	aalappaa
shallow	tarraq
shame	kanngusunneq
shape	iluseq
share	siaruarpaa
sharp	ipittoq
shed	qui
sheep	sava
sheet	allaffissaq
shelf	ilisivik
shell	qaleruaq
shelter	oqqu
shield	eqqornaveeqqut
shift	suliffissaq
shine	qillalaartoq
shipping	nassiussineq
ship	umiarsuaq
shirt	tujuuluaraq
shoes	kamiit
shoot	ingerpoq
shopping	pisiniarneq
shop	pisiniarfik
shore	sineriak
shortage	amigaat
short	naatsoq
shot	ingippoq
shoulder	tueq
shout	nillianeq
shower	uffarfik
show me	takulaa
show	takutitsineq
shrimp	raaja
shrink	eqimattat
shut	matuvoq
shut up	nipagerit
shy	ittoortoq
sibling	qatanngut
siblings	qatanngutit
sick	napparsimavoq
side	qupperneq
sigh	hajja
sight	isigisaq
sightseeing	takornariartitsineq
sign	allagit
signature	atsiorneq
significant	pingaarutilik
silence	mipaassuseq
silent	nipaappoq
silk	siiliki
silly	sianiitsoq
silver	sølvi
similar	assigusoq
simple	Ajornanngitsoq
simp	staaseq
simultaneously	ataatsikkut taamaattoqarnerani
sincere	ilumoortoq
sincerely	inussiarnersumik inuulluarit
since	taamanili
singer	erinarsortartoq
sing	erinarsorpoq
single	kisermaaq
sink	kuuffik
sister	angaju
sister in law	sakiatsiaq
site	qupperneq
sit	ingigit
situation	pisoq
six	arfinillit
sixteen	seksten
sixty	tress
size	angissuseq
skill	piginnaasaq
skills	piginnaasat
skin	ami
skinny	qillerpoq
skip	qaangiinnaruk
skirt	atequt
sky	nuiaq
slave	inussiaat
sleeping	sininneq
sleep	sinippoq
sleepy	uernarpoq
sleeve	tujuuluup talitai
slice	kilitaq
slide	Quaappoq
slightly	oqitsoq
slim	saluttoq
slip	quaappoq
slope	kimmiliineq
slot	illussaarsuaq
slow	arriippoq
slowly	arriitsumik
small	mikisoq
smart	silassorissoq
smell	tipi
smile	qungujuppoq
smoke	pujortarneq
smooth	ajornangitsoq
snack	tamulugassat
snail	siuteroq
snake	pulateriaarsuk
snap	tiguaa
snow	aput
soak	aqilisarpaa
soap	qaqorsaat
sober	qaatusimasoq
soccer	arsartartoq
social	inuit akornanni inuunermut tunngassuteqartoq
society	inuiaqatigiit
socks	alersit
so cute	inequnarluinnarpoq
so far	tamaanga killippoq
soft	aqitsoq
software	qarasaasiami programmit najoqqutallu
soil	nuna
soldier	sakkutooq
sold out	nungupput
sold	tunivoq
sole	kisiartaalluni
solid	ninngusooq
solution	aaqqiissutissaq
solve	aaqqiissut
somebody	kinaluunniit
somehow	qanorlunniit
some	ilaai
someone	inuit arlaat
sometimes	ilaannikkut
song	ernarsuut
soon	kattorna
sophisticated	torrallataq
Sorani	Sorani
sore	sanneqqavoq
sore throat	qungatsimigut anniarpoq
sorrow	aliasunneq
Sorry	Utoqqatserpunga
sort	qernertoq
so	taava
sought	ujaasivoq
soulmate	ikinngut nuannarisaq
soul	tarneq
sound	nipaa
soup	suppi
source	atortut
sour	seernartoq
south	kujataa
space	inissaq
spam	salloqittaatit
Spanish	Spaniamiusut
span	isuaniit isuanut
spare	kingoraartissat
speak	oqalunneq
special	immikkuullarissoq
species	suussusaa
specific	aaliagersimasoq
spectacular	alutornartoq
speechless	oqaasissaaruttoq
speech	oqalugiaat
speed	sukkassuseq
spell	taavaa
spend	atorpai
spent	atorpai
spicy	qasilitsut
spike	nuua
spinach	spinati
spin	kaajallanneq
spirit	anersaaq
spit	qiseq
splendid	torrassuaq
split	svissaartoq
spoiled	nukatsitaq
spoil	iluatatsippaa
spontaneous	Eqqarsaqqaarani pisoq
spoon	alussaat
spot	takuaa
spouse	aappaq
spread	siammarpaa
spring	upernaaq
square	kipparissoq
squeeze	singuvoq
squid	amikoq
squirrel	sissinnguaq
stab	kapivaa
stable	aalajaatsoq
stack	qaleriissaat
staff	sulisoq
stage	isiginnaartitsisarfik
stain	simerneq
stairs	tummeqqat
stake	suliaq naammassisaq
stalk	marserneq
stall	unittoorpoq
stamp	frimærki
standard	naliginnaasoq
stand	nikorfavoq
start	aallartinneq
started	aallartippoq
star	ulloriaq
starving	perlilerpoq
statement	ilaajunnaarluni nalunaarneq
state	naalagaaffik
station	stationi
statue	eqqaassutissaq
status	inissisimanermik nalunaarut
stay safe	mianersorluarna
stay	uninngavoq
steady	allanngorartuunngitsoq
steak	steak neqi
steal	tillippoq
steam	streammerlugu
steel	sisak
steep	sivigasoq
stem	kanaartaq
step	allorneq
stick	qisuk amitsoq
stiff	qeratavoq
still	suli
sting	ikkuffik
stingy	tigumatooq
stir	attuuavaa
stock	toqqorsivik
stolen	tillitaq
stomach	naat
stone	ujarak
stood	nikorfavoq
stool	anaq
stop	unigit
storage	toqqorsineq
store	pisiniarfik
storm	snori
story	oqaluttuaq
stove	ovni
straightforward	Siumut ingerlaneq
straight	narlortoq
strain	ittoqertoq
strange	eqqumiitsoq
stranger	ilisarisimanngisaq
strategy	iliuusissamik qinersineq
strawberry	jordbæri
straw	equngasoq
streak	titarneq naatsoq takisooq
stream	innaallagiaq
street	aqqusineq
strength	sapiissuseq
stress	uippakajaarneq
stretch	annertusarpaa
strict	sukangasooq
strike	suliumajunnaarpoq
string	allunaasaq
strip	amitsunngorlugu aggugaq
strive	ilugersorpoq
stroke	anaasineq
strong	nakuusoq
struck	katassinnaanngilaq
structure	ilusilersornera
struggle	ilugersorneq
struggling	ilugersorpoq
stubborn	uteriitsoq
stuck	nikinnaveeqqavoq
student	ilinniartoq
study	ilinniarneq
studying	ilinniarneq
stuff	sukujuit
stunning	alutornartoq
stupid	sianiitsoq
style	isikkua
subject	qulequtaq
submission	tunniutiinnarneq
submit	nassiuppoq
substance	annoraamineq
substitute	taarsiineq
subtle	toqqaannartumik eqqortumik
succeed	iluatsippoq
successful	iluatsitsineq
success	iIuatsitsineq
such as	soorlu imaattut
such	soorlu makkua
suck	milluarpaa
suddenly	tassanngaannaq
sudden	tassanngaannaq
suffering	naalliunneq
suffer	naalliuppoq
sufficient	naammappoq
sugar	sukkut
suggestion	siunnersuut
suggest	siunnersuut
suitable	tulluuppoq
suit	atasut
suitcase	kufferti
sum	katinneri
summary	naalisaaneq
summer	aasaq
summit	ataatsimeersuarneq
sunday	sapaat
sunny	seqinnersoq
sun	seqineq
sunset	seqerngup tarrilernera
sunshine	seqinnersoq
superior	pingaakujuttoq
supervisor	ilitsersuisoq
supper	unnukkorsiutit
supply	tunniussaq
support	tapersersuineq
supposed	ilimagaa
suppose	ilimagaa
sure	taamaassooq
surface	qaava
surge	qaffakkiartornera
surgery	suliaritinneq
surname	ateq
surprised	tupatsitaq
surprise	tupaallatsitsineq
surrender	tunniutiinnarneq
surrounding	ungoqqavaa
surveillance	nakkutiginninneq
survey	misissuineq
survive	annappoq
suspect	pasisaq
suspended	atorunnaarallartippaa
suspicious	pasinartoq
sustainability	piujuaannartitsinissaq
sustainable	uteqattaartoq
sustain	aserfallatsaaliineq
swag	pisuttariaaseq akimarpalaartoq
swallow	iivaa
swap	paarlaassineq
swear	uppernarsaavoq
sweater	tujuulussuaq
sweat	kiaguk
sweep	sanerpoq
sweet dreams	sinilluarna
sweetheart	asasaq
sweet tooth	mamakujunngersoq
sweet	tungusunnitsoq
swelling	qaffalluni pullanneq
swell	pullappoq
swimming	nalunnguarpoq
swim	nalunneq
swing	kaajallanneq
switch	paarlaassineq
swollen	pullappoq
sword	panaq
symbol	ilisarnaat
sympathy	misiginneqatiginninneq
symptoms	ersiutit
system	ingerlatseriaaseq
table	nerrivik
tackle	sarmiineq
tag	qaliaq
tail	pamioq
take away	annissassat
take care	sissuerina
taken	tiguneqareersoq
take off	peeruk
take	tigujuk
talkative	oqalukkumatooq
talk	oqalunneq
tall	angisooq
tape	nipputtartoq
tap	tooruk
target	anguniagaq
task	suliassaq
taste	mamaq
tasty	mamaq
taught	ilinniartitsineq
teacher	ilinniartitsisoq
teach	ilinniartitsineq
team	suleqatigiit
tear	qulliit
tears	qulliit
tease	qinngasaarineq
tea	tii
technology	teknologi
teeth	kingutit
tell me	oqaluttuunnga
tell	Oqaluttuarpoq
temperature	kissassuseq
temper	isumaloriallaqqissoq
temple	naalaffik
temporary	utaqqiisaasumik
tenant	suliassat
tendency	arlaannut illuaqqajaaneq
tender	eqqoriaaneq
tend	isumaginninneq
ten	qulit
tense	sukattooqqavoq
tension	pissanganeq
tentative	utaqqiisaarutaasut
ten thousand	ti tusind
tent	tupi
term	semesteri
terms	piumasaqaatit
terrible	ajorluinnarpoq
terrific	ajunngilluinnarpoq
territory	nunap ilaa
test	misiliut
text	allataq
thank	qujanaq
Thanks for using our app	Qujanaq app-erput atorakku
thanks	qujanaq
Thank you for your patience while we investigate shipment	Nassiunnissaata misissorneqarneranut utaqqinernut qujanaq
thank you	qujanaq
thank you so much	qujanarujussuaq
thank you very much	qujanarujussuaq
than	taassuminngarniit
that's good	ajunngilaq
theft	Aoqimaassuseq
their	taakkua
theme	qulequtaq
themselves	taakkua namminneq
them	taakkua
then	kingorna
theory	teorii
there are	taamaapput
therefore	taamaammat
there is	peqarpoq
there	taakani
these	ukua
they are	taakku
they	taakkua
thick	pualasooq
thief	tillinniaq
thigh	sukangasoq
things	sukujuit
think	isumaqarpoq
thin	saluttoq
third	pingajuat
thirsty	qilalertoq
thirteen	tretten
thirty	tredive
this is	una tassaavoq
this	una
thorough	iluameqqinnaaq
thoroughly	peqqissaartumik
those	ukua
though	taamaakkaluartoq
thought	eqqarsarpunga
thoughtful	eqqarsalersitsisoq
thoughts	eqqarsaatit
thousand	tusind
thread	siorasaarut
threaten	siorasaarineq
threat	siorasaarineq
three	pingasut
threshold	killissaata nalinga
thrilled	nuannaartoq
thrive	iluarusulluni inuuvoq
throat	qungaseq
through	akornatigut
throughout	aqqutaa tamaat
throw	miloriuppaa
thumb	kulloq
thunder	kallertoq
Thursday	sisamanngorneq
thus	taamaalilluni
tick	krydsi
tide	tinittarneq ulittarnerlu
tidy	peqqissaartoq
tie	pituttorsimaneq
tiger	tigeri
tight	attuumasoq
Tigrinya	Tigrinya
time	piffissaq
timid	ittoortoq
tiny	mikisuaraq
tips	isumassarsiassat
tip	siunnersuut isumassarsissutaasinnaasoq
tire	assakaasut
tired	qasuvoq
tissue	kakkiffissaq
title	qulequtaq
toast	iffiaq qaqortoq ristingaq
today	ullumi
toddler	meeraq
toes	putukkut
together	peqatigiilluta
toilet	perusuersartarfik
told	oqaluttuuppaa
tolerance	akaarinninneq
tolerate	akuersaarpaa
tomato	tomati
tomorrow	aqangu
tongue	oqaq
tonight	unnugu
too	aamma
took	tiguaa
tool	atortoq
tools	sakkut
tooth	tigut
topic	qulequtaq
top	qulaa
torn	siittorpaa
torture	naalliutsitsineq
total	katillugit
touch	attorpaa
tough	manngersoq
tour	angalaneq
to	uunga
towards	siumut
toward	tungaanut
towel	allarut
town	iIlloqarfik
toxic	sakkortooq
trace	malugaa
track	nalinnaavigaa
trade	pisiniarpoq
traditional	ileqquusumik
tradition	ileqqoq
traffic	angallattut
trail	aqqusineeraq
training	sungiusaaneq
train	qimuttuitsut
trait	piginnaasat
traits	iliuutsit
transfer	nuussineq
transition	ikaarsaarneq
translate	nutserineq
transparent	akimut ersittoq
transport	assartuineq
transportation	angallassineq
trap	pullat
trash	eqqagassat
trauma	ajoqusernermik kingunerlutsitsineq
travel	angalaneq
tray	bakke ilisivik
treasure	erlinnartuutit
treatment	katsorsartinneq
treat	pissusilersorneq
tree	orpik
tremendous	angisoorujussuaq
trend	arlaannut illuaqqajaaneq
trial	misiliut
trick	ilioriasaarneq
tried	misilileerpoq
trigger	aallartiaq
trim	aaqqippaa
trip	angalaneq
trouble	ajornartorsiut
trousers	qarliit
truck	lastbiili
true	ilumoorpoq
trunk	nassatanut inissiisarfik
trust	tatiginninneq
truth	ilumoortoq
try	misiliineq
Tsonga	Tsonga
tube	ruujori
Tuesday	Marlunngorneq
tuition	atuartitsineq
turkey	qingalissuaq
turmeric	gurkemeje
turn	tunugit
turtle	saaniluk
tutor	siunnersorti
twelve	isikkaneq marluk
twenty-one	enogtyve
twenty	tiivat
twice	marloriarluni
twist	qipiterpaa
Twi	Twi
two	marluk
type	suussusaa
typical	ilisaqqunnartoq
ugly	pinniitsoq
ultimate	pinngitsoornagu piumasarineqarpoq
umbrella	alanngittaat
unable	atorsinnaanngilaq
uncle	akka
unconscious	ilisimanngilaq
under	ataani
underneath	ataani
underrated	nikagisat
understand	paasivaa
understood	paasivaa
unfortunately	ajoraluartumik
uniform	sullisit uniformit
unique	immikkuullarissoq
unit	killissai
university	ilimmarfik
unknown	ilisimaneqanngilaq
unless	taamaanngippat
until	una tikillugu
unusual	tamatingoortuunngitsoq
update	paasissutissiineq
upgrade	qaffaaneq
upon	qulaa
up	qummut
upset	isumaluttoq
up to you	illit apeqqutaavutit
urban	illoqarfik
urgent	tuaviortoq
urge	perusutaa
use	atorpaa
used	atorneqarpoq
useful	atorsinnaavoq
useless	atorsinnaanngitsoq
us	uagut
usually	tamaakkajuppoq
usual	qaqutigoortoq
utility	iluaqutaasoq
vacation	sulinngiffeqarneq
vaccination	sulinngiffeqarluni ferierneq
vaccine	akiuussutissaq kapuut
vacuum	silaannaqanngitsoq
vague	nangaasoq
valid	atuuppoq
valley	qooroq
valuable	nalitooq
value	nalinga
variety	aalakkaasoq
various	assigiinngitsut
vary	nikerartut
vase	naasulivik
vast	annertuut
vegetable	naatitat
vegetables	naatitat
vehicle	angallat
vendor	tuniniaasartoq
venom	katisimavoq
venture	navianarsinnaasumik oqaasertaliineq
venue	naapittarfik
verify	uppernarsaaneq
versatile	tamatigoortoq
version	versioni
vertical	napparissoq
very	assut
very good	Atorrassuaq
vessel	pooq
via	-kkut
vibe	misigisimaneq
vicious	ajorniaannartoq
victim	pilliut
video	video
view	takussutissaq
village	nunaqarfik
villain	ajortoq
vinegar	eddikke
vintage	pilersitaaffik
violence	nukersorneq
violent	nakuuserneq
